team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2017,1,Essendon,18,L,40,,,,,,,2.0,,,,,2.0,,,,,,,,1.0,,,75,2017-06-28
North Melbourne,2017,2,Collingwood,20,L,40,2.0,1.0,4.0,6.0,,,,1.0,,1.0,,2.0,,,,2.0,4.0,,1.0,,,,83,2017-07-12
North Melbourne,2019,3,Port Adelaide,6,L,20,7.0,6.0,3.0,10.0,3.0,,2.0,4.0,,,1.0,,1.0,,,5.0,5.0,2.0,2.0,2.0,,,87,2019-04-05
North Melbourne,2019,4,Carlton,7,W,20,4.0,4.0,6.0,10.0,,,3.0,,,2.0,,3.0,,2.0,,4.0,7.0,1.0,,,,1.0,83,2019-04-12
North Melbourne,2019,5,Geelong,8,L,20,8.0,5.0,10.0,18.0,1.0,2.0,1.0,2.0,,4.0,1.0,2.0,,1.0,,8.0,9.0,1.0,3.0,1.0,,1.0,77,2019-04-19
North Melbourne,2019,6,Sydney,9,L,20,2.0,2.0,8.0,10.0,1.0,,6.0,1.0,,3.0,,1.0,1.0,,,7.0,4.0,1.0,,1.0,,,81,2019-04-26
North Melbourne,2019,7,Western Bulldogs,10,W,20,3.0,2.0,4.0,7.0,3.0,,3.0,3.0,,1.0,1.0,,,,,3.0,4.0,,2.0,1.0,,1.0,71,2019-05-03
North Melbourne,2019,8,Richmond,11,W,20,5.0,3.0,1.0,6.0,1.0,1.0,6.0,3.0,,1.0,1.0,1.0,2.0,,,5.0,1.0,2.0,2.0,2.0,,,87,2019-05-10
North Melbourne,2019,9,Gold Coast,12,W,20,4.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,6.0,2.0,1.0,2.0,3.0,,,86,2019-05-17
North Melbourne,2019,10,Greater Western Sydney,13,L,20,6.0,5.0,3.0,9.0,1.0,,4.0,1.0,1.0,3.0,,,,,,2.0,7.0,1.0,1.0,,,,88,2019-05-24
