team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2023,1↓,Western Bulldogs,1,W,16,2.0,1.0,2.0,4,,,,1.0,,1.0,2.0,,,,,1.0,2.0,,,,,,47,2023-03-01
Melbourne,2023,2↑,Richmond,6,W,16,1.0,1.0,3.0,4,,,,,,1.0,,1.0,,,,2.0,1.0,,,,,,9,2023-04-05
Melbourne,2023,3,Hawthorn,23,W,16,7.0,1.0,7.0,14,,,,1.0,,2.0,1.0,4.0,,1.0,,5.0,9.0,,,1.0,,1.0,64,2023-08-02
Melbourne,2023,4↑,Sydney,24,W,16,3.0,,6.0,9,,1.0,,2.0,,2.0,,1.0,,,,4.0,5.0,,,1.0,,2.0,23,2023-08-09
Melbourne,2023,5↑,Collingwood,QF,L,16,1.0,,4.0,5,,,,2.0,,,2.0,1.0,1.0,,,5.0,,,,,,,54,2023-03-01
Melbourne,2024,6↓,Sydney,1,L,16,3.0,1.0,5.0,8,,,,1.0,1.0,3.0,,1.0,,,,2.0,6.0,,,,,,42,2024-03-01
Melbourne,2024,7↑,Richmond,8,W,16,5.0,2.0,,5,2.0,,,,,,,,1.0,,,,5.0,,1.0,,,,19,2024-04-19
Melbourne,2024,8↑,Geelong,9,W,16,,,1.0,1,,,,,,,,,,,,,1.0,,,,,,15,2024-04-26
Melbourne,2024,9,Collingwood,14,L,16,7.0,3.0,7.0,14,,,,2.0,,1.0,2.0,3.0,,,,3.0,11.0,,,1.0,1.0,,66,2024-05-31
Melbourne,2024,10,Greater Western Sydney,21,L,16,6.0,4.0,13.0,19,,,,3.0,,4.0,3.0,2.0,1.0,,,10.0,9.0,,,,,1.0,70,2024-07-19
Melbourne,2024,11↑,Collingwood,25,L,16,3.0,1.0,4.0,7,,,,3.0,,1.0,4.0,1.0,,,,5.0,2.0,,,,,,26,2024-08-16
Melbourne,2025,12↑,St Kilda,13,L,16,2,1,1,3,,1,,,,2,,2,,,,1,2,,,,,,20,2025-05-24
