team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2015,1,Melbourne,15,W,33,2,2.0,4.0,6,,,,4.0,1.0,,,1.0,,1.0,,2.0,4,1.0,,,,,77,2015-06-07
Essendon,2015,2↓,North Melbourne,16,L,33,1,,6.0,7,1.0,,,5.0,1.0,1.0,1.0,1.0,2.0,,,4.0,3,,,,1.0,,53,2015-06-14
Essendon,2015,3,Port Adelaide,17,L,33,6,4.0,3.0,9,2.0,,1.0,5.0,,1.0,,2.0,1.0,1.0,,3.0,6,,2.0,,,1.0,71,2015-06-21
Essendon,2015,4,Western Bulldogs,18,L,33,10,5.0,6.0,16,,,,1.0,1.0,4.0,,,,,,3.0,12,1.0,1.0,1.0,1.0,,82,2015-06-28
Essendon,2015,5,Greater Western Sydney,19,L,33,8,5.0,10.0,18,,1.0,,3.0,,2.0,1.0,3.0,,1.0,,3.0,14,,,2.0,,,76,2015-07-05
Essendon,2015,6,Adelaide,20,L,33,9,8.0,11.0,20,1.0,,,4.0,2.0,1.0,3.0,2.0,1.0,2.0,,6.0,14,,1.0,,1.0,,83,2015-07-12
Essendon,2015,7,Gold Coast,21,L,33,5,2.0,7.0,12,1.0,,,3.0,1.0,2.0,2.0,,,,,5.0,8,,1.0,1.0,,,78,2015-07-19
Essendon,2015,8,Richmond,22,L,33,5,1.0,8.0,13,,,,6.0,,2.0,2.0,2.0,1.0,1.0,,3.0,10,,,,,,81,2015-07-26
Essendon,2015,9,Collingwood,23,W,33,3,5.0,13.0,16,,,1.0,3.0,1.0,,1.0,3.0,,2.0,,6.0,10,1.0,,2.0,,,83,2015-08-02
Essendon,2016,10,Geelong,4,L,33,3,1.0,5.0,8,1.0,,,2.0,,1.0,,1.0,2.0,,,5.0,4,,1.0,,,,29,2016-03-22
Essendon,2016,11,St Kilda,16,L,33,4,1.0,5.0,9,2.0,,,4.0,,1.0,,1.0,2.0,,,6.0,4,,,1.0,,,66,2016-06-14
Essendon,2016,12,Richmond,17,L,33,8,8.0,3.0,11,2.0,,,2.0,,3.0,,1.0,,1.0,,2.0,9,1.0,2.0,,,,85,2016-06-21
Essendon,2016,13,Brisbane Lions,18,L,33,11,6.0,3.0,14,,2.0,,5.0,1.0,4.0,,3.0,1.0,,,5.0,9,2.0,1.0,1.0,,1.0,84,2016-06-28
Essendon,2016,14,Adelaide,19,L,33,7,5.0,10.0,17,2.0,,,1.0,,1.0,2.0,2.0,,,,6.0,11,,2.0,1.0,,1.0,78,2016-07-05
Essendon,2016,15,Geelong,20,L,33,10,8.0,6.0,16,,2.0,,3.0,4.0,,,1.0,1.0,1.0,,5.0,12,1.0,2.0,1.0,,,85,2016-07-12
