team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2021,1↑,Port Adelaide,1,L,35,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,1.0,,,,2.0,,20.0,2021-03-01
North Melbourne,2021,2,Gold Coast,2,L,35,10.0,3.0,7.0,17.0,,,,4.0,2.0,5.0,2.0,2.0,2.0,,,5.0,12.0,,,1.0,,,78.0,2021-03-08
North Melbourne,2021,3,Western Bulldogs,3,L,35,4.0,3.0,3.0,7.0,1.0,1.0,,1.0,,2.0,,4.0,,,,2.0,6.0,,1.0,,2.0,,70.0,2021-03-15
North Melbourne,2021,4,Adelaide,4,L,35,4.0,2.0,3.0,7.0,,,,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,6.0,,,3.0,,1.0,80.0,2021-03-22
North Melbourne,2021,5,Geelong,5,L,35,4.0,,1.0,5.0,,,,3.0,1.0,3.0,,2.0,,,,1.0,5.0,,,1.0,1.0,1.0,66.0,2021-03-29
North Melbourne,2021,6,Melbourne,7,L,35,8.0,3.0,7.0,15.0,,,,2.0,2.0,2.0,1.0,4.0,1.0,,,4.0,11.0,1.0,,1.0,,,66.0,2021-04-12
North Melbourne,2021,7,Collingwood,8,L,35,7.0,3.0,4.0,11.0,1.0,,,2.0,1.0,3.0,,2.0,,2.0,,2.0,12.0,,1.0,1.0,,,80.0,2021-04-19
North Melbourne,2021,8,Hawthorn,9,W,35,6.0,2.0,1.0,7.0,,1.0,,4.0,,1.0,,4.0,2.0,,,4.0,4.0,,1.0,1.0,,,69.0,2021-04-26
North Melbourne,2021,9,Essendon,10,L,35,6.0,4.0,8.0,14.0,,1.0,,1.0,,,,,,,,2.0,11.0,,,,,1.0,75.0,2021-05-03
North Melbourne,2021,10,St Kilda,11,L,35,,,,,,,,,,,,,,,,,,,,,,,,2021-05-10
North Melbourne,2021,11,West Coast,17,W,35,,,,,,,,,,,,,,,,,,,,,,,,2021-06-21
North Melbourne,2021,12,Essendon,18,L,35,5.0,5.0,7.0,12.0,1.0,,,1.0,,2.0,1.0,2.0,1.0,,,5.0,8.0,,1.0,,1.0,,69.0,2021-06-28
North Melbourne,2022,13↑,Hawthorn,1,L,35,5.0,4.0,6.0,11.0,,1.0,,,,4.0,,4.0,,1.0,,3.0,8.0,,,,,,58.0,2022-03-01
North Melbourne,2022,14,West Coast,2,W,35,2.0,4.0,4.0,6.0,,,,4.0,,,,2.0,1.0,2.0,,3.0,4.0,1.0,,1.0,,,79.0,2022-03-08
North Melbourne,2022,15,Port Adelaide,9,L,35,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26
North Melbourne,2022,16,Greater Western Sydney,13,L,35,,,,,,,,,,,,,,,,,,,,,,,,2022-05-24
North Melbourne,2022,17,Geelong,16,L,35,9.0,5.0,7.0,16.0,,,,1.0,3.0,1.0,,3.0,,1.0,,5.0,11.0,,,,,1.0,90.0,2022-06-14
North Melbourne,2022,18,Collingwood,17,L,35,4.0,3.0,6.0,10.0,,,,1.0,,1.0,,1.0,,1.0,,3.0,6.0,,1.0,4.0,,,65.0,2022-06-21
