team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2014,1,Richmond,1,W,40,10.0,1.0,2.0,12.0,,,,2.0,2.0,2.0,,1.0,,1.0,,1.0,10.0,,,1.0,,,80,2014-03-01
Gold Coast,2014,2,Fremantle,2,L,40,10.0,1.0,3.0,13.0,,,,2.0,6.0,2.0,,4.0,1.0,,,6.0,6.0,,,4.0,,,76,2014-03-08
Gold Coast,2014,3,Brisbane Lions,3,W,40,10.0,2.0,6.0,16.0,1.0,,,2.0,4.0,2.0,,1.0,1.0,,,3.0,14.0,,,2.0,,,81,2014-03-15
Gold Coast,2014,4,Hawthorn,4,L,40,5.0,2.0,4.0,9.0,,,,4.0,1.0,,,2.0,,2.0,,4.0,5.0,,,1.0,,,88,2014-03-22
Gold Coast,2014,5,Melbourne,5,W,40,9.0,4.0,5.0,14.0,,,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,4.0,10.0,,,2.0,,1.0,84,2014-03-29
Gold Coast,2014,6,Greater Western Sydney,6,W,40,9.0,5.0,4.0,13.0,,,,3.0,3.0,3.0,1.0,3.0,1.0,1.0,,6.0,8.0,1.0,,3.0,,,92,2014-04-05
Gold Coast,2014,7,North Melbourne,7,W,40,8.0,,6.0,14.0,,,,1.0,2.0,1.0,,4.0,1.0,2.0,,5.0,9.0,,,1.0,,,79,2014-04-12
Gold Coast,2014,8↓,St Kilda,9,W,40,4.0,,3.0,7.0,,,,1.0,2.0,2.0,,1.0,,1.0,,1.0,6.0,,,2.0,1.0,,54,2014-04-26
Gold Coast,2014,9↑,Western Bulldogs,10,W,40,1.0,,2.0,3.0,,,,2.0,,,,3.0,,2.0,,1.0,2.0,,,,,,21,2014-05-03
Gold Coast,2014,10↑,Adelaide,11,L,40,4.0,1.0,3.0,7.0,,,,,,3.0,2.0,1.0,,1.0,,3.0,5.0,,,2.0,,,31,2014-05-10
Gold Coast,2014,11,Collingwood,16,W,40,4.0,2.0,7.0,11.0,,,,6.0,1.0,1.0,,2.0,,2.0,,2.0,10.0,,,1.0,,,64,2014-06-14
Gold Coast,2014,12,Western Bulldogs,17,L,40,9.0,1.0,9.0,18.0,,,,3.0,4.0,2.0,3.0,2.0,,,,6.0,10.0,1.0,,2.0,1.0,,94,2014-06-21
Gold Coast,2014,13,Brisbane Lions,18,L,40,12.0,,6.0,18.0,,,,6.0,3.0,3.0,1.0,5.0,1.0,1.0,,9.0,9.0,,,4.0,,,86,2014-06-28
Gold Coast,2014,14,St Kilda,19,W,40,12.0,3.0,5.0,17.0,,,,2.0,2.0,2.0,1.0,4.0,2.0,1.0,,6.0,12.0,,,1.0,,,87,2014-07-05
Gold Coast,2014,15,Carlton,20,L,40,13.0,9.0,9.0,22.0,,,,2.0,2.0,2.0,,3.0,,1.0,,2.0,20.0,1.0,,2.0,1.0,,86,2014-07-12
Gold Coast,2014,16,Port Adelaide,21,L,40,11.0,3.0,4.0,15.0,,,,2.0,3.0,1.0,1.0,4.0,3.0,1.0,,9.0,7.0,,,8.0,,,87,2014-07-19
Gold Coast,2014,17,Essendon,22,L,40,6.0,2.0,5.0,11.0,2.0,,,,1.0,4.0,,2.0,,,,3.0,8.0,,1.0,,2.0,,85,2014-07-26
Gold Coast,2014,18,West Coast,23,L,40,8.0,4.0,7.0,15.0,,,,2.0,1.0,2.0,,2.0,1.0,,,5.0,10.0,,,1.0,,,82,2014-08-02
Gold Coast,2015,19,St Kilda,2,L,40,4.0,5.0,8.0,12.0,,,,2.0,3.0,2.0,1.0,5.0,2.0,1.0,,6.0,6.0,1.0,,,,,81,2015-03-08
Gold Coast,2015,20,Geelong,3,L,40,10.0,2.0,4.0,14.0,,,,3.0,1.0,4.0,1.0,5.0,,2.0,,5.0,8.0,1.0,,1.0,,,84,2015-03-15
Gold Coast,2015,21,Greater Western Sydney,4,L,40,3.0,2.0,4.0,7.0,,,,2.0,,2.0,,,1.0,,,2.0,5.0,,,,,,72,2015-03-22
Gold Coast,2015,22↑,Brisbane Lions,5,W,40,5.0,3.0,7.0,12.0,1.0,1.0,,5.0,,4.0,,4.0,1.0,4.0,,3.0,10.0,,1.0,,1.0,,75,2015-03-29
Gold Coast,2015,23,Adelaide,6,L,40,3.0,2.0,10.0,13.0,1.0,,,3.0,1.0,,,4.0,1.0,3.0,,6.0,6.0,1.0,,2.0,,,86,2015-04-05
Gold Coast,2015,24↓,West Coast,7,L,40,4.0,2.0,3.0,7.0,,,,2.0,1.0,1.0,,2.0,,1.0,,2.0,6.0,,,,,,65,2015-04-12
Gold Coast,2015,25,Collingwood,8,L,40,8.0,4.0,7.0,15.0,,1.0,,,1.0,1.0,2.0,4.0,2.0,1.0,,3.0,12.0,,,,,1.0,85,2015-04-19
Gold Coast,2015,26,Hawthorn,9,L,40,7.0,2.0,4.0,11.0,,,,2.0,,1.0,,3.0,1.0,,,5.0,9.0,,,3.0,,,74,2015-04-26
Gold Coast,2015,27,Sydney,10,L,40,8.0,4.0,3.0,11.0,,1.0,,3.0,1.0,,,2.0,,,,4.0,6.0,1.0,2.0,1.0,,,81,2015-05-03
Gold Coast,2015,28,Fremantle,11,L,40,5.0,1.0,5.0,10.0,1.0,1.0,,7.0,1.0,3.0,,2.0,,1.0,,4.0,6.0,,,1.0,,1.0,76,2015-05-10
Gold Coast,2015,29,Carlton,13,L,40,2.0,3.0,3.0,5.0,,,,2.0,,,,1.0,,,,2.0,3.0,1.0,,,,,80,2015-05-24
Gold Coast,2015,30↑,Western Bulldogs,15,L,40,3.0,1.0,2.0,5.0,,,,2.0,1.0,,,1.0,1.0,,,2.0,3.0,,,,,,61,2015-06-07
