team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2011,1,Fremantle,1,L,35,7.0,6.0,9.0,16.0,1.0,1.0,,,1.0,1.0,,2.0,1.0,,,8.0,8.0,1.0,,,,1.0,91.0,2011-03-01
Brisbane Lions,2011,2,Western Bulldogs,2,L,35,2.0,2.0,6.0,8.0,1.0,,,1.0,,3.0,,1.0,1.0,,,4.0,5.0,,,1.0,,,85.0,2011-03-08
Brisbane Lions,2011,3,Melbourne,3,L,35,6.0,3.0,7.0,13.0,,,,,1.0,2.0,1.0,1.0,1.0,,,6.0,8.0,1.0,,4.0,,,82.0,2011-03-15
Brisbane Lions,2012,4,Melbourne,1,W,35,9.0,3.0,3.0,12.0,,2.0,,2.0,,4.0,1.0,1.0,,1.0,,3.0,7.0,,,1.0,,,79.0,2012-03-01
Brisbane Lions,2012,5,Carlton,2,L,35,10.0,5.0,4.0,14.0,2.0,1.0,,,1.0,1.0,,3.0,,,,5.0,8.0,,2.0,4.0,,1.0,90.0,2012-03-08
Brisbane Lions,2012,6,Fremantle,3,L,35,12.0,5.0,2.0,14.0,,,,,,,,2.0,,1.0,,5.0,8.0,,,2.0,,,98.0,2012-03-15
Brisbane Lions,2012,7,Gold Coast,4,W,35,6.0,3.0,11.0,17.0,,,,,,,,3.0,,2.0,,7.0,10.0,,,3.0,,,97.0,2012-03-22
Brisbane Lions,2012,8,Geelong,5,L,35,7.0,1.0,5.0,12.0,,,,3.0,1.0,,2.0,1.0,1.0,,,8.0,4.0,,,,,,90.0,2012-03-29
Brisbane Lions,2012,9,Essendon,6,L,35,10.0,4.0,8.0,18.0,,,,3.0,7.0,1.0,1.0,1.0,1.0,1.0,,3.0,14.0,,,4.0,,,96.0,2012-04-05
Brisbane Lions,2012,10,Greater Western Sydney,8,W,35,10.0,9.0,9.0,19.0,,1.0,,2.0,2.0,2.0,,,1.0,,,4.0,14.0,,,4.0,1.0,,92.0,2012-04-19
Brisbane Lions,2012,11↑,North Melbourne,9,L,35,2.0,3.0,4.0,6.0,,,,,3.0,,,,,,,2.0,5.0,,,2.0,,,37.0,2012-04-26
Brisbane Lions,2012,12,West Coast,10,W,35,12.0,5.0,9.0,21.0,,,,4.0,2.0,1.0,4.0,3.0,2.0,1.0,,13.0,9.0,1.0,,1.0,,1.0,72.0,2012-05-03
Brisbane Lions,2012,13,Hawthorn,12,L,35,9.0,3.0,7.0,16.0,,,,,3.0,3.0,5.0,3.0,1.0,3.0,,8.0,10.0,,,,,,67.0,2012-05-17
Brisbane Lions,2012,14,Western Bulldogs,13,W,35,4.0,2.0,6.0,10.0,,,,6.0,1.0,2.0,,,,,,1.0,9.0,1.0,,1.0,1.0,,82.0,2012-05-24
Brisbane Lions,2012,15,Melbourne,14,W,35,11.0,8.0,4.0,15.0,,,,2.0,3.0,2.0,,,1.0,,,4.0,14.0,,,4.0,1.0,,87.0,2012-05-31
Brisbane Lions,2012,16,Sydney,15,L,35,8.0,5.0,5.0,13.0,,,,2.0,1.0,2.0,1.0,3.0,1.0,1.0,,5.0,8.0,1.0,,2.0,,,91.0,2012-06-07
Brisbane Lions,2012,17,Gold Coast,17,W,35,13.0,5.0,8.0,21.0,,,,,2.0,4.0,,2.0,1.0,1.0,,7.0,14.0,2.0,,3.0,,,95.0,2012-06-21
Brisbane Lions,2012,18,West Coast,18,L,35,8.0,,6.0,14.0,,,1.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,,5.0,9.0,,,1.0,,,84.0,2012-06-28
Brisbane Lions,2012,19,Carlton,20,L,35,13.0,4.0,7.0,20.0,1.0,,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,5.0,16.0,,,,,1.0,86.0,2012-07-12
Brisbane Lions,2012,20,Adelaide,21,W,35,11.0,3.0,9.0,20.0,,,,,5.0,,,2.0,,1.0,,4.0,16.0,,,10.0,1.0,,98.0,2012-07-19
Brisbane Lions,2012,21,Port Adelaide,22,W,35,7.0,2.0,2.0,9.0,,,,1.0,2.0,,,1.0,1.0,1.0,,4.0,5.0,,,,,,92.0,2012-07-26
Brisbane Lions,2012,22↓,Western Bulldogs,23,W,35,6.0,7.0,11.0,17.0,,,,1.0,2.0,,,3.0,,1.0,,2.0,15.0,,,2.0,,,66.0,2012-08-02
Brisbane Lions,2013,23,Adelaide,2,L,35,10.0,6.0,9.0,19.0,,,,3.0,7.0,2.0,1.0,1.0,3.0,1.0,,7.0,11.0,1.0,,4.0,,,95.0,2013-03-08
