team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Hawthorn,2018,1,Brisbane Lions,9,L,39,3,1.0,7.0,10,,,3.0,3.0,1.0,1.0,2.0,3.0,,1.0,,7,3.0,,,3.0,,,83,2018-04-26
Hawthorn,2018,2,West Coast,10,L,39,1,1.0,5.0,6,,,,,,1.0,,1.0,,1.0,,1,6.0,,1.0,3.0,,,60,2018-05-03
Hawthorn,2019,3,Geelong,5,L,8,9,4.0,5.0,14,1.0,1.0,1.0,,,1.0,1.0,2.0,2.0,1.0,,10,4.0,1.0,1.0,2.0,,1.0,74,2019-03-29
Hawthorn,2019,4,Carlton,6,W,8,5,3.0,1.0,6,1.0,1.0,1.0,3.0,,2.0,,,1.0,,,3,3.0,1.0,,3.0,,,60,2019-04-05
Hawthorn,2019,5,Melbourne,7,L,8,5,4.0,2.0,7,1.0,1.0,3.0,3.0,,1.0,1.0,1.0,,,,4,2.0,4.0,1.0,3.0,,1.0,73,2019-04-12
Hawthorn,2019,6,Greater Western Sydney,8,W,8,8,7.0,3.0,11,1.0,2.0,2.0,1.0,,2.0,,3.0,,1.0,,3,7.0,2.0,3.0,1.0,,,75,2019-04-19
Hawthorn,2019,7,Richmond,9,L,8,5,5.0,2.0,7,1.0,,,1.0,,2.0,,1.0,,1.0,,2,5.0,1.0,2.0,,,1.0,48,2019-04-26
Hawthorn,2019,8,Brisbane Lions,11,L,8,6,4.0,2.0,8,2.0,1.0,1.0,2.0,,2.0,1.0,,2.0,,,7,1.0,3.0,3.0,1.0,,,65,2019-05-10
Hawthorn,2019,9,Collingwood,16,W,8,12,7.0,4.0,16,2.0,1.0,,2.0,,1.0,,3.0,1.0,1.0,,7,9.0,3.0,3.0,4.0,,,78,2019-06-14
Hawthorn,2019,10,Fremantle,17,W,8,10,5.0,6.0,16,3.0,2.0,6.0,,1.0,1.0,,1.0,,1.0,,7,8.0,4.0,4.0,4.0,,1.0,88,2019-06-21
Hawthorn,2019,11,Geelong,18,W,8,12,5.0,3.0,15,3.0,1.0,4.0,,,3.0,1.0,2.0,1.0,,,7,8.0,,4.0,3.0,,2.0,80,2019-06-28
Hawthorn,2019,12,Brisbane Lions,19,L,8,6,6.0,4.0,10,,3.0,,1.0,,1.0,,1.0,,1.0,,8,3.0,4.0,3.0,2.0,,,76,2019-07-05
Hawthorn,2019,13,North Melbourne,20,L,8,8,4.0,8.0,16,3.0,2.0,1.0,4.0,,2.0,,3.0,3.0,,,8,8.0,3.0,4.0,4.0,,,84,2019-07-12
Hawthorn,2019,14,Greater Western Sydney,21,W,8,6,2.0,6.0,12,2.0,,,2.0,1.0,1.0,,6.0,4.0,2.0,,11,4.0,1.0,2.0,4.0,,1.0,68,2019-07-19
Hawthorn,2020,15,North Melbourne,4,W,2,2,,2.0,4,1.0,1.0,,1.0,,,,1.0,2.0,1.0,,3,2.0,,,1.0,,,74,2020-03-22
Hawthorn,2020,16,Greater Western Sydney,5,L,2,2,1.0,2.0,4,,,1.0,,,1.0,,3.0,,1.0,,2,4.0,1.0,,1.0,,1.0,39,2020-03-29
