team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2011,1,Essendon,1,L,21,12,4.0,7,19,,1.0,,2.0,2.0,2.0,7.0,3.0,1.0,,,12,6,,,2.0,,,77,2011-03-01
Western Bulldogs,2011,2,Brisbane Lions,2,W,21,10,3.0,18,28,,,,10.0,,5.0,4.0,,1.0,,,11,17,,,,,1.0,76,2011-03-08
Western Bulldogs,2011,3,Gold Coast,3,W,21,8,4.0,8,16,,,,6.0,2.0,3.0,1.0,1.0,,,,3,13,,,1.0,,,73,2011-03-15
Western Bulldogs,2011,4,Fremantle,5,L,21,8,4.0,7,15,,,,8.0,,2.0,2.0,1.0,,,,5,11,,,2.0,,1.0,71,2011-03-29
Western Bulldogs,2011,5,Collingwood,6,L,21,12,1.0,5,17,,,,3.0,3.0,1.0,4.0,4.0,1.0,,,11,6,,,5.0,,,76,2011-04-05
Western Bulldogs,2011,6,Richmond,8,W,21,10,1.0,15,25,2.0,,1.0,6.0,2.0,5.0,4.0,4.0,,,,14,11,,,2.0,,3.0,78,2011-04-19
Western Bulldogs,2011,7,West Coast,9,L,21,5,1.0,18,23,1.0,,,4.0,1.0,,3.0,5.0,,1.0,,10,13,,,,,,77,2011-04-26
Western Bulldogs,2011,8,Hawthorn,10,L,21,3,,8,11,,,,1.0,,1.0,4.0,3.0,,1.0,,6,5,,,,,,77,2011-05-03
Western Bulldogs,2011,9,St Kilda,12,L,21,8,1.0,10,18,,,,5.0,2.0,,4.0,3.0,1.0,1.0,,10,8,,,1.0,,,75,2011-05-17
Western Bulldogs,2011,10,Adelaide,13,W,21,9,3.0,9,18,,,,2.0,,1.0,5.0,2.0,,,,11,8,,,1.0,,1.0,74,2011-05-24
Western Bulldogs,2011,11↑,Sydney,18,L,21,6,,6,12,1.0,,,8.0,,2.0,5.0,2.0,1.0,1.0,,8,4,,,4.0,,,55,2011-06-28
Western Bulldogs,2011,12,West Coast,19,L,21,3,,7,10,,,,5.0,,,1.0,1.0,,,,5,4,,,2.0,,,82,2011-07-05
Western Bulldogs,2011,13,Essendon,21,L,21,5,1.0,15,20,,,,6.0,,4.0,4.0,1.0,2.0,1.0,,11,8,,,1.0,,,80,2011-07-19
Western Bulldogs,2011,14,Port Adelaide,22,W,21,11,5.0,16,27,,,,5.0,3.0,3.0,8.0,2.0,,1.0,,15,12,,,2.0,,,75,2011-07-26
Western Bulldogs,2011,15,Hawthorn,23,L,21,5,1.0,14,19,,,,4.0,,2.0,4.0,2.0,1.0,1.0,,12,7,,,,,1.0,80,2011-08-02
Western Bulldogs,2011,16,Fremantle,24,W,21,4,1.0,11,15,,,,2.0,1.0,2.0,6.0,,,,,9,6,,,2.0,,,77,2011-08-09
Western Bulldogs,2012,17,West Coast,1,L,21,12,4.0,15,27,,,,7.0,2.0,4.0,9.0,,1.0,,,15,12,,,1.0,,,74,2012-03-01
Western Bulldogs,2012,18,Adelaide,2,L,21,7,3.0,6,13,,,,4.0,2.0,2.0,3.0,,1.0,,,5,8,,,,,,77,2012-03-08
Western Bulldogs,2012,19↓,St Kilda,3,L,21,3,2.0,3,6,,,,2.0,1.0,1.0,1.0,,1.0,,,3,3,,,1.0,,,51,2012-03-15
Western Bulldogs,2012,20↑,Greater Western Sydney,5,W,21,10,4.0,4,14,,,,1.0,,5.0,4.0,2.0,,2.0,,5,9,,,,,1.0,48,2012-03-29
