team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2025,1,Greater Western Sydney,2,L,20,12,3.0,10.0,22,,,,6.0,3,4.0,2.0,2.0,5.0,,,6.0,16,,,3.0,,,74,2025-03-08
Melbourne,2025,2,North Melbourne,3,L,20,8,2.0,12.0,20,,,,6.0,3,1.0,2.0,1.0,2.0,,,7.0,14,,,2.0,,,80,2025-03-15
Melbourne,2025,3↓,Gold Coast,4,L,20,2,2.0,,2,,,,,1,,,,,,,,2,,,,,,3,2025-03-22
Melbourne,2025,4,Essendon,6,L,20,8,5.0,6.0,14,,1.0,,,1,1.0,,1.0,,1.0,,2.0,12,,,4.0,,,64,2025-04-05
Melbourne,2025,5,Fremantle,7,W,20,10,4.0,6.0,16,,,,2.0,1,2.0,2.0,1.0,1.0,,,5.0,10,,,,,,80,2025-04-12
Melbourne,2025,6,Richmond,8,W,20,15,11.0,6.0,21,,,,2.0,2,2.0,2.0,2.0,,,,5.0,16,,,,,,70,2025-04-19
Melbourne,2025,7,West Coast,9,W,20,7,1.0,4.0,11,,,,1.0,2,1.0,,3.0,,1.0,,4.0,7,,,2.0,,,78,2025-04-26
Melbourne,2025,8,Hawthorn,10,L,20,5,,10.0,15,,,,2.0,2,2.0,2.0,2.0,1.0,,,10.0,7,,,3.0,,,81,2025-05-03
Melbourne,2025,9,Brisbane Lions,11,W,20,14,6.0,5.0,19,,1.0,,2.0,3,3.0,,2.0,2.0,1.0,,2.0,17,,,,,1.0,80,2025-05-10
Melbourne,2025,10,Sydney,12,W,20,13,4.0,9.0,22,,,,3.0,1,2.0,2.0,2.0,1.0,1.0,,5.0,17,,,,,,80,2025-05-17
Melbourne,2025,11,St Kilda,13,L,20,6,4.0,8.0,14,,3.0,,2.0,1,3.0,1.0,,1.0,,,4.0,10,,1.0,2.0,,,83,2025-05-24
Melbourne,2025,12↓,Collingwood,14,L,20,5,1,3,8,,,,3,3,1,,5,1,2,,2,6,,,,,,58,2025-05-31
