team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Carlton,2024,1,West Coast,24,W,36,3,3.0,12,15,,1.0,,2,,,2.0,1.0,,,,9,8,,1.0,,,,69,2024-08-09
Carlton,2024,2,St Kilda,25,L,36,7,5.0,12,19,,,,7,,2.0,2.0,,,,,5,13,,,,,1.0,62,2024-08-16
Carlton,2025,3↓,Richmond,2,L,36,8,3.0,6,14,,,,6,,3.0,1.0,1.0,1.0,,,7,8,,1.0,,,,56,2025-03-08
Carlton,2025,4↑,Hawthorn,3,L,36,1,,2,3,,,,2,,,1.0,1.0,,,,2,1,,,,,,13,2025-03-15
Carlton,2025,5,Collingwood,5,L,36,9,7.0,9,18,,,,2,,1.0,,2.0,,,,5,14,,,,,1.0,70,2025-03-29
Carlton,2025,6↑,West Coast,6,W,36,9,5,6,15,1,,,1,1,6,1,3,,,,3,12,,,1,,1,64,2025-04-05
Carlton,2025,7↑,North Melbourne,7,W,36,3,2,3,6,2,,,1,,2,1,,2,,,2,4,,1,,,,22,2025-04-12
Carlton,2025,8↑,Geelong,8,W,36,6,2,4,10,,,,2,,2,,1,,,,,9,,,,,1,52,2025-04-19
Carlton,2025,9,Adelaide,9,L,36,4,2,5,9,,,,2,,,,2,1,1,,4,6,,,,,1,74,2025-04-26
Carlton,2025,10↑,St Kilda,10,W,36,7,2,5,12,1,,,8,,1,,2,,,,1,11,,1,,,,48,2025-05-03
Carlton,2025,11,Sydney,11,L,36,12,4,7,19,,,,3,,5,,1,,1,,3,16,,,,,,69,2025-05-10
Carlton,2025,12,Greater Western Sydney,12,L,36,11,5,10,21,1,,,4,2,4,4,2,,1,,6,15,,,1,,1,73,2025-05-17
