team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2012,1,Port Adelaide,5,W,31,5,2.0,9.0,14,,1.0,,3.0,1.0,2.0,,1.0,,,,7.0,7.0,1.0,1.0,,,1.0,70,2012-03-29
Adelaide,2012,2↑,Sydney,6,W,31,1,,2.0,3,,,,1.0,,1.0,,,,,,2.0,1.0,,,,,,17,2012-04-05
Adelaide,2012,3↑,Geelong,7,W,31,4,3.0,5.0,9,1.0,,,2.0,,1.0,,2.0,,,,3.0,6.0,,1.0,,,,39,2012-04-12
Adelaide,2013,4↓,Hawthorn,6,L,31,6,1.0,4.0,10,,,,3.0,2.0,1.0,3.0,2.0,,,,6.0,4.0,,,,,,53,2013-04-05
Adelaide,2013,5↑,Greater Western Sydney,7,W,31,10,3.0,9.0,19,,,,1.0,,4.0,5.0,,2.0,,,7.0,12.0,,,,,,31,2013-04-12
Adelaide,2013,6,St Kilda,8,W,31,11,4.0,6.0,17,,1.0,,2.0,1.0,5.0,2.0,1.0,1.0,1.0,,6.0,11.0,1.0,,1.0,,1.0,74,2013-04-19
Adelaide,2013,7,North Melbourne,9,W,31,11,1.0,10.0,21,,1.0,,4.0,1.0,3.0,5.0,3.0,1.0,1.0,,11.0,11.0,,1.0,,,,82,2013-04-26
Adelaide,2013,8,Fremantle,10,L,31,11,4.0,7.0,18,,1.0,,5.0,1.0,4.0,3.0,2.0,1.0,,,10.0,8.0,,,,,1.0,82,2013-05-03
Adelaide,2013,9,Collingwood,16,L,31,10,3.0,7.0,17,4.0,1.0,,2.0,1.0,2.0,3.0,1.0,1.0,,,9.0,8.0,,1.0,,,,84,2013-06-14
Adelaide,2013,10,Geelong,17,W,31,10,1.0,6.0,16,,1.0,,2.0,1.0,4.0,3.0,,,,,7.0,9.0,,1.0,1.0,,1.0,84,2013-06-21
Adelaide,2013,11,Fremantle,18,L,31,10,4.0,10.0,20,1.0,,,2.0,1.0,3.0,1.0,2.0,,,,3.0,15.0,,,1.0,,,76,2013-06-28
Adelaide,2013,12↓,Port Adelaide,19,L,31,7,3.0,4.0,11,,1.0,,1.0,,2.0,1.0,2.0,,,,7.0,4.0,,,,,,53,2013-07-05
Adelaide,2014,13↑,Geelong,1,L,31,6,1.0,3.0,9,,,,4.0,3.0,1.0,4.0,1.0,1.0,,,6.0,4.0,,,3.0,,,31,2014-03-01
Adelaide,2014,14↑,Carlton,10,L,31,3,1.0,4.0,7,,,,1.0,1.0,1.0,2.0,,,,,2.0,5.0,,,1.0,,,21,2014-05-03
Adelaide,2014,15,Gold Coast,11,W,31,12,4.0,6.0,18,1.0,1.0,,3.0,,3.0,2.0,1.0,,1.0,,11.0,6.0,1.0,2.0,,,,82,2014-05-10
Adelaide,2014,16,Fremantle,12,L,31,4,1.0,9.0,13,,1.0,,4.0,1.0,3.0,,2.0,1.0,,,8.0,5.0,,,2.0,,,82,2014-05-17
Adelaide,2014,17↑,Essendon,14,L,31,5,2.0,6.0,11,,,,1.0,1.0,2.0,1.0,,,,,3.0,8.0,,1.0,,,,40,2014-05-31
Adelaide,2014,18↑,Port Adelaide,15,W,31,5,2.0,1.0,6,,,,,1.0,3.0,2.0,1.0,,,,3.0,2.0,,,,,1.0,20,2014-06-07
Adelaide,2014,19,Brisbane Lions,20,W,31,14,7.0,12.0,26,1.0,,,3.0,1.0,4.0,6.0,6.0,,2.0,,11.0,15.0,1.0,1.0,1.0,,,90,2014-07-12
Adelaide,2014,20,Richmond,21,L,31,13,1.0,3.0,16,,,,5.0,2.0,5.0,4.0,3.0,,,,14.0,2.0,,,,,,86,2014-07-19
Adelaide,2014,21,North Melbourne,22,L,31,10,2.0,4.0,14,3.0,1.0,,2.0,,3.0,2.0,2.0,1.0,,,9.0,4.0,1.0,1.0,3.0,,,85,2014-07-26
Adelaide,2014,22,St Kilda,23,W,31,7,1.0,6.0,13,2.0,1.0,,2.0,,3.0,1.0,1.0,3.0,,,7.0,5.0,,,2.0,,,88,2014-08-02
Adelaide,2015,23↑,North Melbourne,1,W,31,6,3.0,4.0,10,,,,4.0,1.0,,3.0,2.0,,,,5.0,5.0,,,,,,32,2015-03-01
Adelaide,2015,24↑,Western Bulldogs,4,L,31,3,2.0,5.0,8,,,,,1.0,1.0,1.0,1.0,,,,3.0,5.0,,,1.0,,,24,2015-03-22
Adelaide,2015,25,Gold Coast,6,W,31,5,1.0,6.0,11,,,,2.0,,5.0,2.0,1.0,,1.0,,5.0,6.0,,,,,1.0,83,2015-04-05
Adelaide,2015,26↑,St Kilda,7,W,31,10,4.0,5.0,15,,,,2.0,,3.0,3.0,2.0,,,,5.0,10.0,,,3.0,,,56,2015-04-12
Adelaide,2015,27↑,Greater Western Sydney,8,L,31,5,,3.0,8,,,,3.0,,1.0,2.0,1.0,,,,5.0,3.0,,,,1.0,,37,2015-04-19
Adelaide,2015,28↑,Fremantle,9,L,31,4,2.0,2.0,6,,,,,1.0,,2.0,,,,,4.0,2.0,,,1.0,,,23,2015-04-26
Adelaide,2015,29,Sydney,18,L,31,8,2.0,8.0,16,1.0,1.0,,3.0,3.0,3.0,4.0,1.0,,,,9.0,9.0,,1.0,1.0,,,79,2015-06-28
Adelaide,2015,30,Richmond,19,W,31,15,2.0,8.0,23,,,,5.0,1.0,4.0,6.0,2.0,2.0,1.0,,11.0,13.0,,,,,2.0,77,2015-07-05
Adelaide,2015,31,Essendon,20,W,31,9,1.0,9.0,18,1.0,,,2.0,2.0,4.0,5.0,4.0,1.0,2.0,,11.0,7.0,,,4.0,,,87,2015-07-12
Adelaide,2015,32↑,Brisbane Lions,21,W,31,6,2.0,3.0,9,2.0,1.0,,,,3.0,1.0,1.0,,,,2.0,7.0,,2.0,2.0,,1.0,23,2015-07-19
Adelaide,2015,33↑,West Coast,22,W,31,6,2.0,1.0,7,,,,,1.0,2.0,1.0,1.0,,,,1.0,6.0,,,,,1.0,21,2015-07-26
Adelaide,2015,34↑,Geelong,23,L,31,3,,8.0,11,,,,2.0,,1.0,3.0,2.0,,,,5.0,6.0,,,,,,47,2015-08-02
Adelaide,2015,35↑,Hawthorn,SF,L,31,6,1.0,2.0,8,,,,2.0,1.0,2.0,4.0,2.0,1.0,,,5.0,3.0,,,,,2.0,27,2015-03-01
Adelaide,2016,36,Richmond,3,W,31,10,4.0,11.0,21,2.0,,,1.0,1.0,7.0,3.0,,,,,8.0,13.0,,1.0,2.0,,2.0,70,2016-03-15
Adelaide,2016,37,Sydney,4,W,31,10,1.0,5.0,15,,,,8.0,2.0,2.0,4.0,3.0,1.0,1.0,,13.0,5.0,,1.0,,,2.0,63,2016-03-22
Adelaide,2016,38,Hawthorn,5,L,31,6,1.0,12.0,18,2.0,,1.0,4.0,,,1.0,2.0,,1.0,,11.0,7.0,,1.0,,,,67,2016-03-29
Adelaide,2016,39,Fremantle,6,W,31,9,2.0,10.0,19,1.0,,1.0,4.0,1.0,1.0,5.0,3.0,1.0,,,10.0,9.0,,,2.0,,,73,2016-04-05
Adelaide,2016,40,Gold Coast,9,W,31,13,5.0,7.0,20,1.0,,,6.0,1.0,7.0,3.0,1.0,1.0,1.0,,7.0,13.0,,1.0,,,3.0,70,2016-04-26
Adelaide,2016,41,Greater Western Sydney,10,W,31,15,6.0,5.0,20,1.0,,,2.0,,4.0,6.0,2.0,,,,10.0,10.0,,1.0,,,1.0,64,2016-05-03
Adelaide,2016,42,St Kilda,11,W,31,16,4.0,12.0,28,1.0,,,2.0,1.0,4.0,4.0,1.0,1.0,,,9.0,19.0,,,,,1.0,74,2016-05-10
Adelaide,2016,43,West Coast,12,W,31,11,2.0,12.0,23,,1.0,,6.0,1.0,2.0,3.0,1.0,2.0,,,17.0,8.0,,,2.0,,1.0,71,2016-05-17
Adelaide,2016,44,North Melbourne,14,W,31,12,5.0,7.0,19,,1.0,,4.0,1.0,3.0,4.0,3.0,,1.0,,7.0,13.0,,1.0,1.0,,,67,2016-05-31
Adelaide,2016,45,Melbourne,15,W,31,16,3.0,7.0,23,1.0,1.0,,5.0,,7.0,5.0,2.0,,,,12.0,10.0,2.0,,2.0,1.0,1.0,67,2016-06-07
Adelaide,2016,46,Carlton,16,W,31,12,2.0,8.0,20,1.0,,,4.0,1.0,8.0,5.0,1.0,,,,12.0,8.0,1.0,1.0,1.0,,,68,2016-06-14
Adelaide,2016,47,Collingwood,17,W,31,18,5.0,3.0,21,2.0,,,7.0,1.0,5.0,4.0,4.0,,2.0,,5.0,17.0,,1.0,1.0,,,71,2016-06-21
Adelaide,2016,48,Geelong,18,L,31,13,3.0,11.0,24,,,,7.0,1.0,5.0,3.0,4.0,1.0,,,12.0,12.0,,1.0,1.0,,2.0,71,2016-06-28
Adelaide,2016,49,Essendon,19,W,31,8,4.0,13.0,21,1.0,1.0,,6.0,,1.0,7.0,2.0,2.0,2.0,,11.0,11.0,,1.0,2.0,,,74,2016-07-05
Adelaide,2016,50,Brisbane Lions,20,W,31,16,3.0,13.0,29,1.0,2.0,,2.0,2.0,1.0,6.0,,3.0,,,15.0,15.0,,,1.0,,1.0,77,2016-07-12
Adelaide,2016,51,Fremantle,21,W,31,15,3.0,13.0,28,,1.0,,7.0,1.0,5.0,4.0,5.0,,2.0,,8.0,20.0,,,,,1.0,74,2016-07-19
