team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Collingwood,2021,1,West Coast,5,L,18,9.0,4.0,9.0,18,,,,,,4.0,3.0,2.0,,1.0,,4.0,14,,,,,,77,2021-03-29
Collingwood,2021,2,Essendon,6,L,18,1.0,1.0,8.0,9,,,,1.0,,1.0,1.0,1.0,,,,7.0,2,,,,,,77,2021-04-05
Collingwood,2021,3,Gold Coast,7,L,18,4.0,2.0,7.0,11,,,,1.0,1.0,,1.0,4.0,,,,4.0,6,,,,,,62,2021-04-12
Collingwood,2021,4↑,Geelong,11,L,18,2.0,2.0,,2,,,,,,,,,,,,,2,,1.0,,,,23,2021-05-10
Collingwood,2021,5↑,St Kilda,16,L,18,1.0,,1.0,2,,,,,,1.0,,,,,,,2,,,,,,10,2021-06-14
Collingwood,2021,6,Port Adelaide,19,L,18,9.0,5.0,12.0,21,,,,1.0,1.0,4.0,3.0,5.0,1.0,,,9.0,12,,1.0,,,1.0,68,2021-07-05
Collingwood,2021,7,West Coast,20,W,18,6.0,4.0,9.0,15,,,,2.0,,4.0,,1.0,1.0,,,4.0,11,,,,,1.0,67,2021-07-12
Collingwood,2021,8,Hawthorn,21,L,18,8.0,4.0,12.0,20,1.0,,,2.0,,2.0,2.0,1.0,,1.0,,5.0,15,,,,,,61,2021-07-19
Collingwood,2021,9,Brisbane Lions,22,L,18,5.0,4.0,11.0,16,,,,2.0,,1.0,1.0,1.0,,1.0,,4.0,12,,,,,,61,2021-07-26
Collingwood,2022,10↑,Western Bulldogs,9,L,18,1.0,,3.0,4,,,,2.0,,1.0,,1.0,1.0,,,3.0,1,,,2.0,,,27,2022-04-26
Collingwood,2022,11,Carlton,23,W,18,5.0,1.0,6.0,11,,,,,1.0,1.0,,5.0,,1.0,,4.0,8,,,2.0,,,65,2022-08-02
Collingwood,2023,12↑,Essendon,24,W,18,,,7.0,7,,,,8.0,,,1.0,,1.0,,,4.0,5,,,,,,37,2023-08-09
Collingwood,2024,13↑,Sydney,2,L,18,2.0,,6.0,8,,,,2.0,1.0,2.0,2.0,,1.0,,,5.0,3,,,,,1.0,26,2024-03-08
Collingwood,2024,14↑,St Kilda,3,L,18,2.0,,1.0,3,,,,2.0,,,,,2.0,,,1.0,2,,,1.0,,,25,2024-03-15
Collingwood,2024,15↓,Brisbane Lions,4,W,18,4.0,1.0,2.0,6,,,,3.0,,,2.0,2.0,,,,3.0,3,,,,,1.0,38,2024-03-22
Collingwood,2024,16,West Coast,10,W,18,9.0,3.0,8.0,17,3.0,,,,,6.0,,1.0,1.0,,,1.0,16,,2.0,1.0,,1.0,87,2024-05-03
Collingwood,2024,17,Adelaide,11,W,18,7.0,1.0,5.0,12,,,,5.0,,2.0,1.0,,,,,6.0,5,,,,,,76,2024-05-10
Collingwood,2024,18,Western Bulldogs,13,L,18,5.0,,6.0,11,,,,4.0,3.0,1.0,4.0,3.0,1.0,2.0,,6.0,6,,,,,,67,2024-05-24
Collingwood,2024,19,Melbourne,14,W,18,10.0,1.0,6.0,16,1.0,1.0,,4.0,,4.0,5.0,1.0,,,,7.0,9,,,,,1.0,70,2024-05-31
Collingwood,2024,20↓,North Melbourne,15,W,18,3.0,,3.0,6,,,,,2.0,,2.0,2.0,,,,3.0,4,,,1.0,,,36,2024-06-07
Collingwood,2024,21↑,Melbourne,25,W,18,4.0,2.0,7.0,11,,1.0,,1.0,,3.0,2.0,1.0,,,,3.0,9,,,2.0,,,51,2024-08-23
