team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2024,1↑,St Kilda,2,W,7,5,,,5,,,,2,,,1.0,,,,,3,1,,,1.0,,,26,2024-03-08
Geelong,2024,2,Adelaide,3,W,7,9,,4.0,13,1.0,2.0,,2,1.0,4.0,1.0,2.0,,2.0,,3,10,,,1.0,,2.0,69,2024-03-15
Geelong,2024,3,Hawthorn,18,W,7,11,3.0,9.0,20,,2.0,,14,,4.0,3.0,2.0,3.0,2.0,,9,12,,2.0,,,1.0,78,2024-06-28
Geelong,2024,4,Collingwood,19,W,7,10,3.0,4.0,14,1.0,1.0,,4,,2.0,,1.0,,,,3,7,1.0,1.0,,,1.0,83,2024-07-05
Geelong,2024,5,Western Bulldogs,20,L,7,15,,4.0,19,,,,8,3.0,4.0,8.0,2.0,2.0,1.0,,12,3,,,1.0,,1.0,84,2024-07-12
Geelong,2024,6,North Melbourne,21,W,7,8,2.0,4.0,12,2.0,,,3,2.0,2.0,3.0,1.0,1.0,,,9,5,,1.0,2.0,,,79,2024-07-19
Geelong,2024,7,Adelaide,22,W,7,14,1.0,3.0,17,2.0,,,3,,6.0,5.0,4.0,,1.0,,9,6,,,,,1.0,84,2024-07-26
Geelong,2024,8,Fremantle,23,W,7,8,,7.0,15,2.0,,,3,1.0,3.0,,2.0,,,,7,9,,,1.0,1.0,,89,2024-08-02
Geelong,2024,9,St Kilda,24,L,7,14,5.0,7.0,21,2.0,1.0,,1,2.0,3.0,4.0,4.0,1.0,2.0,,5,14,,1.0,2.0,,,87,2024-08-09
Geelong,2024,10,West Coast,25,W,7,18,6.0,3.0,21,1.0,3.0,,6,,4.0,3.0,3.0,1.0,,,8,13,,2.0,1.0,3.0,,87,2024-08-16
Geelong,2024,11,Port Adelaide,QF,W,7,18,3.0,5.0,23,3.0,1.0,,5,,7.0,3.0,5.0,2.0,,,8,14,,1.0,1.0,,3.0,91,2024-03-01
Geelong,2024,12,Brisbane Lions,PF,L,7,12,1.0,3.0,15,1.0,2.0,,3,1.0,5.0,2.0,5.0,,,,6,10,,,1.0,2.0,,81,2024-03-01
Geelong,2025,13,Melbourne,5,W,7,14,4,4,18,1,,,5,,5,4,4,,,,7,9,1,,,,1,76,2025-03-29
