team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2017,1,Western Bulldogs,22,W,13,5.0,3.0,5.0,10.0,,,,4.0,,3.0,,2.0,,,,3.0,8.0,,,2.0,,,80.0,2017-07-26
Port Adelaide,2017,2,Gold Coast,23,W,13,5.0,4.0,1.0,6.0,1.0,2.0,,2.0,,1.0,,1.0,,,,4.0,3.0,2.0,2.0,3.0,,,76.0,2017-08-02
Port Adelaide,2017,3,West Coast,EF,L,13,5.0,3.0,5.0,10.0,,,,4.0,,2.0,,2.0,2.0,1.0,,4.0,7.0,,,1.0,,1.0,66.0,2017-03-01
Port Adelaide,2018,4,Fremantle,1,W,13,6.0,2.0,4.0,10.0,4.0,,,2.0,,1.0,1.0,3.0,,2.0,,3.0,6.0,,2.0,,,1.0,69.0,2018-03-01
Port Adelaide,2018,5,Sydney,2,W,13,7.0,3.0,5.0,12.0,3.0,1.0,,,,2.0,,1.0,,1.0,,9.0,3.0,1.0,2.0,2.0,,,52.0,2018-03-08
Port Adelaide,2018,6,Brisbane Lions,3,W,13,8.0,3.0,,8.0,1.0,1.0,,3.0,,5.0,,1.0,2.0,,,7.0,3.0,,1.0,2.0,,1.0,73.0,2018-03-15
Port Adelaide,2018,7,Essendon,4,L,13,6.0,1.0,2.0,8.0,1.0,2.0,,1.0,,1.0,,,1.0,,,2.0,5.0,,1.0,2.0,,1.0,39.0,2018-03-22
Port Adelaide,2018,8,Western Bulldogs,13,W,13,6.0,2.0,2.0,8.0,,2.0,,,,1.0,,,1.0,,,5.0,4.0,1.0,1.0,1.0,,,63.0,2018-05-24
Port Adelaide,2018,9,Melbourne,14,W,13,5.0,3.0,4.0,9.0,,1.0,,3.0,,3.0,,,2.0,,,5.0,5.0,,,1.0,,,62.0,2018-05-31
Port Adelaide,2018,10,Carlton,15,W,13,2.0,2.0,3.0,5.0,2.0,,,3.0,,1.0,,,,,,2.0,3.0,,1.0,1.0,,,65.0,2018-06-07
Port Adelaide,2019,11,Melbourne,1,W,13,8.0,4.0,2.0,10.0,1.0,1.0,,,1.0,1.0,,1.0,3.0,,,2.0,8.0,,1.0,1.0,,1.0,72.0,2019-03-01
Port Adelaide,2019,12,Carlton,2,W,13,5.0,2.0,2.0,7.0,,,,3.0,,,,2.0,,1.0,,3.0,3.0,1.0,,,,,74.0,2019-03-08
Port Adelaide,2019,13,West Coast,5,W,13,8.0,3.0,2.0,10.0,1.0,2.0,,1.0,,4.0,,,2.0,,,7.0,3.0,2.0,1.0,2.0,,,81.0,2019-03-29
Port Adelaide,2019,14,North Melbourne,6,W,13,7.0,2.0,3.0,10.0,,,,,,3.0,,,,,,6.0,3.0,,1.0,3.0,,1.0,77.0,2019-04-05
Port Adelaide,2019,15,Collingwood,7,L,13,7.0,4.0,3.0,10.0,1.0,,,3.0,,1.0,,3.0,1.0,,,5.0,4.0,2.0,2.0,1.0,,,84.0,2019-04-12
Port Adelaide,2019,16,Adelaide,8,L,13,6.0,2.0,1.0,7.0,,,,3.0,,1.0,,3.0,1.0,,,3.0,4.0,,2.0,3.0,,,80.0,2019-04-19
Port Adelaide,2019,17,Essendon,20,W,13,10.0,6.0,1.0,11.0,3.0,,1.0,1.0,,3.0,,1.0,2.0,,,3.0,9.0,,2.0,,,2.0,69.0,2019-07-12
Port Adelaide,2019,18,Sydney,21,W,13,7.0,2.0,4.0,11.0,2.0,,,8.0,,3.0,,2.0,4.0,2.0,,7.0,4.0,1.0,,2.0,,,66.0,2019-07-19
Port Adelaide,2019,19,North Melbourne,22,L,13,2.0,3.0,4.0,6.0,,,,2.0,,1.0,,3.0,,1.0,,4.0,3.0,1.0,1.0,1.0,,,69.0,2019-07-26
Port Adelaide,2019,20,Fremantle,23,W,13,8.0,7.0,4.0,12.0,2.0,1.0,,2.0,,2.0,,,,,,3.0,9.0,2.0,4.0,,,3.0,71.0,2019-08-02
Port Adelaide,2020,21,Gold Coast,1,W,4,6.0,4.0,4.0,10.0,2.0,2.0,2.0,2.0,1.0,1.0,,,1.0,,,5.0,6.0,,2.0,1.0,,,79.0,2020-03-01
Port Adelaide,2020,22,Adelaide,2,W,4,8.0,6.0,3.0,11.0,2.0,,,1.0,1.0,4.0,,,,,,6.0,5.0,2.0,1.0,2.0,,2.0,75.0,2020-03-08
Port Adelaide,2020,23,Fremantle,3,W,4,8.0,3.0,2.0,10.0,1.0,2.0,,3.0,,,,2.0,1.0,1.0,,7.0,2.0,2.0,3.0,1.0,,1.0,81.0,2020-03-15
Port Adelaide,2020,24,West Coast,4,W,4,7.0,5.0,1.0,8.0,1.0,1.0,,5.0,,2.0,,1.0,2.0,,,4.0,3.0,2.0,2.0,,,1.0,82.0,2020-03-22
Port Adelaide,2020,25,Brisbane Lions,5,L,4,3.0,2.0,1.0,4.0,1.0,,1.0,4.0,,2.0,,2.0,,,,2.0,2.0,,1.0,2.0,,,71.0,2020-03-29
Port Adelaide,2020,26,Greater Western Sydney,6,W,4,7.0,3.0,,7.0,1.0,1.0,,1.0,,3.0,,2.0,1.0,2.0,,1.0,6.0,,,4.0,,,84.0,2020-04-05
Port Adelaide,2020,27,Carlton,7,W,4,12.0,5.0,3.0,15.0,,1.0,,3.0,,3.0,1.0,2.0,1.0,1.0,,9.0,6.0,1.0,,4.0,,1.0,74.0,2020-04-12
Port Adelaide,2020,28,St Kilda,8,L,4,6.0,2.0,,6.0,1.0,,,5.0,,4.0,,3.0,1.0,,,3.0,2.0,,1.0,3.0,,1.0,70.0,2020-04-19
Port Adelaide,2020,29,Sydney,14,W,4,3.0,1.0,4.0,7.0,,,,2.0,,1.0,,1.0,,,,3.0,5.0,,1.0,3.0,,,88.0,2020-05-31
Port Adelaide,2020,30,North Melbourne,16,W,4,5.0,1.0,3.0,8.0,,,,1.0,2.0,2.0,,1.0,1.0,,,3.0,5.0,,,6.0,,,81.0,2020-06-14
Port Adelaide,2020,31,Essendon,17,W,4,9.0,3.0,1.0,10.0,,1.0,,4.0,1.0,3.0,,3.0,1.0,,,2.0,7.0,,1.0,2.0,,,79.0,2020-06-21
Port Adelaide,2020,32,Collingwood,18,W,4,5.0,4.0,1.0,6.0,1.0,,,2.0,,1.0,,3.0,1.0,,,3.0,4.0,,2.0,1.0,,,70.0,2020-06-28
Port Adelaide,2020,33,Geelong,QF,W,4,2.0,1.0,1.0,3.0,1.0,,,2.0,,1.0,,2.0,,1.0,,,3.0,,1.0,,,,56.0,2020-03-01
Port Adelaide,2020,34,Richmond,PF,L,4,3.0,1.0,3.0,6.0,,1.0,,,,1.0,,,,,,4.0,3.0,1.0,,1.0,,,75.0,2020-03-01
Port Adelaide,2021,35,North Melbourne,1,W,4,9.0,5.0,1.0,10.0,2.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,,5.0,6.0,2.0,4.0,2.0,,,84.0,2021-03-01
Port Adelaide,2021,36,West Coast,3,L,4,7.0,5.0,1.0,8.0,3.0,1.0,,1.0,,2.0,,3.0,,1.0,,3.0,5.0,1.0,3.0,3.0,,2.0,78.0,2021-03-15
Port Adelaide,2021,37,Carlton,5,W,4,15.0,9.0,4.0,19.0,1.0,,,2.0,,3.0,1.0,1.0,1.0,,,9.0,10.0,3.0,2.0,1.0,,1.0,77.0,2021-03-29
Port Adelaide,2021,38,St Kilda,6,W,4,7.0,5.0,3.0,10.0,,,1.0,1.0,,4.0,,1.0,,,,4.0,7.0,2.0,,1.0,,1.0,72.0,2021-04-05
Port Adelaide,2021,39,Brisbane Lions,7,L,4,5.0,2.0,2.0,7.0,,,,2.0,,2.0,,1.0,1.0,,,6.0,3.0,1.0,,3.0,,,72.0,2021-04-12
Port Adelaide,2021,40,Adelaide,8,W,4,10.0,3.0,4.0,14.0,3.0,,2.0,2.0,,2.0,1.0,3.0,2.0,,,9.0,6.0,2.0,1.0,3.0,,1.0,62.0,2021-04-19
Port Adelaide,2021,41,Western Bulldogs,9,L,4,10.0,5.0,3.0,13.0,,1.0,1.0,,1.0,3.0,1.0,1.0,,,,3.0,9.0,1.0,2.0,4.0,,2.0,82.0,2021-04-26
Port Adelaide,2021,42,Collingwood,10,W,4,7.0,4.0,,7.0,1.0,,,2.0,2.0,2.0,,3.0,1.0,1.0,,3.0,6.0,1.0,1.0,2.0,,1.0,69.0,2021-05-03
Port Adelaide,2021,43,Fremantle,11,W,4,9.0,7.0,2.0,11.0,2.0,1.0,,1.0,,1.0,,2.0,1.0,1.0,,4.0,9.0,1.0,4.0,7.0,,,78.0,2021-05-10
Port Adelaide,2021,44↓,Geelong,13,L,4,,,,,,,,,,,,,1.0,,,1.0,,,,,,,5.0,2021-05-24
Port Adelaide,2021,45,Sydney,15,W,4,4.0,3.0,5.0,9.0,2.0,,,3.0,,1.0,1.0,1.0,1.0,1.0,,6.0,3.0,1.0,2.0,3.0,,,76.0,2021-06-07
Port Adelaide,2021,46,Hawthorn,16,W,4,7.0,3.0,5.0,12.0,2.0,1.0,,1.0,,4.0,,1.0,3.0,1.0,,8.0,4.0,,1.0,,,1.0,73.0,2021-06-14
Port Adelaide,2021,47,Melbourne,17,L,4,6.0,2.0,1.0,7.0,,,,,,2.0,,2.0,1.0,,,4.0,2.0,1.0,1.0,1.0,,,79.0,2021-06-21
Port Adelaide,2021,48,St Kilda,18,W,4,7.0,3.0,3.0,10.0,,1.0,,1.0,1.0,2.0,,3.0,,1.0,,3.0,5.0,1.0,1.0,1.0,,1.0,75.0,2021-06-28
Port Adelaide,2021,49,Collingwood,19,W,4,12.0,4.0,3.0,15.0,3.0,,,1.0,1.0,1.0,1.0,3.0,2.0,,,6.0,9.0,,3.0,,,1.0,79.0,2021-07-05
Port Adelaide,2021,50,Greater Western Sydney,20,W,4,14.0,9.0,2.0,16.0,1.0,1.0,,3.0,,3.0,,1.0,,,,3.0,13.0,1.0,2.0,3.0,,1.0,87.0,2021-07-12
