team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2011,1,Essendon,6,L,45,10,2.0,6.0,16,,,,1.0,1.0,2.0,,3.0,,1.0,,6.0,9,,,7.0,1.0,,90,2011-04-05
Gold Coast,2011,2,Adelaide,8,L,45,10,4.0,5.0,15,,,,1.0,3.0,,,1.0,1.0,1.0,,6.0,9,,,7.0,,,100,2011-04-19
Gold Coast,2011,3,Geelong,10,L,45,10,5.0,3.0,13,,1.0,2.0,1.0,7.0,,,6.0,2.0,1.0,,4.0,8,,,8.0,2.0,,97,2011-05-03
Gold Coast,2011,4,West Coast,11,L,45,11,5.0,1.0,12,,,,4.0,6.0,1.0,,1.0,,,,2.0,7,,,5.0,1.0,,96,2011-05-10
Gold Coast,2011,5,North Melbourne,12,L,45,3,,3.0,6,,,,2.0,2.0,,,1.0,,,,2.0,3,,,8.0,,,91,2011-05-17
Gold Coast,2011,6,St Kilda,19,L,45,3,2.0,5.0,8,,,,1.0,,,1.0,1.0,2.0,1.0,,7.0,4,,,2.0,,,88,2011-07-05
Gold Coast,2011,7,Geelong,20,L,45,9,4.0,3.0,12,,,,4.0,3.0,2.0,1.0,,1.0,,,5.0,6,,,4.0,,,97,2011-07-12
Gold Coast,2011,8,Brisbane Lions,21,L,45,17,11.0,3.0,20,,,,2.0,4.0,1.0,,3.0,1.0,1.0,,6.0,11,2.0,,12.0,,,100,2011-07-19
Gold Coast,2011,9↓,Adelaide,22,L,45,3,1.0,5.0,8,,,,1.0,2.0,,,3.0,1.0,,,4.0,3,,,3.0,,,49,2011-07-26
Gold Coast,2012,10,Adelaide,1,L,45,7,4.0,4.0,11,,,,1.0,4.0,1.0,,2.0,1.0,1.0,,3.0,7,1.0,,7.0,,,87,2012-03-01
Gold Coast,2012,11,St Kilda,2,L,45,4,2.0,6.0,10,,1.0,,3.0,1.0,,,1.0,1.0,1.0,,4.0,3,2.0,1.0,4.0,,,81,2012-03-08
Gold Coast,2012,12,West Coast,14,L,45,10,5.0,3.0,13,,,,4.0,4.0,,,1.0,,,,5.0,8,2.0,,5.0,,,99,2012-05-31
Gold Coast,2012,13,Sydney,18,L,45,9,5.0,3.0,12,,,,1.0,2.0,,,2.0,,1.0,,2.0,10,,,7.0,,,97,2012-06-28
Gold Coast,2012,14↓,Greater Western Sydney,20,W,45,4,3.0,1.0,5,,,,,3.0,,,2.0,,1.0,,,5,,,1.0,,,69,2012-07-12
Gold Coast,2012,15,Hawthorn,21,L,45,16,12.0,6.0,22,3.0,,,2.0,,6.0,,2.0,3.0,,1.0,11.0,11,4.0,2.0,1.0,,1.0,92,2012-07-19
Gold Coast,2012,16,Carlton,22,W,45,8,7.0,2.0,10,,1.0,,1.0,,1.0,,3.0,,1.0,,2.0,8,1.0,1.0,1.0,,1.0,90,2012-07-26
Gold Coast,2012,17,Adelaide,23,L,45,6,3.0,3.0,9,2.0,,,1.0,,1.0,,2.0,2.0,,,7.0,2,2.0,2.0,3.0,,,93,2012-08-02
Gold Coast,2013,18,St Kilda,1,W,17,7,2.0,1.0,8,,1.0,,1.0,1.0,6.0,,,2.0,,,3.0,5,,,6.0,,3.0,91,2013-03-01
Gold Coast,2013,19,Sydney,2,L,17,4,2.0,8.0,12,1.0,,,1.0,,1.0,1.0,6.0,2.0,4.0,,8.0,4,,,3.0,,,93,2013-03-08
Gold Coast,2013,20,Brisbane Lions,3,L,17,6,2.0,3.0,9,2.0,,,2.0,,3.0,,2.0,1.0,1.0,,5.0,4,,,4.0,,1.0,89,2013-03-15
Gold Coast,2013,21,Port Adelaide,4,L,17,3,1.0,7.0,10,1.0,,,,,2.0,1.0,2.0,1.0,2.0,,8.0,2,1.0,,1.0,,1.0,94,2013-03-22
Gold Coast,2013,22,Greater Western Sydney,5,W,17,7,3.0,6.0,13,1.0,1.0,,1.0,,3.0,,1.0,,,,4.0,10,,2.0,3.0,,1.0,96,2013-03-29
Gold Coast,2013,23↓,Melbourne,7,W,17,4,1.0,3.0,7,1.0,1.0,,2.0,,,,1.0,2.0,,,6.0,1,1.0,,2.0,,,52,2013-04-12
Gold Coast,2013,24,Western Bulldogs,8,W,17,5,3.0,3.0,8,1.0,,,1.0,1.0,2.0,,1.0,1.0,,,3.0,6,,1.0,1.0,,,95,2013-04-19
Gold Coast,2013,25,Hawthorn,9,L,17,6,4.0,5.0,11,,,,2.0,,2.0,,4.0,,1.0,,6.0,7,1.0,,4.0,1.0,1.0,69,2013-04-26
Gold Coast,2013,26,Adelaide,14,L,17,4,4.0,4.0,8,2.0,,,1.0,,3.0,,2.0,,,,6.0,2,4.0,1.0,1.0,,1.0,94,2013-05-31
Gold Coast,2013,27,Brisbane Lions,15,L,17,7,3.0,1.0,8,1.0,1.0,1.0,,,2.0,,,1.0,,,4.0,4,,1.0,1.0,,,95,2013-06-07
Gold Coast,2013,28,Richmond,16,L,17,4,1.0,1.0,5,,,,3.0,,2.0,,3.0,1.0,,,2.0,3,,,2.0,,,89,2013-06-14
Gold Coast,2013,29,Collingwood,17,W,17,10,6.0,1.0,11,,,1.0,2.0,5.0,,,2.0,,1.0,,4.0,7,1.0,,12.0,1.0,,96,2013-06-21
Gold Coast,2013,30,Carlton,18,L,17,6,1.0,6.0,12,,,,,2.0,1.0,,7.0,,1.0,,7.0,5,,,15.0,,,89,2013-06-28
Gold Coast,2013,31,West Coast,19,L,17,13,7.0,2.0,15,,,,2.0,5.0,1.0,,4.0,,2.0,,5.0,9,1.0,,7.0,,,93,2013-07-05
Gold Coast,2013,32,Melbourne,20,W,17,11,7.0,1.0,12,,1.0,,2.0,3.0,,,1.0,1.0,,,2.0,8,1.0,1.0,6.0,,,96,2013-07-12
Gold Coast,2013,33,Port Adelaide,21,L,17,5,3.0,1.0,6,,1.0,2.0,5.0,4.0,,,1.0,,1.0,,3.0,3,,,5.0,1.0,,93,2013-07-19
Gold Coast,2013,34,St Kilda,22,L,17,11,7.0,6.0,17,,,,1.0,2.0,,,3.0,,1.0,,4.0,13,,,7.0,1.0,,93,2013-07-26
