team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2023,1,North Melbourne,10,W,46,3,1.0,6,9,,1.0,20,5.0,,1.0,3.0,,1.0,,,6,2.0,,,4.0,,,66,2023-05-03
Sydney,2023,2↓,Carlton,11,W,46,1,1.0,2,3,,,7,1.0,2.0,,,2.0,,1.0,,2,,1.0,,2.0,,,42,2023-05-10
Adelaide,2026,3,Collingwood,2,W,42,4,1.0,9,13,,,27,4.0,2.0,2.0,5.0,3.0,1.0,2.0,,8,6.0,,,3.0,,1.0,72,2026-03-08
Adelaide,2026,4,Western Bulldogs,3,L,42,7,2.0,6,13,,,38,2.0,2.0,4.0,6.0,7.0,2.0,1.0,,9,4.0,,,1.0,,,77,2026-03-15
Adelaide,2026,5,Geelong,4,L,42,9,1.0,8,17,,,40,1.0,1.0,2.0,4.0,2.0,2.0,,,7,10.0,,,1.0,,,77,2026-03-22
Adelaide,2026,6,Fremantle,5,L,42,5,3.0,3,8,,,31,13.0,,,3.0,1.0,,,,5,3.0,2.0,,5.0,,,65,2026-03-29
Adelaide,2026,7,Carlton,6,W,42,6,3.0,4,10,,1.0,35,5.0,,2.0,5.0,3.0,2.0,3.0,,6,2.0,1.0,,2.0,,1.0,72,2026-04-05
Adelaide,2026,8,St Kilda,7,W,42,4,1.0,5,9,,,29,3.0,,2.0,6.0,1.0,2.0,1.0,,7,1.0,,,,,,75,2026-04-12
Adelaide,2026,9,Brisbane Lions,8,L,42,6,,5,11,,,30,6.0,1.0,4.0,6.0,4.0,5.0,1.0,,10,2.0,,,,,,64,2026-04-19
Adelaide,2026,10,Port Adelaide,9,W,42,6,2.0,5,11,,,33,4.0,1.0,3.0,3.0,2.0,1.0,1.0,,8,3.0,1.0,1.0,2.0,,,74,2026-04-26
Adelaide,2026,11,Richmond,10,W,42,6,4.0,3,9,1.0,,33,4.0,2.0,2.0,3.0,3.0,1.0,2.0,,7,4.0,1.0,1.0,,,,69,2026-05-03
Adelaide,2026,12,North Melbourne,11,W,42,6,3.0,3,9,2.0,,19,6.0,1.0,1.0,5.0,7.0,2.0,6.0,,7,2.0,1.0,1.0,2.0,,1.0,66,2026-05-10
Adelaide,2026,13,Hawthorn,12,L,42,7,2.0,5,12,1.0,,22,5.0,1.0,2.0,7.0,5.0,2.0,4.0,,8,3.0,,,3.0,,,72,2026-05-17
Adelaide,2026,14,Geelong,14,W,42,5,4.0,11,16,,,51,7.0,1.0,3.0,2.0,1.0,,,,11,6.0,2.0,,4.0,,1.0,75,2026-05-31
Adelaide,2026,15,Western Bulldogs,15,W,42,7,5.0,8,15,,,36,,,2.0,4.0,2.0,2.0,1.0,,11,6.0,4.0,,2.0,,,73,2026-06-07
Adelaide,2026,16,Melbourne,16,W,42,4,4,9,13,,1,26,3,,2,4,4,2,3,,6,7,,,5,,,70,2026-06-14
