team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2025,1,Carlton,15,L,45,19,6,12,31,,,,1.0,7,1.0,,1.0,1.0,1.0,,9,12,,,2.0,,1.0,80,2025-06-07
West Coast,2025,2,Collingwood,17,L,45,22,5,7,29,,,,,5,3.0,1.0,4.0,,,,7,19,2.0,,1.0,1.0,,83,2025-06-21
West Coast,2025,3,Greater Western Sydney,18,L,45,14,6,5,19,,,,2.0,11,1.0,1.0,2.0,1.0,1.0,,4,9,,,3.0,2.0,,82,2025-06-28
West Coast,2025,4,Port Adelaide,19,L,45,12,2,9,21,,,,3.0,4,1.0,2.0,1.0,,,,4,11,,,4.0,,,79,2025-07-05
West Coast,2025,5,Richmond,20,L,45,10,5,8,18,,,,2.0,5,1.0,1.0,4.0,1.0,,,6,9,,,1.0,1.0,,82,2025-07-12
West Coast,2025,6,Fremantle,21,L,45,18,6,3,21,,,,1.0,8,3.0,,3.0,,,,1,14,,,1.0,3.0,1.0,86,2025-07-19
West Coast,2025,7,Melbourne,22,L,45,16,7,10,26,,,,1.0,5,3.0,5.0,2.0,1.0,1.0,,10,13,,,1.0,2.0,1.0,76,2025-07-26
West Coast,2025,8,Adelaide,23,L,45,21,3,8,29,,,,2.0,5,5.0,2.0,9.0,1.0,3.0,,7,17,,,,1.0,,81,2025-08-02
West Coast,2025,9,Western Bulldogs,24,L,45,13,2,12,25,,,,3.0,3,3.0,4.0,4.0,1.0,,,7,13,,,,1.0,2.0,82,2025-08-09
West Coast,2025,10,Sydney,25,L,45,9,4,8,17,,1.0,,6.0,5,1.0,,5.0,1.0,1.0,,7,10,,1.0,2.0,,,77,2025-08-16
West Coast,2026,11,Gold Coast,2,L,18,14,6,3,17,,,,5.0,3,4.0,3.0,2.0,2.0,,,4,14,,,,1.0,,64,2026-03-08
West Coast,2026,12,North Melbourne,3,W,18,12,6,6,18,,,,3.0,2,4.0,2.0,2.0,1.0,1.0,,5,12,1.0,,1.0,,,84,2026-03-15
West Coast,2026,13,Port Adelaide,4,W,18,17,7,3,20,,,,1.0,8,3.0,,2.0,,1.0,,5,10,2.0,,1.0,1.0,1.0,83,2026-03-22
West Coast,2026,14,Sydney,5,L,18,15,5,4,19,,1.0,,2.0,4,4.0,4.0,1.0,,,,5,9,,,,,,79,2026-03-29
West Coast,2026,15,Geelong,6,L,18,24,1,4,28,,,,,8,3.0,1.0,4.0,1.0,1.0,,1,15,,,,1.0,,78,2026-04-05
West Coast,2026,16,Fremantle,7,L,18,21,9,7,28,,,,3.0,5,3.0,1.0,4.0,,1.0,,7,16,1.0,,2.0,2.0,1.0,88,2026-04-12
West Coast,2026,17,St Kilda,8,L,18,10,3,6,16,,,,3.0,2,2.0,,,,,,2,11,,,2.0,1.0,,73,2026-04-19
West Coast,2026,18,Richmond,9,L,18,18,10,5,23,,,,1.0,5,,1.0,2.0,,,,4,16,,,2.0,,,82,2026-04-26
West Coast,2026,19,Melbourne,10,L,18,20,6,10,30,,,,,7,6.0,4.0,2.0,,,,10,18,,,2.0,1.0,1.0,87,2026-05-03
West Coast,2026,20,Greater Western Sydney,11,W,18,12,3,1,13,,,,3.0,6,,,4.0,,,,1,8,1.0,,1.0,,,80,2026-05-10
West Coast,2026,21,Collingwood,12,L,18,17,7,13,30,,,,1.0,8,2.0,1.0,3.0,1.0,1.0,,9,16,,,2.0,,,80,2026-05-17
West Coast,2026,22,Essendon,13,W,18,17,8,9,26,1,,,,5,1,2,,,,,7,17,,1,2,,,80,2026-05-24
