team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2015,1,Fremantle,22,L,28,7.0,7.0,8.0,15.0,,,,,1.0,1.0,,3.0,,,,2.0,13.0,,,4.0,,,94.0,2015-07-26
Melbourne,2015,2,Greater Western Sydney,23,W,28,7.0,6.0,8.0,15.0,,,,,,1.0,,4.0,,2.0,,5.0,10.0,,,3.0,,,87.0,2015-08-02
Melbourne,2016,3,Greater Western Sydney,1,W,28,3.0,3.0,8.0,11.0,,,,,2.0,1.0,,2.0,,1.0,,4.0,7.0,1.0,,3.0,,,66.0,2016-03-01
Melbourne,2016,4,Brisbane Lions,9,W,28,6.0,2.0,12.0,18.0,,,,,4.0,1.0,1.0,1.0,,,,5.0,13.0,,,3.0,,,89.0,2016-04-26
Melbourne,2016,5,Port Adelaide,10,L,28,4.0,4.0,11.0,15.0,,,,2.0,2.0,1.0,,2.0,1.0,2.0,,6.0,9.0,,,7.0,,1.0,82.0,2016-05-03
Melbourne,2016,6,Hawthorn,11,L,28,11.0,1.0,11.0,22.0,,,,2.0,3.0,2.0,2.0,5.0,2.0,3.0,,13.0,9.0,,,9.0,,,87.0,2016-05-10
Melbourne,2016,7,Collingwood,12,W,28,8.0,4.0,10.0,18.0,,,,2.0,1.0,,,2.0,,2.0,,6.0,12.0,2.0,,6.0,,,95.0,2016-05-17
Melbourne,2016,8,Sydney,13,L,28,10.0,4.0,5.0,15.0,,,,6.0,,,1.0,2.0,5.0,,,8.0,9.0,,,9.0,,,85.0,2016-05-24
Melbourne,2016,9,Adelaide,15,L,28,5.0,2.0,10.0,15.0,,,,3.0,4.0,1.0,1.0,2.0,1.0,,,8.0,8.0,,,7.0,,,92.0,2016-06-07
Melbourne,2016,10,Fremantle,16,W,28,5.0,4.0,3.0,8.0,,,,2.0,,1.0,,1.0,,,,3.0,5.0,,,3.0,,,63.0,2016-06-14
Melbourne,2016,11,St Kilda,17,L,28,6.0,6.0,5.0,11.0,,,,,1.0,1.0,,,,,,1.0,10.0,,,5.0,,,93.0,2016-06-21
Melbourne,2016,12,West Coast,18,L,28,7.0,2.0,7.0,14.0,,,,,4.0,3.0,,,,,,5.0,7.0,,,4.0,,,85.0,2016-06-28
Melbourne,2016,13,Gold Coast,19,W,28,9.0,7.0,10.0,19.0,,,,1.0,,2.0,,,1.0,,,9.0,10.0,2.0,,7.0,,1.0,85.0,2016-07-05
Melbourne,2016,14,Hawthorn,20,W,28,8.0,6.0,15.0,23.0,,,,3.0,2.0,1.0,,,1.0,,,3.0,20.0,,,5.0,,,85.0,2016-07-12
Melbourne,2016,15,Port Adelaide,21,W,28,15.0,9.0,8.0,23.0,,,,2.0,5.0,3.0,,2.0,,,,7.0,14.0,2.0,,3.0,,,89.0,2016-07-19
Melbourne,2016,16,Carlton,22,L,28,10.0,3.0,10.0,20.0,,,,4.0,4.0,2.0,1.0,2.0,,1.0,,5.0,14.0,1.0,,8.0,,,88.0,2016-07-26
Melbourne,2016,17,Geelong,23,L,28,10.0,6.0,2.0,12.0,,,,,4.0,1.0,,,,,,2.0,9.0,,,6.0,,,97.0,2016-08-02
Melbourne,2017,18,St Kilda,1,W,28,13.0,5.0,6.0,19.0,,,,2.0,2.0,,1.0,4.0,,1.0,,9.0,10.0,1.0,,8.0,,,91.0,2017-03-01
