team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2021,1↑,St Kilda,18,W,41,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,8.0,2021-06-28
Port Adelaide,2022,2,Adelaide,3,L,41,5.0,,3.0,8.0,,2.0,,7.0,1.0,1.0,,2.0,,1.0,,2.0,5.0,,,1.0,,,83.0,2022-03-15
Port Adelaide,2022,3,Melbourne,4,L,41,4.0,4.0,2.0,6.0,,,,2.0,1.0,1.0,,,,,,1.0,5.0,,,,,,70.0,2022-03-22
Port Adelaide,2022,4,Carlton,5,L,41,,,,,,,,,,,,,,,,,,,,,,,,2022-03-29
Port Adelaide,2022,5,Greater Western Sydney,17,W,41,,,,,,,,,,,,,,,,,,,,,,,,2022-06-21
Port Adelaide,2022,6,Geelong,19,L,41,4.0,,9.0,13.0,1.0,,,3.0,,2.0,1.0,2.0,1.0,1.0,,5.0,9.0,,,1.0,,,62.0,2022-07-05
Port Adelaide,2022,7,Collingwood,20,L,41,5.0,2.0,5.0,10.0,,1.0,,2.0,,1.0,,3.0,1.0,1.0,,6.0,4.0,,1.0,,,,78.0,2022-07-12
Port Adelaide,2022,8,Richmond,21,L,41,1.0,3.0,6.0,7.0,,1.0,,2.0,,,,,,,,3.0,5.0,,1.0,4.0,,,78.0,2022-07-19
Port Adelaide,2022,9,Essendon,22,W,41,5.0,3.0,8.0,13.0,2.0,,,2.0,,2.0,,4.0,1.0,2.0,,3.0,10.0,,1.0,,,,70.0,2022-07-26
Port Adelaide,2022,10,Adelaide,23,W,41,2.0,1.0,9.0,11.0,2.0,,,5.0,,1.0,,1.0,1.0,1.0,,6.0,4.0,1.0,,1.0,,,66.0,2022-08-02
Port Adelaide,2023,11,Sydney,4,W,41,6.0,3.0,5.0,11.0,1.0,1.0,,3.0,,2.0,,4.0,,3.0,,3.0,7.0,,3.0,1.0,,,83.0,2023-03-22
Port Adelaide,2023,12,Western Bulldogs,5,W,41,4.0,3.0,7.0,11.0,1.0,,,5.0,,2.0,1.0,1.0,1.0,1.0,,7.0,5.0,,1.0,1.0,,,84.0,2023-03-29
Port Adelaide,2023,13,West Coast,6,W,41,5.0,2.0,2.0,7.0,,,,3.0,,2.0,,1.0,2.0,,,2.0,6.0,,,3.0,,1.0,73.0,2023-04-05
Port Adelaide,2023,14,St Kilda,7,W,41,6.0,1.0,5.0,11.0,1.0,,,3.0,,2.0,,3.0,,2.0,,5.0,8.0,,,1.0,,,76.0,2023-04-12
Port Adelaide,2023,15,Essendon,8,W,41,5.0,1.0,4.0,9.0,1.0,,,3.0,,3.0,,,,,,5.0,4.0,,,1.0,,,77.0,2023-04-19
Port Adelaide,2023,16,North Melbourne,9,W,41,5.0,1.0,4.0,9.0,2.0,,,5.0,,2.0,1.0,1.0,1.0,1.0,,4.0,6.0,,,,,1.0,79.0,2023-04-26
Port Adelaide,2023,17,Melbourne,10,W,41,1.0,2.0,7.0,8.0,,1.0,,1.0,,,,3.0,,1.0,,5.0,4.0,,1.0,2.0,,,84.0,2023-05-03
Port Adelaide,2023,18,Richmond,11,W,41,10.0,2.0,3.0,13.0,1.0,,,1.0,,5.0,1.0,5.0,1.0,2.0,,5.0,7.0,,,1.0,,,71.0,2023-05-10
Port Adelaide,2023,19,Hawthorn,12,W,41,6.0,1.0,3.0,9.0,1.0,,,3.0,,2.0,,2.0,,1.0,,4.0,4.0,,,,,1.0,79.0,2023-05-17
Port Adelaide,2023,20,Western Bulldogs,13,W,41,6.0,5.0,5.0,11.0,2.0,,,,,2.0,,2.0,,1.0,,1.0,10.0,,2.0,2.0,,1.0,79.0,2023-05-24
Port Adelaide,2023,21,Geelong,14,W,41,2.0,,2.0,4.0,1.0,,,6.0,,,,2.0,1.0,1.0,,4.0,,,,,,,64.0,2023-05-31
Port Adelaide,2023,22,Essendon,16,W,41,2.0,3.0,4.0,6.0,,,,1.0,,2.0,,3.0,1.0,2.0,,2.0,4.0,,1.0,,,1.0,78.0,2023-06-14
Port Adelaide,2023,23,Gold Coast,17,W,41,3.0,2.0,5.0,8.0,,,,2.0,,1.0,,,,,,3.0,6.0,,,2.0,,1.0,71.0,2023-06-21
Port Adelaide,2023,24,Carlton,18,L,41,5.0,1.0,7.0,12.0,1.0,,,3.0,,2.0,1.0,3.0,,1.0,,9.0,3.0,,1.0,2.0,,1.0,70.0,2023-06-28
Port Adelaide,2023,25,Collingwood,19,L,41,4.0,,2.0,6.0,,,,3.0,,2.0,,2.0,,,,5.0,1.0,,,1.0,,,71.0,2023-07-05
Port Adelaide,2023,26,Adelaide,20,L,41,1.0,,8.0,9.0,,,,3.0,,1.0,,3.0,1.0,,,4.0,5.0,,,,,,69.0,2023-07-12
Port Adelaide,2023,27,Geelong,21,L,41,4.0,1.0,3.0,7.0,,,,,,3.0,,1.0,,1.0,,2.0,5.0,,1.0,2.0,,1.0,79.0,2023-07-19
Port Adelaide,2023,28,Greater Western Sydney,22,W,41,5.0,3.0,5.0,10.0,1.0,,,2.0,1.0,2.0,,3.0,1.0,2.0,,3.0,8.0,,1.0,1.0,,1.0,72.0,2023-07-26
Port Adelaide,2023,29,Fremantle,23,W,41,4.0,3.0,6.0,10.0,1.0,,,3.0,1.0,2.0,,2.0,1.0,1.0,,4.0,6.0,1.0,1.0,,,1.0,74.0,2023-08-02
Port Adelaide,2023,30,Richmond,24,W,41,6.0,6.0,7.0,13.0,,,,3.0,,3.0,1.0,,,,,3.0,10.0,,,,,1.0,85.0,2023-08-09
Port Adelaide,2023,31,Brisbane Lions,QF,L,41,7.0,5.0,4.0,11.0,,1.0,,4.0,1.0,3.0,1.0,2.0,,1.0,,2.0,7.0,,1.0,1.0,,,77.0,2023-03-01
Port Adelaide,2023,32,Greater Western Sydney,SF,L,41,2.0,3.0,10.0,12.0,,,,7.0,1.0,1.0,1.0,1.0,,,,5.0,7.0,1.0,,,,,76.0,2023-03-01
Port Adelaide,2024,33↓,West Coast,2,W,41,1.0,1.0,,1.0,,,,1.0,,2.0,,,,,,,1.0,,,2.0,,,58.0,2024-03-08
Port Adelaide,2024,34,Melbourne,4,L,41,3.0,2.0,6.0,9.0,1.0,,,4.0,,2.0,,3.0,,3.0,,3.0,6.0,,1.0,,,,78.0,2024-03-22
Port Adelaide,2024,35,Essendon,5,W,41,2.0,1.0,6.0,8.0,1.0,,,5.0,,,,1.0,,,,5.0,3.0,,1.0,1.0,,,79.0,2024-03-29
Port Adelaide,2024,36↓,Fremantle,6,W,41,4.0,1.0,2.0,6.0,,1.0,,3.0,,1.0,,2.0,,,,3.0,4.0,,,,,,52.0,2024-04-05
Port Adelaide,2024,37↑,Collingwood,7,L,41,,,2.0,2.0,,,,1.0,,,,,,,,,2.0,,,,,,27.0,2024-04-12
Port Adelaide,2024,38,Adelaide,9,L,41,2.0,1.0,7.0,9.0,,1.0,,1.0,,2.0,,2.0,,1.0,,5.0,4.0,,1.0,1.0,,,64.0,2024-04-26
Port Adelaide,2024,39,Geelong,10,W,41,4.0,,2.0,6.0,,,,5.0,,2.0,,1.0,1.0,1.0,,4.0,2.0,,,,,,82.0,2024-05-03
Port Adelaide,2024,40,Hawthorn,11,W,41,4.0,2.0,3.0,7.0,,,,4.0,,2.0,,,,,,3.0,5.0,,1.0,,,,79.0,2024-05-10
Port Adelaide,2024,41,North Melbourne,12,W,41,10.0,4.0,7.0,17.0,1.0,2.0,,1.0,1.0,1.0,,3.0,,1.0,,5.0,11.0,,2.0,,,1.0,84.0,2024-05-17
Port Adelaide,2024,42,Carlton,13,L,41,4.0,1.0,2.0,6.0,1.0,,,2.0,,,,,,,,,6.0,,1.0,1.0,,1.0,84.0,2024-05-24
Port Adelaide,2024,43,Greater Western Sydney,15,L,41,3.0,1.0,5.0,8.0,,,,4.0,,2.0,2.0,2.0,,2.0,,4.0,6.0,,,1.0,,1.0,69.0,2024-06-07
Port Adelaide,2024,44,Brisbane Lions,16,L,41,4.0,2.0,4.0,8.0,1.0,,,1.0,,2.0,,1.0,,,,2.0,6.0,,,2.0,,,82.0,2024-06-14
Port Adelaide,2024,45,Fremantle,25,W,41,5.0,,2.0,7.0,1.0,,,5.0,,,,2.0,1.0,1.0,,3.0,2.0,,,,,,62.0,2024-08-16
Port Adelaide,2024,46,Geelong,QF,L,41,3.0,3.0,3.0,6.0,1.0,,,2.0,,1.0,,4.0,,2.0,,3.0,3.0,,,,,,67.0,2024-03-01
Port Adelaide,2025,47↓,Adelaide,10,L,41,1.0,1.0,3.0,4.0,,,,5.0,,,,1.0,1.0,1.0,,3.0,1.0,,,,,,51.0,2025-05-03
Port Adelaide,2025,48,Adelaide,21,L,41,4.0,1.0,,4.0,2.0,,,4.0,,,,1.0,,,,1.0,3.0,,1.0,,,,67.0,2025-07-19
Port Adelaide,2025,49,Geelong,22,L,41,10.0,3.0,5.0,15.0,1.0,2.0,,,,6.0,,1.0,1.0,1.0,,4.0,11.0,,1.0,1.0,,,83.0,2025-07-26
