team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2017,1,Hawthorn,1,W,1,12,6.0,10.0,22,,,,5.0,5.0,1.0,1.0,1.0,2.0,,,7.0,15,1.0,,1.0,,,81,2017-03-01
Essendon,2017,2,Brisbane Lions,2,W,1,9,5.0,7.0,16,,,,2.0,2.0,1.0,,,1.0,,,4.0,12,,,2.0,1.0,,75,2017-03-08
Essendon,2017,3,Carlton,3,L,1,6,1.0,6.0,12,,,,7.0,2.0,1.0,,4.0,,2.0,,5.0,7,,,4.0,,,81,2017-03-15
Essendon,2017,4,Adelaide,4,L,1,8,4.0,20.0,28,,,,4.0,2.0,2.0,,2.0,1.0,1.0,,6.0,22,,1.0,3.0,2.0,1.0,87,2017-03-22
Essendon,2017,5,Collingwood,5,W,1,7,1.0,12.0,19,,,,3.0,5.0,,,1.0,,,,9.0,11,,,1.0,,,79,2017-03-29
Essendon,2017,6,Melbourne,6,L,1,16,6.0,7.0,23,1.0,,,3.0,,5.0,1.0,3.0,1.0,,,5.0,16,,,2.0,,,85,2017-04-05
Essendon,2017,7,Geelong,8,W,1,8,3.0,4.0,12,,1.0,,3.0,3.0,3.0,1.0,1.0,,,,4.0,8,,,3.0,1.0,2.0,75,2017-04-19
Essendon,2017,8,West Coast,9,W,1,13,5.0,8.0,21,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,2.0,18,,,2.0,1.0,,82,2017-04-26
Essendon,2017,9,Richmond,10,L,1,12,4.0,14.0,26,,,,2.0,4.0,,,2.0,1.0,,,6.0,16,2.0,,4.0,1.0,,88,2017-05-03
Essendon,2017,10,Greater Western Sydney,11,L,1,7,5.0,8.0,15,,,,4.0,1.0,,,2.0,,,,2.0,12,,,2.0,,,78,2017-05-10
Essendon,2017,11,Port Adelaide,12,W,1,9,6.0,12.0,21,,,,1.0,2.0,1.0,,1.0,,,,3.0,18,1.0,,1.0,1.0,,81,2017-05-17
Essendon,2017,12,Sydney,14,L,1,6,2.0,7.0,13,,,,,2.0,2.0,2.0,1.0,1.0,,,4.0,9,,,1.0,,,69,2017-05-31
Essendon,2017,13,Brisbane Lions,15,L,1,4,3.0,21.0,25,,,,4.0,2.0,,1.0,,,,,6.0,18,,,,1.0,,83,2017-06-07
Essendon,2017,14,Collingwood,16,W,1,8,3.0,13.0,21,,,,3.0,3.0,,1.0,,,,,5.0,16,,,3.0,3.0,,85,2017-06-14
Essendon,2017,15,St Kilda,17,W,1,6,5.0,17.0,23,,,,2.0,2.0,,,,,,,5.0,18,,,3.0,,,76,2017-06-21
Essendon,2017,16,North Melbourne,18,W,1,6,2.0,6.0,12,,,,5.0,1.0,1.0,1.0,4.0,1.0,1.0,,8.0,4,,,1.0,,,79,2017-06-28
Essendon,2017,17,Western Bulldogs,19,L,1,2,1.0,11.0,13,,,,2.0,,,,,,,,5.0,8,,,3.0,,,86,2017-07-05
Essendon,2017,18,Adelaide,21,L,1,14,8.0,11.0,25,,,,,5.0,,2.0,2.0,,,,7.0,18,,,1.0,,,88,2017-07-19
Essendon,2017,19,Gold Coast,22,W,1,13,6.0,12.0,25,,,,2.0,4.0,1.0,3.0,4.0,1.0,1.0,,7.0,19,,,,,,73,2017-07-26
Essendon,2017,20,Fremantle,23,W,1,6,3.0,15.0,21,,,,,,2.0,1.0,,1.0,,,4.0,17,,,,,,80,2017-08-02
Essendon,2017,21,Sydney,EF,L,1,9,4.0,13.0,22,,,,6.0,1.0,2.0,1.0,2.0,3.0,,,5.0,16,,,1.0,,,80,2017-03-01
Essendon,2018,22,Adelaide,1,W,1,9,3.0,17.0,26,1.0,,,4.0,1.0,1.0,2.0,4.0,,,,11.0,17,,1.0,2.0,2.0,,85,2018-03-01
Essendon,2018,23,Fremantle,2,L,1,7,,9.0,16,,,,3.0,3.0,1.0,1.0,3.0,,2.0,,9.0,8,,,1.0,,,77,2018-03-08
Essendon,2018,24,Western Bulldogs,3,L,1,11,5.0,9.0,20,,,,3.0,3.0,1.0,,4.0,,2.0,,2.0,17,,,1.0,1.0,,89,2018-03-15
Essendon,2018,25,Port Adelaide,4,W,1,8,2.0,7.0,15,,,,2.0,1.0,,,,,,,6.0,9,,,2.0,1.0,,81,2018-03-22
Essendon,2018,26,Collingwood,5,L,1,5,5.0,5.0,10,,,,2.0,1.0,,,3.0,,,,2.0,8,1.0,,,2.0,,87,2018-03-29
Essendon,2018,27,Melbourne,6,L,1,12,5.0,14.0,26,,,,2.0,5.0,,1.0,3.0,,,,3.0,19,,1.0,1.0,2.0,,84,2018-04-05
Essendon,2018,28,Hawthorn,7,L,1,8,3.0,19.0,27,,,,2.0,,2.0,2.0,,1.0,,,11.0,17,,,1.0,,1.0,82,2018-04-12
Essendon,2018,29,Greater Western Sydney,10,W,1,13,2.0,5.0,18,1.0,,,3.0,2.0,,6.0,5.0,,1.0,,7.0,8,,,1.0,,,73,2018-05-03
Essendon,2018,30,Richmond,11,L,1,7,4.0,8.0,15,,,,5.0,,1.0,,2.0,,,,6.0,9,,,1.0,,,86,2018-05-10
Essendon,2018,31,Brisbane Lions,12,W,1,9,5.0,13.0,22,,,,2.0,1.0,4.0,4.0,2.0,1.0,1.0,,6.0,15,,,,2.0,,89,2018-05-17
Essendon,2018,32,West Coast,14,W,1,12,7.0,12.0,24,,,,1.0,2.0,2.0,2.0,1.0,,,,7.0,16,,,1.0,,,85,2018-05-31
Essendon,2018,33,North Melbourne,15,W,1,17,2.0,7.0,24,1.0,,,4.0,5.0,2.0,4.0,3.0,1.0,1.0,,9.0,15,,,2.0,2.0,,78,2018-06-07
Essendon,2018,34,Collingwood,16,L,1,10,3.0,14.0,24,1.0,,,1.0,,3.0,1.0,3.0,,,,7.0,17,,,,1.0,,88,2018-06-14
Essendon,2018,35,Gold Coast,17,W,1,15,9.0,10.0,25,,1.0,,4.0,4.0,1.0,1.0,3.0,1.0,1.0,,7.0,18,,,,5.0,,82,2018-06-21
Essendon,2018,36,Fremantle,18,W,1,6,3.0,5.0,11,,,,1.0,1.0,1.0,1.0,2.0,,1.0,,4.0,7,,,1.0,,,75,2018-06-28
Essendon,2018,37,Sydney,19,W,1,12,4.0,6.0,18,,,,1.0,3.0,1.0,,3.0,,1.0,,5.0,14,1.0,,1.0,1.0,1.0,91,2018-07-05
Essendon,2018,38,Hawthorn,20,L,1,8,3.0,2.0,10,1.0,,,1.0,1.0,,,,1.0,,,6.0,5,,,,,,81,2018-07-12
Essendon,2018,39,St Kilda,21,W,1,19,8.0,14.0,33,,,,1.0,5.0,2.0,,4.0,,,,7.0,26,,,3.0,2.0,2.0,96,2018-07-19
Essendon,2018,40,Richmond,22,L,1,11,4.0,10.0,21,,,,2.0,5.0,1.0,1.0,1.0,,,,7.0,14,,,2.0,,,79,2018-07-26
Essendon,2018,41,Port Adelaide,23,W,1,4,,9.0,13,,,,4.0,1.0,1.0,,2.0,,,,5.0,7,,,1.0,,1.0,78,2018-08-02
Essendon,2019,42,Greater Western Sydney,1,L,1,14,4.0,9.0,23,,,,3.0,4.0,3.0,4.0,3.0,,,,8.0,14,,,,1.0,,75,2019-03-01
Essendon,2019,43,St Kilda,2,L,1,11,6.0,9.0,20,,,,,,3.0,1.0,,,,,5.0,15,,,2.0,1.0,1.0,85,2019-03-08
Essendon,2019,44,Melbourne,3,W,1,10,2.0,13.0,23,1.0,,,3.0,6.0,,,4.0,1.0,,,10.0,13,,,2.0,,,84,2019-03-15
Essendon,2019,45,Brisbane Lions,4,W,1,13,3.0,6.0,19,2.0,,,2.0,2.0,2.0,1.0,4.0,2.0,,,4.0,15,,,1.0,1.0,1.0,72,2019-03-22
Essendon,2019,46,North Melbourne,5,W,1,11,5.0,9.0,20,2.0,,,,2.0,3.0,2.0,,1.0,,,5.0,15,1.0,1.0,1.0,,1.0,82,2019-03-29
Essendon,2019,47,Collingwood,6,L,1,5,4.0,10.0,15,,,,6.0,1.0,1.0,2.0,3.0,,,,7.0,8,,,1.0,,,76,2019-04-05
Essendon,2019,48,Geelong,7,L,1,8,4.0,9.0,17,,1.0,,8.0,1.0,1.0,1.0,,1.0,,,7.0,11,1.0,,1.0,1.0,,73,2019-04-12
Essendon,2019,49,Sydney,8,L,1,14,4.0,11.0,25,,,,4.0,3.0,,3.0,6.0,1.0,2.0,,6.0,18,,,1.0,1.0,1.0,87,2019-04-19
Essendon,2019,50,Fremantle,9,W,1,10,2.0,10.0,20,,,,1.0,1.0,3.0,1.0,1.0,,,,7.0,13,,,2.0,,,70,2019-04-26
Essendon,2019,51,Richmond,10,L,1,12,,10.0,22,,,,3.0,1.0,7.0,1.0,3.0,1.0,,,9.0,14,,,5.0,,,74,2019-05-03
Essendon,2019,52,Carlton,11,W,1,16,6.0,16.0,32,,,,2.0,1.0,4.0,3.0,3.0,,,,11.0,20,,,,,2.0,69,2019-05-10
Essendon,2019,53,Hawthorn,13,W,1,8,6.0,14.0,22,,,,1.0,2.0,2.0,1.0,1.0,,,,5.0,17,,,,,,80,2019-05-24
Essendon,2019,54,West Coast,14,L,1,9,2.0,9.0,18,1.0,,,2.0,2.0,1.0,,2.0,1.0,1.0,,6.0,12,,,2.0,1.0,,83,2019-05-31
Essendon,2019,55,Greater Western Sydney,15,W,1,5,2.0,8.0,13,,,,3.0,2.0,2.0,1.0,,,,,5.0,7,,,2.0,2.0,,71,2019-06-07
Essendon,2019,56,Sydney,16,W,1,14,5.0,7.0,21,,,,1.0,,5.0,3.0,5.0,2.0,2.0,,8.0,12,1.0,,,2.0,1.0,80,2019-06-14
Essendon,2019,57,North Melbourne,17,W,1,9,1.0,13.0,22,,,,4.0,1.0,3.0,3.0,3.0,1.0,,,8.0,14,,,1.0,1.0,,78,2019-06-21
Essendon,2019,58,Adelaide,18,W,1,10,2.0,7.0,17,1.0,,,2.0,3.0,1.0,,4.0,,,,2.0,14,,,1.0,,,79,2019-06-28
Essendon,2019,59,Gold Coast,19,W,1,7,2.0,12.0,19,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,6.0,14,,,,2.0,,81,2019-07-05
Essendon,2019,60,Port Adelaide,20,L,1,8,3.0,12.0,20,,1.0,,1.0,2.0,1.0,2.0,2.0,,,,4.0,16,,,2.0,1.0,1.0,87,2019-07-12
Essendon,2019,61,Western Bulldogs,21,L,1,11,3.0,10.0,21,,,,5.0,1.0,3.0,1.0,5.0,,1.0,,9.0,13,,,,,,80,2019-07-19
Essendon,2019,62,Fremantle,22,W,1,12,3.0,5.0,17,,,,2.0,4.0,1.0,2.0,2.0,,,,4.0,13,,,,1.0,1.0,82,2019-07-26
Essendon,2019,63,Collingwood,23,L,1,13,6.0,15.0,28,,,,4.0,4.0,2.0,1.0,2.0,1.0,,,9.0,18,,,1.0,,,81,2019-08-02
Essendon,2019,64,West Coast,EF,L,1,18,4.0,12.0,30,1.0,,,1.0,4.0,5.0,3.0,2.0,,,,9.0,20,,,3.0,2.0,1.0,83,2019-03-01
Essendon,2020,65,Fremantle,1,W,1,12,1.0,11.0,23,,,,8.0,,5.0,3.0,2.0,2.0,1.0,,11.0,12,,,,,,78,2020-03-01
Essendon,2020,66,Sydney,2,W,1,8,2.0,15.0,23,,,,7.0,2.0,2.0,6.0,4.0,2.0,1.0,,8.0,16,,,1.0,2.0,,84,2020-03-08
Essendon,2020,67,Carlton,4,L,1,11,,9.0,20,,,,5.0,2.0,2.0,4.0,3.0,1.0,,,9.0,10,,,1.0,,,86,2020-03-22
Essendon,2020,68,Collingwood,5,W,1,11,1.0,8.0,19,,,,4.0,1.0,,5.0,3.0,,1.0,,14.0,8,,,3.0,,,83,2020-03-29
Essendon,2020,69,North Melbourne,6,W,1,13,2.0,12.0,25,,,,8.0,2.0,4.0,1.0,5.0,,1.0,3.0,5.0,19,,,3.0,,,88,2020-04-05
Essendon,2020,70,Western Bulldogs,7,L,1,10,2.0,14.0,24,,,,3.0,2.0,4.0,6.0,5.0,,,,8.0,12,,,1.0,,,79,2020-04-12
Essendon,2020,71,Adelaide,8,W,1,16,3.0,9.0,25,,1.0,,10.0,4.0,2.0,8.0,3.0,2.0,,2.0,12.0,10,,,2.0,,,85,2020-04-19
Essendon,2020,72,Brisbane Lions,9,L,1,11,3.0,14.0,25,,,,1.0,4.0,,6.0,6.0,,3.0,,12.0,15,,,,,,80,2020-04-26
Essendon,2020,73,Greater Western Sydney,10,L,1,10,1.0,8.0,18,,,,8.0,3.0,3.0,4.0,6.0,1.0,3.0,,9.0,9,,,3.0,,,87,2020-05-03
Essendon,2020,74,Gold Coast,11,D,1,12,1.0,14.0,26,,,,2.0,2.0,2.0,6.0,1.0,3.0,,,9.0,15,,,1.0,,,79,2020-05-10
Essendon,2020,75,St Kilda,12,L,1,7,3.0,16.0,23,,,,3.0,1.0,2.0,5.0,,1.0,,,8.0,14,,,,,1.0,86,2020-05-17
Essendon,2020,76,Richmond,13,L,1,9,1.0,8.0,17,,,,4.0,1.0,3.0,2.0,3.0,1.0,,,4.0,13,,,1.0,1.0,2.0,83,2020-05-24
Essendon,2020,77,Hawthorn,14,W,1,15,2.0,17.0,32,,,,3.0,3.0,5.0,10.0,5.0,1.0,1.0,2.0,16.0,18,,,1.0,3.0,,82,2020-05-31
Essendon,2020,78,West Coast,15,L,1,4,,6.0,10,,,,1.0,1.0,1.0,3.0,2.0,,1.0,,3.0,6,,,,,,36,2020-06-07
Essendon,2021,79,Hawthorn,1,L,1,17,2.0,16.0,33,1.0,1.0,,11.0,4.0,7.0,5.0,3.0,4.0,1.0,,13.0,19,,,3.0,1.0,,81,2021-03-01
Essendon,2021,80,Port Adelaide,2,L,1,10,3.0,14.0,24,,,,5.0,2.0,3.0,2.0,4.0,1.0,2.0,,10.0,15,,,,,,89,2021-03-08
Essendon,2021,81,St Kilda,3,W,1,12,6.0,11.0,23,1.0,,,2.0,,3.0,1.0,2.0,2.0,,,5.0,19,,,3.0,,,79,2021-03-15
Essendon,2021,82,Sydney,4,L,1,8,3.0,12.0,20,,,,5.0,1.0,1.0,4.0,4.0,,2.0,,9.0,11,,,2.0,,,80,2021-03-22
Essendon,2021,83,Brisbane Lions,5,L,1,18,1.0,12.0,30,,1.0,,12.0,3.0,2.0,7.0,5.0,3.0,,,15.0,9,,,,,,84,2021-03-29
Essendon,2021,84,Collingwood,6,W,1,11,1.0,10.0,21,,2.0,,7.0,2.0,2.0,3.0,1.0,,,,6.0,16,,,3.0,1.0,,80,2021-04-05
Essendon,2021,85,Carlton,7,L,1,19,2.0,9.0,28,,,,5.0,3.0,7.0,6.0,8.0,,3.0,1.0,16.0,14,,,,,,76,2021-04-12
Essendon,2021,86,Greater Western Sydney,8,L,1,11,3.0,14.0,25,,,,1.0,1.0,2.0,12.0,3.0,1.0,,,14.0,10,,,5.0,,1.0,80,2021-04-19
Essendon,2021,87,Fremantle,9,W,1,15,3.0,12.0,27,,,,8.0,3.0,4.0,3.0,4.0,2.0,1.0,,10.0,18,,,,,1.0,80,2021-04-26
Essendon,2021,88,North Melbourne,10,W,1,9,4.0,22.0,31,,,,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,9.0,24,,,1.0,,3.0,77,2021-05-03
Essendon,2021,89,West Coast,11,W,1,12,3.0,12.0,24,,,,1.0,,3.0,7.0,3.0,1.0,1.0,,12.0,14,,,3.0,,,77,2021-05-10
Essendon,2021,90↓,Richmond,12,L,1,3,2.0,,3,,,,,,,,1.0,,,,1.0,2,,,,,,7,2021-05-17
Essendon,2021,91,Gold Coast,22,W,1,6,3.0,7.0,13,,,,3.0,,1.0,3.0,1.0,,,,5.0,10,,,4.0,,,74,2021-07-26
Essendon,2021,92,Collingwood,23,W,1,11,4.0,10.0,21,,,,2.0,2.0,1.0,,,1.0,,,3.0,18,,,,,1.0,83,2021-08-02
Essendon,2021,93,Western Bulldogs,EF,L,1,9,3.0,6.0,15,,,,3.0,2.0,,,1.0,1.0,,,9.0,5,,,3.0,,,78,2021-03-01
