team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Collingwood,2022,1,Geelong,3,L,26,7.0,5.0,7.0,14.0,,,,2.0,,5.0,,1.0,1.0,,,2.0,12.0,,,,,1.0,67.0,2022-03-15
Collingwood,2022,2,West Coast,4,L,26,2.0,1.0,4.0,6.0,,1.0,,,,1.0,,1.0,1.0,,,3.0,3.0,,,,,,73.0,2022-03-22
Collingwood,2022,3,Brisbane Lions,5,L,26,6.0,4.0,4.0,10.0,2.0,2.0,,3.0,,2.0,,3.0,1.0,1.0,,3.0,7.0,,3.0,,,2.0,72.0,2022-03-29
Collingwood,2022,4,Essendon,6,W,26,2.0,,,2.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,62.0,2022-04-05
Collingwood,2022,5,Gold Coast,7,W,26,,,,,,,,,,,,,,,,,,,,,,,,2022-04-12
Collingwood,2022,6↓,Hawthorn,12,W,26,3.0,1.0,4.0,7.0,,,,4.0,,1.0,,2.0,,1.0,,2.0,4.0,,,2.0,,,52.0,2022-05-17
Collingwood,2023,7↑,Geelong,1,W,26,3.0,1.0,1.0,4.0,2.0,1.0,,2.0,,,,,1.0,,,3.0,1.0,,1.0,,,1.0,38.0,2023-03-01
Collingwood,2023,8↑,Port Adelaide,2,W,26,1.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,19.0,2023-03-08
Collingwood,2023,9↓,Brisbane Lions,4,L,26,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,2.0,,,,1.0,1.0,,,1.0,,,42.0,2023-03-22
Collingwood,2023,10↑,Greater Western Sydney,9,W,26,2.0,3.0,2.0,4.0,,,,,,,,2.0,,,,2.0,2.0,1.0,,,,,24.0,2023-04-26
Collingwood,2023,11,Melbourne,13,L,26,4.0,2.0,3.0,7.0,,,,,,1.0,,4.0,,,,5.0,3.0,1.0,1.0,1.0,,,78.0,2023-05-24
Collingwood,2024,12,St Kilda,3,L,26,7.0,3.0,5.0,12.0,3.0,,,2.0,,1.0,,2.0,1.0,1.0,,3.0,9.0,,2.0,3.0,,,76.0,2024-03-15
Collingwood,2024,13,Brisbane Lions,4,W,26,3.0,1.0,1.0,4.0,1.0,,,2.0,,,,2.0,2.0,,,4.0,,1.0,,,,,75.0,2024-03-22
Collingwood,2024,14,Hawthorn,5,W,26,3.0,2.0,6.0,9.0,1.0,1.0,,3.0,,1.0,,5.0,,3.0,,6.0,3.0,1.0,1.0,,,,75.0,2024-03-29
Collingwood,2024,15↑,Port Adelaide,7,W,26,1.0,,1.0,2.0,1.0,,,,,,,1.0,,1.0,,2.0,1.0,,,,,,10.0,2024-04-12
Collingwood,2024,16,West Coast,10,W,26,5.0,4.0,4.0,9.0,3.0,1.0,,2.0,,,,1.0,,1.0,,4.0,5.0,,4.0,5.0,,,79.0,2024-05-03
Collingwood,2024,17,Adelaide,11,W,26,3.0,2.0,1.0,4.0,2.0,,,,,,,3.0,,1.0,,3.0,1.0,1.0,1.0,,,,45.0,2024-05-10
Collingwood,2024,18↑,North Melbourne,15,W,26,2.0,1.0,1.0,3.0,1.0,,,,,,,,1.0,,,2.0,1.0,,,,,,42.0,2024-06-07
Collingwood,2024,19↑,Geelong,19,L,26,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,17.0,2024-07-05
Collingwood,2024,20,Hawthorn,20,L,26,6.0,2.0,3.0,9.0,1.0,,,2.0,1.0,2.0,,1.0,1.0,,,6.0,2.0,1.0,2.0,1.0,,1.0,70.0,2024-07-12
Collingwood,2025,21,Greater Western Sydney,1,L,26,8.0,3.0,5.0,13.0,,,,2.0,4.0,1.0,,4.0,1.0,1.0,,2.0,9.0,,,7.0,,,82.0,2025-03-01
Collingwood,2025,22,Port Adelaide,2,W,26,9.0,6.0,2.0,11.0,,,,1.0,3.0,1.0,,,1.0,,,2.0,9.0,,,3.0,,,82.0,2025-03-08
Collingwood,2025,23↓,Western Bulldogs,3,W,26,,,,,,,,,,,,,,,,,,,,,,,4,2025-03-15
