team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2015,1,Carlton,1,W,33,14,9.0,9.0,23,1.0,2.0,,2.0,,4.0,2.0,4.0,1.0,1.0,,8.0,15,,2.0,2.0,5.0,1.0,85,2015-03-01
Richmond,2015,2,Western Bulldogs,2,L,33,18,7.0,6.0,24,,,,2.0,5.0,5.0,2.0,5.0,1.0,,,7.0,17,,,,1.0,1.0,81,2015-03-08
Richmond,2015,3,Brisbane Lions,3,W,33,8,3.0,6.0,14,2.0,1.0,,5.0,1.0,2.0,1.0,3.0,1.0,,,5.0,8,,1.0,1.0,,,80,2015-03-15
Richmond,2015,4,Melbourne,4,L,33,10,2.0,4.0,14,,1.0,,2.0,,2.0,1.0,4.0,,2.0,,3.0,10,,,4.0,,,88,2015-03-22
Richmond,2015,5,Geelong,5,L,33,13,8.0,5.0,18,,,,1.0,3.0,5.0,1.0,1.0,1.0,,,3.0,14,1.0,,2.0,,,85,2015-03-29
Richmond,2015,6,North Melbourne,6,L,33,4,,6.0,10,,1.0,,4.0,,2.0,2.0,2.0,2.0,,,5.0,5,,,2.0,,,81,2015-04-05
Richmond,2015,7,Collingwood,7,W,33,11,1.0,4.0,15,1.0,,,2.0,1.0,3.0,2.0,3.0,1.0,,,6.0,10,,,1.0,1.0,,81,2015-04-12
Richmond,2015,8,Port Adelaide,8,W,33,13,4.0,5.0,18,,,,2.0,4.0,3.0,1.0,3.0,,,,4.0,13,,,,,,83,2015-04-19
Richmond,2015,9,Essendon,9,W,33,15,7.0,4.0,19,1.0,,,4.0,1.0,3.0,,2.0,1.0,,,5.0,13,,1.0,,2.0,,83,2015-04-26
Richmond,2015,10,Fremantle,10,W,33,8,2.0,8.0,16,,,,3.0,1.0,,1.0,1.0,,,,3.0,13,,,2.0,1.0,,81,2015-05-03
Richmond,2015,11,West Coast,12,L,33,4,,,4,,,,2.0,1.0,3.0,,,,,,,4,,,6.0,,,83,2015-05-17
Richmond,2015,12↑,Sydney,13,W,33,4,1.0,1.0,5,,,,2.0,2.0,,,,,,,4.0,1,,,,,,15,2015-05-24
Richmond,2015,13↑,Greater Western Sydney,14,W,33,5,,4.0,9,,,,,2.0,1.0,,,,,,2.0,8,,,2.0,1.0,,35,2015-05-31
Richmond,2015,14,Carlton,15,W,33,9,4.0,5.0,14,,,,4.0,1.0,2.0,,3.0,,2.0,,3.0,9,,1.0,,,1.0,84,2015-06-07
Richmond,2015,15,St Kilda,16,W,33,11,5.0,6.0,17,,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,5.0,14,,,,1.0,1.0,84,2015-06-14
Richmond,2015,16,Fremantle,17,L,33,13,7.0,2.0,15,1.0,2.0,,3.0,4.0,2.0,,1.0,,1.0,,3.0,11,,,,,,82,2015-06-21
Richmond,2015,17,Hawthorn,18,W,33,15,5.0,3.0,18,1.0,,,1.0,4.0,3.0,2.0,3.0,1.0,,,5.0,14,,,1.0,,1.0,83,2015-06-28
Richmond,2015,18,Adelaide,19,L,33,10,3.0,5.0,15,,1.0,,3.0,5.0,2.0,1.0,2.0,,2.0,,5.0,9,1.0,1.0,1.0,,1.0,79,2015-07-05
Richmond,2015,19↑,Gold Coast,20,W,33,4,3.0,1.0,5,,,,1.0,2.0,,2.0,,,,,2.0,3,,,,,,21,2015-07-12
Richmond,2015,20,Collingwood,21,W,33,12,7.0,7.0,19,,,,5.0,4.0,2.0,,2.0,,2.0,,6.0,13,,,1.0,2.0,1.0,80,2015-07-19
Richmond,2015,21,Essendon,22,W,33,21,7.0,6.0,27,,,,2.0,3.0,7.0,2.0,5.0,,3.0,2.0,6.0,15,,1.0,4.0,,2.0,88,2015-07-26
Richmond,2015,22,North Melbourne,23,W,33,10,5.0,9.0,19,,,,4.0,,2.0,3.0,3.0,1.0,2.0,,7.0,13,,,3.0,,,83,2015-08-02
Richmond,2015,23,North Melbourne,EF,L,33,10,4.0,5.0,15,1.0,,,4.0,1.0,4.0,,3.0,,,,4.0,11,,1.0,,2.0,3.0,86,2015-03-01
Richmond,2016,24,Carlton,1,W,33,8,4.0,6.0,14,,,,2.0,1.0,2.0,3.0,1.0,3.0,,,7.0,9,,,2.0,,,87,2016-03-01
Richmond,2016,25,Collingwood,2,L,33,17,9.0,11.0,28,,,,1.0,4.0,2.0,1.0,3.0,,1.0,,4.0,24,1.0,,2.0,,1.0,81,2016-03-08
Richmond,2016,26,Adelaide,3,L,33,14,4.0,5.0,19,,1.0,,2.0,3.0,4.0,,1.0,1.0,,,8.0,13,1.0,1.0,1.0,,,72,2016-03-15
Richmond,2016,27,West Coast,4,L,33,16,6.0,8.0,24,,,,1.0,9.0,2.0,2.0,8.0,,5.0,,5.0,18,,,5.0,1.0,1.0,83,2016-03-22
Richmond,2016,28,Melbourne,5,L,33,9,3.0,4.0,13,,,,4.0,4.0,1.0,,2.0,2.0,1.0,,7.0,6,1.0,,1.0,,,80,2016-03-29
Richmond,2016,29,Hawthorn,7,L,33,9,4.0,1.0,10,,,,4.0,3.0,1.0,,4.0,1.0,1.0,,4.0,5,,,4.0,,,90,2016-04-12
Richmond,2017,30,Carlton,1,W,33,11,5.0,5.0,16,,,,1.0,1.0,5.0,,3.0,,,,4.0,12,1.0,,4.0,1.0,,76,2017-03-01
Richmond,2017,31,West Coast,3,W,33,12,4.0,10.0,22,,1.0,,6.0,,5.0,2.0,2.0,1.0,,,10.0,12,,,1.0,,,81,2017-03-15
Richmond,2017,32,Brisbane Lions,4,W,33,9,2.0,6.0,15,,,,2.0,2.0,4.0,,2.0,1.0,1.0,,6.0,8,,,,1.0,,75,2017-03-22
Richmond,2017,33,Melbourne,5,W,33,7,3.0,2.0,9,,,,4.0,2.0,,,2.0,,,,4.0,5,2.0,,4.0,,,77,2017-03-29
Richmond,2017,34,Adelaide,6,L,33,12,2.0,5.0,17,,,,2.0,2.0,4.0,,5.0,1.0,2.0,,6.0,11,,,8.0,2.0,1.0,81,2017-04-05
Richmond,2017,35,Western Bulldogs,7,L,33,10,3.0,5.0,15,,1.0,,3.0,4.0,2.0,1.0,1.0,,1.0,,6.0,9,,,4.0,,,79,2017-04-12
Richmond,2017,36,Fremantle,8,L,33,12,4.0,6.0,18,,,,2.0,1.0,2.0,,1.0,,,,6.0,11,1.0,,7.0,,1.0,79,2017-04-19
Richmond,2017,37,Greater Western Sydney,9,L,33,7,3.0,3.0,10,,,,6.0,2.0,,,1.0,1.0,,,4.0,7,,,3.0,,,85,2017-04-26
Richmond,2017,38,Essendon,10,W,33,10,4.0,6.0,16,,,,1.0,4.0,3.0,1.0,1.0,,,,5.0,9,,,3.0,,1.0,73,2017-05-03
Richmond,2017,39,North Melbourne,11,W,33,14,3.0,9.0,23,,,,5.0,3.0,3.0,,5.0,,1.0,,5.0,18,1.0,,2.0,6.0,,84,2017-05-10
Richmond,2017,40,Sydney,13,L,33,13,5.0,7.0,20,,,,2.0,3.0,2.0,1.0,1.0,1.0,,,6.0,13,,,4.0,2.0,1.0,83,2017-05-24
Richmond,2017,41,Carlton,14,W,33,10,2.0,3.0,13,,,,1.0,3.0,1.0,,3.0,1.0,,,2.0,10,,,3.0,,,82,2017-05-31
Richmond,2017,42,Port Adelaide,15,W,33,12,6.0,8.0,20,,,,5.0,3.0,2.0,,5.0,,1.0,,4.0,17,,,4.0,,,80,2017-06-07
Richmond,2017,43,St Kilda,16,L,33,6,4.0,2.0,8,,,,3.0,1.0,1.0,,2.0,,,,3.0,6,2.0,,1.0,,,81,2017-06-14
Richmond,2017,44,Brisbane Lions,17,W,33,10,6.0,5.0,15,,1.0,,1.0,1.0,4.0,,2.0,,1.0,,2.0,13,1.0,1.0,,3.0,,85,2017-06-21
Richmond,2017,45,Greater Western Sydney,18,W,33,7,1.0,6.0,13,1.0,,,3.0,1.0,3.0,,1.0,,,,5.0,7,,,3.0,1.0,,82,2017-06-28
