team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2024,1,Greater Western Sydney,2,L,10,18.0,8.0,4,22,,,,2.0,3.0,1.0,,,,,,3.0,17.0,,,1.0,,,77,2024-03-08
North Melbourne,2024,2,Fremantle,3,L,10,14.0,6.0,8,22,,,,,4.0,3.0,,1.0,,,,3.0,18.0,,,1.0,2.0,1.0,77,2024-03-15
North Melbourne,2024,3,Carlton,4,L,10,15.0,6.0,4,19,,,,2.0,,1.0,1.0,3.0,1.0,1.0,,4.0,12.0,,,2.0,,,81,2024-03-22
North Melbourne,2024,4,Brisbane Lions,5,L,10,4.0,,9,13,,,,5.0,1.0,1.0,1.0,2.0,,,,6.0,6.0,,,1.0,3.0,,72,2024-03-29
North Melbourne,2024,5↓,Geelong,6,L,10,,,1,1,,,,,,,1.0,,,,,1.0,,,,,,,11,2024-04-05
North Melbourne,2024,6,Hawthorn,7,L,10,7.0,5.0,10,17,,,,2.0,1.0,2.0,1.0,6.0,,,,5.0,12.0,,,,6.0,,82,2024-04-12
North Melbourne,2024,7,Adelaide,8,L,10,23.0,7.0,9,32,,1.0,,,5.0,1.0,1.0,1.0,,,,5.0,16.0,,,,,,88,2024-04-19
North Melbourne,2024,8,St Kilda,9,L,10,18.0,3.0,12,30,,,,3.0,7.0,1.0,,,,,,7.0,19.0,,,,5.0,,81,2024-04-26
North Melbourne,2024,9,Gold Coast,10,L,10,21.0,2.0,9,30,,,,1.0,4.0,4.0,,3.0,,1.0,,5.0,16.0,,,1.0,5.0,,89,2024-05-03
North Melbourne,2024,10,Gold Coast,18,W,10,27.0,6.0,10,37,,,,1.0,13.0,1.0,1.0,2.0,,,1.0,2.0,23.0,,,1.0,7.0,1.0,83,2024-06-28
North Melbourne,2024,11,Sydney,19,L,10,18.0,7.0,7,25,,,,,6.0,1.0,,6.0,,,,3.0,14.0,,,1.0,3.0,,72,2024-07-05
North Melbourne,2024,12,Carlton,20,L,10,15.0,4.0,7,22,,,,5.0,5.0,2.0,,4.0,1.0,2.0,,4.0,14.0,,,,3.0,1.0,86,2024-07-12
North Melbourne,2024,13,Richmond,22,W,10,21.0,3.0,10,31,,,,2.0,9.0,1.0,,3.0,,1.0,,2.0,18.0,,,1.0,3.0,,73,2024-07-26
North Melbourne,2024,14,West Coast,23,L,10,27.0,5.0,10,37,,,,1.0,8.0,2.0,1.0,5.0,,3.0,,5.0,22.0,,,,7.0,,85,2024-08-02
North Melbourne,2024,15,Western Bulldogs,24,L,10,10.0,3.0,14,24,,1.0,,2.0,7.0,3.0,2.0,2.0,,1.0,,5.0,16.0,,,,2.0,,86,2024-08-09
North Melbourne,2024,16,Hawthorn,25,L,10,17.0,5.0,2,19,,,,3.0,7.0,1.0,1.0,2.0,,1.0,,3.0,10.0,,,,,,75,2024-08-16
North Melbourne,2025,17,Western Bulldogs,2,L,10,9.0,3.0,8,17,,,,5.0,1.0,3.0,4.0,2.0,,,,5.0,11.0,,,1.0,1.0,,78,2025-03-08
