team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2014,1,North Melbourne,15,W,25,2.0,1.0,3.0,5.0,,,,2.0,1.0,1.0,,2.0,,,,1.0,4.0,,,3.0,,,78,2014-06-07
Brisbane Lions,2014,2,Richmond,16,L,25,7.0,6.0,8.0,15.0,,,,1.0,2.0,,,,,,,5.0,10.0,2.0,,2.0,1.0,,81,2014-06-14
Brisbane Lions,2014,3,West Coast,17,L,25,6.0,6.0,6.0,12.0,,,,1.0,4.0,,,2.0,,1.0,,2.0,10.0,,,3.0,,,76,2014-06-21
Brisbane Lions,2014,4,Gold Coast,18,W,25,5.0,3.0,5.0,10.0,1.0,,,2.0,1.0,1.0,1.0,3.0,,2.0,,4.0,6.0,,,4.0,,,75,2014-06-28
Brisbane Lions,2014,5,Melbourne,19,W,25,10.0,6.0,4.0,14.0,3.0,,,1.0,3.0,2.0,,3.0,,1.0,,4.0,10.0,2.0,4.0,3.0,,,88,2014-07-05
Brisbane Lions,2014,6,Adelaide,20,L,25,5.0,6.0,8.0,13.0,1.0,,,,2.0,1.0,,1.0,,,,3.0,9.0,1.0,1.0,1.0,1.0,,95,2014-07-12
Brisbane Lions,2014,7,Collingwood,21,W,25,6.0,6.0,8.0,14.0,1.0,,,2.0,,1.0,,,,,,2.0,12.0,1.0,,2.0,,,83,2014-07-19
Brisbane Lions,2014,8,Fremantle,22,L,25,4.0,2.0,5.0,9.0,,,,1.0,3.0,,,,,,,3.0,6.0,,,1.0,,,89,2014-07-26
Brisbane Lions,2014,9,Geelong,23,L,25,5.0,6.0,10.0,15.0,1.0,,,,2.0,,,2.0,1.0,,,7.0,10.0,1.0,,2.0,,,91,2014-08-02
Brisbane Lions,2015,10,Collingwood,1,L,25,4.0,3.0,5.0,9.0,1.0,1.0,,1.0,,,,1.0,2.0,,,5.0,4.0,1.0,1.0,1.0,,,91,2015-03-01
Brisbane Lions,2015,11,North Melbourne,2,L,25,5.0,3.0,5.0,10.0,1.0,,,1.0,,2.0,,3.0,1.0,,,3.0,6.0,,,,,,91,2015-03-08
Brisbane Lions,2015,12,Richmond,3,L,25,2.0,1.0,4.0,6.0,1.0,,,,,,,2.0,1.0,1.0,,4.0,2.0,,1.0,1.0,,,89,2015-03-15
Brisbane Lions,2015,13,West Coast,4,L,25,6.0,7.0,5.0,11.0,1.0,2.0,,,1.0,1.0,,2.0,,1.0,,5.0,6.0,3.0,2.0,,,1.0,90,2015-03-22
Brisbane Lions,2015,14,Gold Coast,5,L,25,3.0,4.0,4.0,7.0,1.0,,,4.0,1.0,1.0,,2.0,,,,,6.0,,1.0,1.0,,,96,2015-03-29
Brisbane Lions,2015,15,Carlton,6,W,25,8.0,6.0,5.0,13.0,4.0,1.0,,2.0,,,,1.0,,1.0,,6.0,6.0,2.0,4.0,1.0,,,95,2015-04-05
Brisbane Lions,2015,16,Port Adelaide,7,W,25,2.0,2.0,,2.0,1.0,,,,,,,,,,,2.0,,2.0,1.0,4.0,,,95,2015-04-12
Brisbane Lions,2015,17,Essendon,8,L,25,6.0,4.0,2.0,8.0,,,,1.0,1.0,2.0,,4.0,,2.0,,2.0,6.0,1.0,1.0,4.0,,1.0,94,2015-04-19
Brisbane Lions,2015,18,Western Bulldogs,12,L,25,6.0,5.0,1.0,7.0,3.0,1.0,,,,,,,,,,4.0,4.0,3.0,2.0,3.0,1.0,1.0,86,2015-05-17
Brisbane Lions,2015,19,Adelaide,13,L,25,4.0,3.0,,4.0,,1.0,,3.0,,,,1.0,,1.0,,1.0,3.0,1.0,1.0,,,,96,2015-05-24
Brisbane Lions,2015,20,Fremantle,14,L,25,3.0,3.0,5.0,8.0,1.0,1.0,,1.0,,2.0,,3.0,,,,6.0,2.0,2.0,1.0,4.0,,,88,2015-05-31
Brisbane Lions,2015,21,Sydney,15,L,25,4.0,2.0,2.0,6.0,,,,1.0,,1.0,,1.0,,,,6.0,2.0,1.0,,,,,89,2015-06-07
Brisbane Lions,2015,22,Melbourne,16,L,25,2.0,3.0,3.0,5.0,,,,2.0,,1.0,,2.0,1.0,1.0,,3.0,2.0,1.0,,1.0,,,94,2015-06-14
Brisbane Lions,2015,23↑,North Melbourne,17,L,25,2.0,2.0,,2.0,,,,,,,,1.0,,,,,2.0,,,,,,29,2015-06-21
Brisbane Lions,2015,24,Geelong,18,L,25,3.0,3.0,2.0,5.0,,1.0,,1.0,1.0,,,,,,,3.0,3.0,1.0,2.0,1.0,,,86,2015-06-28
