team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2023,1,Western Bulldogs,1,W,41,11,3.0,3,14,,,,1.0,2.0,2.0,,2.0,,1.0,,2.0,11.0,,,3.0,,,73,2023-03-01
Melbourne,2023,2,Brisbane Lions,2,L,41,4,2.0,4,8,,,,,1.0,1.0,,2.0,,,,3.0,4.0,,,1.0,,,79,2023-03-08
Melbourne,2023,3,Sydney,3,W,41,8,3.0,10,18,,,,2.0,2.0,,,,,,,6.0,12.0,1.0,,1.0,,,79,2023-03-15
Melbourne,2023,4,West Coast,4,W,41,8,3.0,8,16,,,,2.0,,1.0,,1.0,1.0,,,7.0,8.0,1.0,,2.0,1.0,,82,2023-03-22
Melbourne,2023,5,Essendon,5,L,41,10,1.0,4,14,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,10.0,6.0,1.0,,1.0,,,78,2023-03-29
Melbourne,2023,6,Richmond,6,W,41,10,6.0,6,16,,,,,5.0,1.0,,2.0,,1.0,,2.0,14.0,,,1.0,,,77,2023-04-05
Melbourne,2023,7,North Melbourne,7,W,41,9,2.0,4,13,,,,3.0,4.0,,,3.0,1.0,1.0,,5.0,9.0,,,3.0,,,79,2023-04-12
Melbourne,2023,8,Gold Coast,8,W,41,5,3.0,7,12,,,,2.0,,2.0,,1.0,1.0,1.0,,4.0,9.0,,,4.0,,1.0,75,2023-04-19
Melbourne,2023,9,Hawthorn,9,W,41,5,2.0,7,12,,,,1.0,1.0,2.0,,,,,,6.0,7.0,,,4.0,,1.0,84,2023-04-26
Melbourne,2023,10,Port Adelaide,10,L,41,3,,3,6,,,,6.0,1.0,1.0,1.0,1.0,,,,4.0,2.0,,,2.0,,,67,2023-05-03
Melbourne,2023,11,Fremantle,11,L,41,4,,6,10,,,,1.0,4.0,,2.0,2.0,,,,5.0,6.0,,,5.0,,,68,2023-05-10
Melbourne,2023,12,Carlton,12,W,41,12,6.0,5,17,,,,1.0,4.0,2.0,,1.0,,,,3.0,13.0,1.0,,1.0,,,77,2023-05-17
Melbourne,2023,13,Collingwood,13,W,41,5,2.0,6,11,,,,,3.0,1.0,,1.0,,,,6.0,6.0,,,3.0,,1.0,65,2023-05-24
Melbourne,2023,14,Geelong,15,L,41,10,3.0,5,15,,,,1.0,1.0,3.0,1.0,2.0,,1.0,,3.0,11.0,,,2.0,,1.0,84,2023-06-07
Melbourne,2023,15,Greater Western Sydney,16,L,41,9,2.0,5,14,,,,1.0,1.0,1.0,,1.0,1.0,,,2.0,12.0,,,3.0,,,85,2023-06-14
Melbourne,2023,16,St Kilda,17,W,41,9,3.0,6,15,,,,1.0,3.0,1.0,,,1.0,,,5.0,10.0,,,1.0,,,74,2023-06-21
Melbourne,2023,17,Brisbane Lions,18,W,41,6,1.0,8,14,,,,,5.0,1.0,,1.0,,,,5.0,8.0,,1.0,5.0,1.0,,84,2023-06-28
Melbourne,2023,18,Adelaide,19,W,41,6,2.0,3,9,,,,1.0,3.0,,,1.0,,1.0,,2.0,8.0,,,1.0,,,86,2023-07-05
Melbourne,2023,19,Richmond,20,W,41,6,2.0,5,11,,,,1.0,2.0,,,,,,,6.0,5.0,,,2.0,,,82,2023-07-12
Melbourne,2023,20,North Melbourne,21,W,41,5,1.0,8,13,,,,,2.0,,,1.0,1.0,,,5.0,8.0,,,3.0,1.0,,79,2023-07-19
Melbourne,2023,21,Carlton,22,L,41,10,2.0,3,13,,,,2.0,4.0,2.0,,3.0,,1.0,,5.0,7.0,,,3.0,,,78,2023-07-26
Melbourne,2023,22,Hawthorn,23,W,41,11,8.0,3,14,,,,3.0,4.0,1.0,1.0,,,,,4.0,10.0,1.0,,2.0,,,80,2023-08-02
Melbourne,2023,23,Sydney,24,W,41,7,2.0,4,11,,,,3.0,3.0,,,,1.0,,,8.0,4.0,1.0,,6.0,,,84,2023-08-09
Melbourne,2023,24,Collingwood,QF,L,41,7,4.0,4,11,,,,1.0,,1.0,,2.0,,,,4.0,6.0,,,3.0,,,77,2023-03-01
Melbourne,2023,25,Carlton,SF,L,41,12,6.0,1,13,,,,,3.0,,,1.0,2.0,,,2.0,11.0,,,2.0,,,86,2023-03-01
Melbourne,2024,26,Sydney,1,L,4,14,6.0,6,20,,,,,9.0,1.0,3.0,2.0,1.0,,,8.0,11.0,,,2.0,,1.0,78,2024-03-01
Melbourne,2024,27,Western Bulldogs,2,W,4,15,4.0,5,20,,,,,3.0,1.0,,1.0,,,,,14.0,,,4.0,,,81,2024-03-08
Melbourne,2024,28,Hawthorn,3,W,4,16,3.0,4,20,,,,1.0,3.0,,,,,,,3.0,9.0,,,,,,85,2024-03-15
Melbourne,2024,29,Port Adelaide,4,W,4,8,,2,10,,,,1.0,6.0,,,2.0,1.0,,,6.0,,,,2.0,,,82,2024-03-22
