team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2022,1,Brisbane Lions,1,L,44,6.0,2.0,4.0,10.0,,,,3.0,1.0,2.0,1.0,1.0,,,,3.0,7.0,,,3.0,,1.0,77.0,2022-03-01
Port Adelaide,2022,2↑,Hawthorn,2,L,44,2.0,1.0,4.0,6.0,,,,1.0,,1.0,2.0,,,,,2.0,4.0,,,1.0,,,25.0,2022-03-08
Port Adelaide,2022,3,Adelaide,3,L,44,8.0,,10.0,18.0,,,,4.0,,3.0,3.0,1.0,1.0,,,8.0,9.0,,,1.0,,,78.0,2022-03-15
Port Adelaide,2022,4,Melbourne,4,L,44,11.0,3.0,3.0,14.0,,,,3.0,,1.0,1.0,4.0,,1.0,,3.0,11.0,,,1.0,,,68.0,2022-03-22
Port Adelaide,2022,5,Carlton,5,L,44,8.0,4.0,2.0,10.0,,,,,1.0,1.0,,,,,,,10.0,,,1.0,,,68.0,2022-03-29
Port Adelaide,2022,6,Sydney,14,W,44,9.0,2.0,6.0,15.0,,,,5.0,1.0,4.0,2.0,3.0,1.0,,,7.0,8.0,,1.0,1.0,,,78.0,2022-05-31
Port Adelaide,2022,7,Gold Coast,15,W,44,4.0,2.0,5.0,9.0,,,,7.0,,2.0,,2.0,,,,2.0,6.0,,,,,,71.0,2022-06-07
Port Adelaide,2022,8,Fremantle,16,L,44,4.0,3.0,7.0,11.0,1.0,,,6.0,,1.0,1.0,1.0,,,,4.0,8.0,1.0,1.0,,1.0,1.0,67.0,2022-06-14
Port Adelaide,2022,9,Greater Western Sydney,17,W,44,4.0,2.0,8.0,12.0,,,,,1.0,2.0,,1.0,,,,5.0,8.0,1.0,,3.0,1.0,,75.0,2022-06-21
Port Adelaide,2022,10,Melbourne,18,L,44,3.0,1.0,6.0,9.0,,,,3.0,,,3.0,4.0,1.0,1.0,,4.0,4.0,,,,,,68.0,2022-06-28
Port Adelaide,2022,11,Essendon,22,W,44,,,,,,,,,,,,,,,,,,,,,,,,2022-07-26
Port Adelaide,2023,12,Sydney,4,W,44,5.0,2.0,4.0,9.0,,1.0,,4.0,,4.0,1.0,2.0,,1.0,,3.0,6.0,1.0,1.0,1.0,,,74.0,2023-03-22
