team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2021,1,Melbourne,1,L,22,,,6,6,,,13,1,,,1,3,1,1,,4,3,,,3,,,93,2021-03-01
Fremantle,2021,2,Greater Western Sydney,2,W,22,5,2,8,13,,,17,1,,1,3,4,,1,,10,3,1,,2,,,78,2021-03-08
Fremantle,2021,3,Carlton,3,L,22,3,1,7,10,,,16,4,1,1,4,2,3,1,,10,2,,,1,,,80,2021-03-15
Fremantle,2021,4,Hawthorn,4,W,22,,1,7,7,,,9,,,,3,,1,,,5,3,,,2,,,53,2021-03-22
Fremantle,2021,5,Sydney,19,L,22,3,2,6,9,,,17,1,,1,2,2,,1,,6,3,1,,2,,,79,2021-07-05
Fremantle,2021,6,Richmond,20,W,22,2,1,4,6,,1,9,1,,,2,3,1,1,,6,,1,1,3,,,44,2021-07-12
Fremantle,2021,7,Brisbane Lions,21,L,22,2,2,8,10,1,,13,1,,,2,6,,3,,7,4,1,1,2,,,71,2021-07-19
Fremantle,2021,8,West Coast,22,W,22,2,2,5,7,,,8,2,,,1,2,,1,,5,3,2,,4,,,70,2021-07-26
Fremantle,2021,9,St Kilda,23,L,22,4,1,7,11,,1,27,3,,2,3,9,1,5,,8,6,,,4,,,88,2021-08-02
Fremantle,2022,10,Adelaide,1,W,22,2,1,11,13,,,32,3,,1,2,3,1,3,,3,10,,,7,,,78,2022-03-01
Fremantle,2022,11,St Kilda,2,L,22,5,5,2,7,1,,16,3,1,,1,2,,2,,3,5,1,1,9,,,83,2022-03-08
Fremantle,2022,12,West Coast,3,W,22,7,2,6,13,,,12,2,2,2,4,2,3,2,,8,5,,,6,,,85,2022-03-15
Fremantle,2022,13,Geelong,7,W,22,2,1,10,12,,,28,3,1,2,4,5,4,3,,9,4,1,,3,,,86,2022-04-12
Fremantle,2022,14,Brisbane Lions,12,W,22,5,2,4,9,1,,12,2,1,,3,1,1,1,,7,3,1,,4,,,58,2022-05-17
Fremantle,2022,15,Greater Western Sydney,23,W,22,5,1,10,15,,,17,2,,1,4,2,2,1,,9,8,,,4,,,82,2022-08-02
Hawthorn,2023,16,Essendon,1,L,17,3,6,6,9,,,12,,1,,2,1,1,1,,3,7,,,1,,,71,2023-03-01
Hawthorn,2023,17,Sydney,2,L,17,5,1,4,9,1,1,19,8,1,,3,3,2,1,,6,4,,,3,,,77,2023-03-08
Hawthorn,2023,18,North Melbourne,3,W,17,4,1,4,8,,,7,2,,2,4,4,1,1,,8,1,,,3,,1,87,2023-03-15
Hawthorn,2023,19,Geelong,4,L,17,8,2,2,10,,,7,4,2,2,4,7,2,6,,6,3,,,,,,79,2023-03-22
Hawthorn,2023,20,Greater Western Sydney,5,L,17,3,,7,10,,1,15,6,,1,1,2,,1,,5,6,,,4,,,70,2023-03-29
Hawthorn,2023,21,Fremantle,8,L,17,3,6,9,12,,,24,2,1,1,2,2,1,1,,8,6,4,,8,,,80,2023-04-19
Hawthorn,2023,22,Melbourne,9,L,17,3,1,11,14,1,,20,6,1,1,2,1,,,,7,6,1,1,7,,,81,2023-04-26
Hawthorn,2023,23,West Coast,10,W,17,4,2,14,18,,,31,5,2,1,3,3,1,1,,12,7,1,,1,,,87,2023-05-03
Hawthorn,2023,24,St Kilda,11,W,17,2,5,9,11,,,13,4,,,1,3,1,3,,8,5,2,1,1,,1,64,2023-05-10
Hawthorn,2023,25↓,Port Adelaide,12,L,17,,3,4,4,,,5,1,,,,,,,,1,3,1,,,,,31,2023-05-17
Hawthorn,2023,26,Brisbane Lions,13,W,17,3,4,11,14,1,,18,2,1,2,3,1,1,1,,7,8,2,,3,,1,76,2023-05-24
Hawthorn,2023,27↓,Gold Coast,15,L,17,1,,1,2,,,11,,2,,,1,,1,,,1,,,,,,45,2023-06-07
Hawthorn,2023,28,Carlton,16,L,17,,1,7,7,,,32,7,3,1,2,2,2,2,,5,4,1,,1,,,73,2023-06-14
Hawthorn,2023,29,North Melbourne,18,W,17,3,1,7,10,,,15,2,1,,2,1,,1,,7,3,,1,3,,,71,2023-06-28
Hawthorn,2023,30,St Kilda,20,L,17,2,1,8,10,,,46,5,2,,2,4,1,1,,10,3,,,6,,1,88,2023-07-12
Hawthorn,2023,31↑,Fremantle,24,L,17,2,2,4,6,,,13,4,,1,3,1,1,1,,3,3,,,,,,38,2023-08-09
Hawthorn,2024,32,Geelong,4,L,17,4,3,12,16,,1,42,1,,,2,4,,,,5,12,,,5,,,88,2024-03-22
Hawthorn,2024,33,Collingwood,5,L,17,8,2,10,18,,,30,4,2,4,7,4,2,3,,13,6,2,,3,,1,87,2024-03-29
Hawthorn,2024,34,Gold Coast,6,L,17,5,1,6,11,,,23,1,1,5,7,4,2,3,,10,2,1,,1,,,73,2024-04-05
Hawthorn,2024,35,North Melbourne,7,W,17,5,1,5,10,2,,24,3,1,2,2,2,3,2,,4,6,,,3,,2,83,2024-04-12
Hawthorn,2024,36,Sydney,8,L,17,5,2,10,15,1,,20,2,,4,3,2,2,,,9,6,1,,7,,,82,2024-04-19
Hawthorn,2024,37,Western Bulldogs,9,W,17,7,2,9,16,1,,45,6,1,,2,4,3,2,,11,6,1,,2,,1,83,2024-04-26
Hawthorn,2024,38,St Kilda,10,W,17,7,4,5,12,1,,46,8,1,2,1,2,,1,,5,8,1,1,2,,,88,2024-05-03
Hawthorn,2024,39,Port Adelaide,11,L,17,6,1,12,18,,,45,4,,2,4,2,2,,,12,5,,,4,,,85,2024-05-10
Hawthorn,2024,40,Brisbane Lions,12,W,17,4,1,8,12,,,40,3,,2,3,2,,1,,7,5,,,4,,,82,2024-05-17
Hawthorn,2024,41,Richmond,15,W,17,3,1,9,12,,,26,2,,1,4,,2,,,7,5,,,1,,,78,2024-06-07
Hawthorn,2024,42,West Coast,17,W,17,4,5,12,16,1,,37,6,1,,4,3,,2,,7,10,1,3,2,,,85,2024-06-21
Hawthorn,2024,43,Geelong,18,L,17,6,3,7,13,,,47,1,1,2,4,1,2,,,9,5,,,3,,1,82,2024-06-28
Hawthorn,2024,44,Fremantle,19,W,17,6,3,9,15,,1,51,4,2,1,3,7,1,3,,11,4,3,,4,,1,90,2024-07-05
Hawthorn,2024,45,Collingwood,20,W,17,6,,7,13,,,36,2,,4,5,7,1,6,,9,4,,,4,,2,83,2024-07-12
Hawthorn,2024,46,Adelaide,21,W,17,3,1,8,11,,,35,6,1,2,2,2,,1,,6,5,,,4,,2,71,2024-07-19
Hawthorn,2024,47,Greater Western Sydney,22,L,17,8,4,8,16,,3,42,4,,2,2,3,2,2,,7,8,,2,2,,1,88,2024-07-26
Hawthorn,2024,48,Carlton,23,W,17,7,1,7,14,1,,21,4,1,1,4,6,2,3,,9,6,,,,,,79,2024-08-02
Hawthorn,2024,49,Richmond,24,W,17,4,3,9,13,,,30,4,1,2,1,1,1,,,6,7,1,,,,,81,2024-08-09
Hawthorn,2024,50,North Melbourne,25,W,17,8,3,8,16,,1,38,1,1,4,2,8,3,5,,9,6,1,,1,,,79,2024-08-16
Hawthorn,2024,51,Western Bulldogs,EF,W,17,8,6,15,23,1,,46,5,,2,5,5,2,3,,11,13,1,1,1,,1,87,2024-08-09
Hawthorn,2024,52,Port Adelaide,SF,L,17,6,3,9,15,,,35,1,1,2,5,3,3,,,9,7,,,2,,1,79,2024-08-16
Hawthorn,2025,53,Sydney,1,W,17,7,4,7,14,2,,30,5,,3,6,1,1,,,10,4,1,1,,,,83,2025-03-01
