team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2017,1,Greater Western Sydney,5,L,43,9,8.0,4.0,13,,,,1.0,2.0,3.0,,1.0,,1.0,,4.0,9,2.0,,2.0,,,89,2017-03-29
Sydney,2017,2,Carlton,6,L,43,6,3.0,5.0,11,,,,2.0,5.0,1.0,,2.0,,2.0,,4.0,7,,,6.0,,,93,2017-04-05
Sydney,2017,3,Brisbane Lions,7,W,43,10,5.0,6.0,16,,,,3.0,7.0,,,2.0,,,,7.0,9,1.0,,4.0,,,94,2017-04-12
Sydney,2017,4,North Melbourne,8,W,43,3,3.0,3.0,6,,,,2.0,1.0,,,1.0,,,,4.0,3,1.0,,4.0,,,87,2017-04-19
Sydney,2017,5,St Kilda,9,W,43,4,3.0,5.0,9,,,,2.0,,,,2.0,,,,4.0,5,,,4.0,,,77,2017-04-26
Sydney,2017,6,Hawthorn,10,L,43,7,2.0,6.0,13,,,,1.0,3.0,1.0,1.0,1.0,,,,7.0,8,,,3.0,,,94,2017-05-03
Sydney,2017,7,Western Bulldogs,12,W,43,8,4.0,6.0,14,,,,2.0,2.0,1.0,,2.0,2.0,,,5.0,9,1.0,,5.0,,,88,2017-05-17
Sydney,2017,8,Essendon,14,W,43,5,3.0,10.0,15,,,,,3.0,1.0,,1.0,1.0,1.0,,6.0,9,1.0,,2.0,,,75,2017-05-31
Sydney,2017,9,Melbourne,15,W,43,9,5.0,5.0,14,,,,3.0,4.0,1.0,,2.0,1.0,2.0,,5.0,9,,,5.0,,1.0,91,2017-06-07
Sydney,2017,10,Gold Coast,16,W,43,7,3.0,7.0,14,1.0,,,1.0,2.0,2.0,1.0,,,,,5.0,9,1.0,1.0,7.0,,,80,2017-06-14
Sydney,2017,11,Greater Western Sydney,17,W,43,7,3.0,4.0,11,,,,2.0,4.0,,,2.0,,,,4.0,8,,,6.0,,,90,2017-06-21
Sydney,2017,12,St Kilda,18,W,43,9,3.0,6.0,15,,,,3.0,3.0,2.0,,2.0,1.0,1.0,,8.0,7,1.0,,6.0,,1.0,87,2017-06-28
Sydney,2017,13,Hawthorn,19,L,43,6,2.0,3.0,9,,,,3.0,2.0,1.0,,3.0,,2.0,,5.0,6,,,8.0,,,84,2017-07-05
Sydney,2017,14,Geelong,20,W,43,5,3.0,4.0,9,,1.0,,1.0,2.0,1.0,,3.0,,2.0,,7.0,3,1.0,,4.0,,,91,2017-07-12
Sydney,2017,15,Fremantle,21,W,43,3,3.0,7.0,10,,,,2.0,1.0,1.0,,4.0,2.0,3.0,,4.0,7,1.0,,4.0,,,81,2017-07-19
Sydney,2017,16,Adelaide,22,W,43,9,5.0,4.0,13,,,,2.0,5.0,2.0,,1.0,,1.0,,2.0,11,,,3.0,,,91,2017-07-26
Sydney,2017,17,Carlton,23,W,43,5,4.0,6.0,11,,,,1.0,1.0,,,3.0,,,,2.0,9,,,8.0,,,90,2017-08-02
Sydney,2018,18,West Coast,1,W,43,7,2.0,7.0,14,,,,2.0,2.0,1.0,,2.0,,,,6.0,5,,,6.0,,1.0,89,2018-03-01
Sydney,2018,19,Port Adelaide,2,L,43,8,3.0,3.0,11,,,,3.0,2.0,,,1.0,,,,2.0,9,,,7.0,,,87,2018-03-08
Sydney,2018,20,Greater Western Sydney,3,W,43,11,4.0,4.0,15,,,,,3.0,2.0,,,1.0,,,2.0,11,,,9.0,,,87,2018-03-15
Sydney,2019,21,Western Bulldogs,1,L,43,5,3.0,3.0,8,,,,4.0,5.0,,,5.0,,4.0,,2.0,5,,,11.0,,,83,2019-03-01
Sydney,2019,22,Adelaide,2,L,43,7,5.0,6.0,13,,,,2.0,3.0,,,5.0,1.0,2.0,,5.0,9,1.0,,11.0,,,93,2019-03-08
