team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2014,1↓,Essendon,19,W,1,5,4.0,4.0,9,,,,1.0,,,,,1.0,,,3.0,6,,,1.0,,,56,2014-07-05
St Kilda,2015,2,Greater Western Sydney,1,L,28,7,4.0,2.0,9,2.0,,,1.0,,5.0,,3.0,,,,4.0,5,1.0,1.0,1.0,,,94,2015-03-01
St Kilda,2015,3,Gold Coast,2,W,28,4,3.0,7.0,11,,3.0,,,,,1.0,,,,,5.0,6,1.0,2.0,,,,80,2015-03-08
St Kilda,2015,4,Collingwood,3,L,28,6,4.0,5.0,11,1.0,,,2.0,,2.0,,1.0,1.0,,,8.0,3,1.0,2.0,2.0,,1.0,94,2015-03-15
St Kilda,2015,5,Carlton,4,L,28,2,1.0,6.0,8,,,,3.0,,3.0,1.0,,,,,5.0,4,,,2.0,,,92,2015-03-22
St Kilda,2015,6,Essendon,5,L,28,6,3.0,6.0,12,,,,1.0,,4.0,1.0,2.0,1.0,,,4.0,8,,1.0,1.0,,1.0,94,2015-03-29
St Kilda,2015,7,West Coast,8,L,28,4,4.0,4.0,8,1.0,,,5.0,,1.0,1.0,,,,,4.0,4,1.0,1.0,2.0,,,94,2015-04-19
St Kilda,2015,8,Melbourne,11,W,28,8,5.0,4.0,12,1.0,2.0,,3.0,,4.0,,,,,,7.0,4,2.0,3.0,,,,89,2015-05-10
St Kilda,2015,9,Western Bulldogs,13,L,28,14,5.0,3.0,17,,1.0,,1.0,,4.0,,1.0,2.0,,,8.0,9,1.0,1.0,,,,90,2015-05-24
St Kilda,2015,10,Essendon,14,W,28,8,10.0,8.0,16,2.0,1.0,,3.0,,3.0,,3.0,,1.0,,7.0,10,2.0,5.0,1.0,,2.0,88,2015-05-31
St Kilda,2015,11,Greater Western Sydney,15,L,28,3,3.0,5.0,8,,,,,,1.0,,2.0,,,,4.0,4,,,,,,88,2015-06-07
St Kilda,2015,12↑,Port Adelaide,18,L,28,3,1.0,2.0,5,1.0,,,,,1.0,,2.0,,1.0,,,5,,,,,,48,2015-06-28
St Kilda,2015,13,Geelong,21,D,28,8,5.0,1.0,9,1.0,,,5.0,1.0,3.0,,2.0,1.0,,,3.0,6,1.0,1.0,2.0,,,94,2015-07-19
St Kilda,2016,14,Melbourne,6,W,28,13,8.0,3.0,16,5.0,1.0,,2.0,1.0,3.0,,3.0,2.0,1.0,1.0,5.0,11,1.0,4.0,2.0,1.0,,84,2016-04-05
St Kilda,2016,15,North Melbourne,7,L,28,8,4.0,4.0,12,3.0,,,1.0,1.0,3.0,,3.0,,1.0,,4.0,7,1.0,2.0,,1.0,1.0,73,2016-04-12
St Kilda,2016,16,West Coast,8,L,28,3,2.0,2.0,5,,2.0,,2.0,,2.0,,1.0,,,,3.0,2,2.0,,,,,85,2016-04-19
St Kilda,2016,17,Essendon,9,W,28,12,9.0,2.0,14,3.0,3.0,,,,2.0,,4.0,,3.0,,4.0,10,2.0,5.0,,,,93,2016-04-26
St Kilda,2016,18,Fremantle,10,W,28,9,6.0,6.0,15,3.0,2.0,,4.0,,3.0,1.0,,1.0,,,7.0,9,,4.0,1.0,,,81,2016-05-03
St Kilda,2016,19,Adelaide,11,L,28,7,7.0,4.0,11,1.0,1.0,,2.0,,2.0,,1.0,,,,2.0,9,1.0,1.0,4.0,,1.0,91,2016-05-10
St Kilda,2016,20,Carlton,12,W,28,11,10.0,6.0,17,5.0,1.0,,2.0,,4.0,,1.0,,,2.0,6.0,10,1.0,5.0,,,,88,2016-05-17
