team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2014,1↑,North Melbourne,1,W,27,6,4.0,5,11,,,,2.0,1.0,,,1.0,,1.0,,3,8,,,1.0,,,27,2014-03-01
Essendon,2014,2↑,Hawthorn,2,L,27,5,2.0,1,6,,,,3.0,,1.0,,1.0,,,,3,2,,,,,,40,2014-03-08
Essendon,2014,3,Collingwood,6,L,27,7,2.0,6,13,1.0,,,5.0,,2.0,,,,,,3,10,1.0,,,,1.0,82,2014-04-05
Essendon,2014,4,Western Bulldogs,7,W,27,7,4.0,3,10,,,,6.0,1.0,,,1.0,2.0,,,4,7,1.0,,,,,74,2014-04-12
Essendon,2014,5,Brisbane Lions,8,W,27,8,4.0,3,11,2.0,,,2.0,1.0,5.0,1.0,1.0,1.0,,,3,8,1.0,,,,1.0,85,2014-04-19
Essendon,2014,6,Sydney,9,L,27,7,5.0,12,19,,,,6.0,1.0,1.0,,,2.0,,,8,11,,,,2.0,,76,2014-04-26
Essendon,2014,7,Richmond,11,W,27,14,5.0,8,22,2.0,,,3.0,2.0,3.0,,4.0,1.0,,,6,16,,,,,,80,2014-05-10
Essendon,2014,8,Greater Western Sydney,12,W,27,12,4.0,9,21,,,,6.0,,4.0,,4.0,,1.0,,9,12,,,,,,84,2014-05-17
Essendon,2014,9,Melbourne,13,L,27,11,2.0,3,14,1.0,,,4.0,1.0,8.0,3.0,4.0,1.0,,,7,6,,,1.0,,1.0,86,2014-05-24
Essendon,2014,10↑,Adelaide,14,W,27,3,2.0,4,7,,,,2.0,1.0,1.0,,1.0,,,,3,4,,,2.0,2.0,,41,2014-05-31
Essendon,2014,11↑,Geelong,15,L,27,4,1.0,3,7,,,,,,2.0,1.0,3.0,,,,2,5,,,,1.0,1.0,31,2014-06-07
Essendon,2014,12,Port Adelaide,16,W,27,16,6.0,7,23,,,,4.0,,6.0,3.0,2.0,2.0,,,6,15,,,,,,79,2014-06-14
Essendon,2014,13,Collingwood,17,W,27,10,2.0,14,24,2.0,,,4.0,,4.0,1.0,2.0,2.0,,,8,16,,,1.0,,,75,2014-06-21
Essendon,2014,14,Western Bulldogs,18,W,27,10,3.0,8,18,,,,2.0,,4.0,,2.0,,,,2,15,,,,1.0,,84,2014-06-28
Essendon,2014,15,Sydney,19,L,27,7,2.0,12,19,,,,8.0,2.0,2.0,,3.0,5.0,2.0,,6,13,,,,,1.0,78,2014-07-05
Essendon,2014,16,Richmond,20,L,27,6,5.0,8,14,1.0,,,1.0,1.0,3.0,,2.0,,,,4,10,1.0,1.0,1.0,,1.0,76,2014-07-12
Essendon,2014,17↑,West Coast,21,W,27,7,1.0,5,12,,,,2.0,1.0,2.0,,1.0,,,,5,7,,,,,,40,2014-07-19
Essendon,2014,18,Gold Coast,22,W,27,13,3.0,6,19,1.0,,,10.0,,4.0,,1.0,1.0,,,9,10,,,,,2.0,75,2014-07-26
Essendon,2014,19,Carlton,23,D,27,7,6.0,9,16,1.0,,,4.0,,1.0,1.0,1.0,,,,7,9,,1.0,1.0,,,82,2014-08-02
Essendon,2014,20,North Melbourne,EF,L,27,10,4.0,8,18,,2.0,,5.0,2.0,3.0,2.0,2.0,1.0,,,6,13,1.0,1.0,1.0,1.0,,85,2014-03-01
Essendon,2015,21,Sydney,1,L,7,11,2.0,6,17,,,,5.0,1.0,2.0,2.0,1.0,2.0,,,6,11,,,2.0,,,79,2015-03-01
Essendon,2015,22,Hawthorn,2,W,7,13,5.0,13,26,1.0,,,7.0,1.0,2.0,3.0,3.0,2.0,,,7,19,,,,3.0,,78,2015-03-08
Essendon,2015,23,Carlton,3,W,7,11,6.0,6,17,,,,4.0,3.0,4.0,1.0,1.0,1.0,,,2,15,,,2.0,1.0,,81,2015-03-15
Essendon,2015,24,Collingwood,4,L,7,8,5.0,12,20,,,,6.0,,2.0,2.0,2.0,2.0,1.0,,8,12,,,,,,88,2015-03-22
Essendon,2015,25,St Kilda,5,W,7,10,4.0,11,21,,,,3.0,2.0,5.0,2.0,2.0,2.0,1.0,,6,14,,,,,,78,2015-03-29
Essendon,2015,26,Fremantle,6,L,7,10,5.0,13,23,1.0,,,3.0,1.0,5.0,2.0,4.0,,1.0,,9,13,,,1.0,1.0,1.0,80,2015-04-05
Essendon,2015,27,North Melbourne,7,L,7,5,3.0,11,16,,1.0,,6.0,1.0,1.0,2.0,3.0,,1.0,,5,13,1.0,1.0,1.0,,1.0,74,2015-04-12
Essendon,2015,28,Brisbane Lions,8,W,7,11,5.0,9,20,,,,5.0,,5.0,1.0,3.0,2.0,1.0,,7,13,1.0,,2.0,2.0,3.0,78,2015-04-19
Essendon,2015,29,Richmond,9,L,7,11,2.0,9,20,,,,6.0,2.0,4.0,3.0,1.0,2.0,1.0,,7,12,,,,,,74,2015-04-26
Essendon,2015,30,Geelong,10,L,7,12,2.0,15,27,,,,8.0,2.0,5.0,4.0,2.0,2.0,,,14,14,,,1.0,,,81,2015-05-03
Essendon,2015,31,West Coast,11,L,7,16,7.0,13,29,,1.0,,11.0,,1.0,2.0,3.0,,1.0,,8,23,,,2.0,1.0,,78,2015-05-10
Essendon,2015,32,Hawthorn,13,L,7,10,4.0,21,31,,,,1.0,1.0,3.0,1.0,2.0,2.0,,,4,27,,,1.0,,,84,2015-05-24
Essendon,2015,33,St Kilda,14,L,7,9,1.0,7,16,,,,5.0,2.0,5.0,1.0,1.0,1.0,,,9,7,,,,,1.0,86,2015-05-31
Essendon,2015,34,Melbourne,15,W,7,10,1.0,11,21,,,,8.0,1.0,2.0,5.0,2.0,,1.0,,11,10,,,1.0,,,75,2015-06-07
Essendon,2015,35,North Melbourne,16,L,7,12,4.0,14,26,,,,2.0,2.0,2.0,4.0,4.0,,1.0,,13,13,,,1.0,,,78,2015-06-14
Essendon,2015,36,Port Adelaide,17,L,7,16,2.0,5,21,1.0,2.0,,12.0,2.0,6.0,5.0,2.0,1.0,1.0,1.0,11,10,,,3.0,,2.0,78,2015-06-21
Essendon,2015,37,Western Bulldogs,18,L,7,11,2.0,19,30,1.0,,,6.0,2.0,6.0,3.0,4.0,2.0,,,11,19,,,1.0,,,78,2015-06-28
Essendon,2016,38,Gold Coast,1,L,7,18,10.0,13,31,,,,3.0,4.0,4.0,4.0,3.0,,1.0,,12,23,,,4.0,,,74,2016-03-01
