team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2023,1,Greater Western Sydney,1,L,16,9,4.0,3.0,12,,,,1.0,2.0,1.0,,,1.0,,,3,7,1.0,,3.0,,,79,2023-03-01
Adelaide,2023,2,Richmond,2,L,16,4,2.0,4.0,8,,,,5.0,3.0,1.0,,2.0,2.0,,,5,4,,,3.0,,,86,2023-03-08
Adelaide,2023,3,Port Adelaide,3,W,16,10,4.0,2.0,12,,,,5.0,4.0,1.0,1.0,1.0,2.0,,,4,7,,,2.0,,,75,2023-03-15
Adelaide,2023,4,Fremantle,4,W,16,9,5.0,7.0,16,,,,2.0,2.0,2.0,1.0,2.0,2.0,,,9,7,1.0,,8.0,,1.0,80,2023-03-22
Adelaide,2023,5,Carlton,5,W,16,7,3.0,3.0,10,,,,4.0,2.0,3.0,,2.0,1.0,1.0,,4,6,,,1.0,,1.0,83,2023-03-29
Adelaide,2023,6,Hawthorn,6,W,16,6,4.0,,6,,,,9.0,2.0,1.0,,2.0,,2.0,,1,5,1.0,,2.0,,,78,2023-04-05
Adelaide,2023,7,Collingwood,7,L,16,8,2.0,4.0,12,,,,3.0,3.0,,,3.0,2.0,,,4,7,,,2.0,,,69,2023-04-12
Adelaide,2023,8,Geelong,8,L,16,10,7.0,2.0,12,,,,3.0,5.0,1.0,,3.0,,1.0,,5,7,2.0,,1.0,,,67,2023-04-19
Adelaide,2023,9,St Kilda,9,W,16,6,6.0,3.0,9,,,,1.0,2.0,1.0,,1.0,,,,1,8,,,3.0,,,81,2023-04-26
Adelaide,2023,10,Western Bulldogs,10,L,16,7,4.0,1.0,8,,,,4.0,1.0,,,3.0,,2.0,,2,7,,,4.0,,,82,2023-05-03
Adelaide,2023,11,Brisbane Lions,11,W,16,8,3.0,3.0,11,,,,5.0,4.0,,,2.0,,,,2,7,,,2.0,,,94,2023-05-10
Adelaide,2023,12,Gold Coast,12,L,16,3,2.0,7.0,10,,,,5.0,3.0,1.0,1.0,1.0,2.0,1.0,,4,6,,,4.0,,,85,2023-05-17
Adelaide,2023,13,West Coast,13,W,16,6,2.0,3.0,9,,,,,1.0,,,1.0,,1.0,,2,7,,,2.0,,,77,2023-05-24
Adelaide,2023,14,Collingwood,15,L,16,7,5.0,2.0,9,,,,4.0,2.0,1.0,,2.0,,,,2,6,1.0,,3.0,,,92,2023-06-07
Adelaide,2023,15,North Melbourne,16,W,16,6,4.0,5.0,11,,,,4.0,1.0,,1.0,1.0,,,,4,6,,,5.0,,,90,2023-06-14
Adelaide,2023,16,Essendon,17,L,16,4,1.0,1.0,5,,,,1.0,,,,2.0,1.0,,,1,3,,,2.0,,,86,2023-06-21
Adelaide,2023,17,Greater Western Sydney,18,L,16,8,2.0,4.0,12,,,,4.0,3.0,,1.0,2.0,1.0,,,3,7,,,1.0,,,81,2023-06-28
Adelaide,2023,18,Port Adelaide,20,W,16,2,2.0,6.0,8,,,,5.0,2.0,,,,,,,3,5,1.0,,4.0,,,81,2023-07-12
Adelaide,2023,19,Gold Coast,21,W,16,12,4.0,7.0,19,,,,1.0,1.0,3.0,,,,,,3,16,,,3.0,,,89,2023-07-19
Adelaide,2023,20,Brisbane Lions,22,L,16,10,7.0,1.0,11,,,,5.0,2.0,3.0,,4.0,1.0,2.0,,2,11,1.0,1.0,3.0,,,90,2023-07-26
Adelaide,2023,21,Sydney,23,L,16,8,2.0,7.0,15,,,,2.0,4.0,1.0,1.0,3.0,,1.0,,5,8,,,3.0,,,93,2023-08-02
Adelaide,2023,22,West Coast,24,W,16,9,5.0,3.0,12,,,,2.0,,2.0,,2.0,,1.0,,5,9,,,2.0,,,85,2023-08-09
Adelaide,2024,23,Gold Coast,2,L,16,13,5.0,3.0,16,,,,6.0,5.0,1.0,,4.0,2.0,,,5,10,2.0,,1.0,,,90,2024-03-08
Adelaide,2024,24,Geelong,3,L,16,10,6.0,5.0,15,,,,1.0,,2.0,,4.0,,1.0,,4,11,,,4.0,,,88,2024-03-15
Adelaide,2024,25,Fremantle,4,L,16,10,7.0,3.0,13,,,,5.0,3.0,1.0,,2.0,,1.0,,3,9,1.0,,4.0,1.0,,85,2024-03-22
Adelaide,2024,26,Melbourne,5,L,16,11,8.0,4.0,15,,,,,6.0,1.0,,2.0,,,,2,12,,,6.0,,,92,2024-03-29
Adelaide,2024,27,Carlton,6,W,16,5,3.0,4.0,9,,,,4.0,3.0,1.0,,,1.0,,,4,6,,,2.0,,,83,2024-04-05
Adelaide,2024,28,Essendon,7,L,16,10,2.0,7.0,17,,,,,3.0,,,3.0,2.0,,,2,15,,,,,,82,2024-04-12
Adelaide,2024,29,North Melbourne,8,W,16,6,4.0,7.0,13,,,,3.0,2.0,1.0,,,1.0,,,6,7,1.0,,4.0,,,81,2024-04-19
Adelaide,2024,30,Port Adelaide,9,W,16,13,5.0,2.0,15,,,,6.0,4.0,2.0,,,2.0,,,3,12,,,2.0,,1.0,87,2024-04-26
Adelaide,2024,31,Brisbane Lions,10,D,16,3,1.0,5.0,8,,,,4.0,,2.0,1.0,,,,,4,4,,,,,,86,2024-05-03
Adelaide,2024,32,Collingwood,11,L,16,9,5.0,6.0,15,,,,3.0,5.0,1.0,,3.0,,1.0,,3,12,1.0,,3.0,,,86,2024-05-10
Adelaide,2024,33,West Coast,12,W,16,13,9.0,5.0,18,,,,2.0,3.0,1.0,,2.0,,1.0,,4,13,1.0,,1.0,,,86,2024-05-17
Adelaide,2024,34,Hawthorn,13,L,16,9,4.0,8.0,17,,,,3.0,3.0,2.0,1.0,4.0,1.0,1.0,,4,13,,,1.0,,,79,2024-05-24
Adelaide,2024,35,Richmond,14,L,16,16,11.0,9.0,25,,,,2.0,5.0,1.0,1.0,2.0,1.0,,,6,18,,,1.0,,,85,2024-05-31
Adelaide,2024,36,Sydney,15,L,16,7,4.0,9.0,16,,,,3.0,1.0,5.0,3.0,4.0,,1.0,,6,10,,,2.0,,,84,2024-06-07
Adelaide,2024,37,Greater Western Sydney,17,W,16,9,6.0,2.0,11,,,,1.0,4.0,1.0,1.0,3.0,,3.0,,3,9,1.0,,4.0,,,94,2024-06-21
Adelaide,2024,38,Brisbane Lions,18,L,16,8,6.0,8.0,16,,1.0,,3.0,3.0,1.0,2.0,,,,,3,13,,,2.0,1.0,,87,2024-06-28
Adelaide,2024,39,St Kilda,19,W,16,5,,5.0,10,,,,2.0,,2.0,4.0,1.0,1.0,1.0,,5,6,,,2.0,,,68,2024-07-05
Adelaide,2024,40,Essendon,20,W,16,9,6.0,6.0,15,,,,1.0,3.0,6.0,1.0,,1.0,,,3,11,2.0,,1.0,1.0,1.0,96,2024-07-12
Adelaide,2024,41,Hawthorn,21,L,16,10,7.0,6.0,16,,,,4.0,4.0,1.0,,5.0,1.0,2.0,,5,11,,,1.0,,1.0,93,2024-07-19
Adelaide,2024,42,Geelong,22,L,16,10,8.0,7.0,17,,,,3.0,3.0,,,3.0,,2.0,,2,16,,,1.0,,,96,2024-07-26
Adelaide,2024,43,Western Bulldogs,23,W,16,10,7.0,8.0,18,,,,4.0,3.0,,,,2.0,,,8,10,2.0,,3.0,,,86,2024-08-02
Adelaide,2024,44,Port Adelaide,24,L,16,12,4.0,4.0,16,,,,4.0,6.0,3.0,,3.0,1.0,2.0,,3,13,,,3.0,2.0,,81,2024-08-09
Adelaide,2024,45,Sydney,25,L,16,4,4.0,7.0,11,,,,3.0,1.0,,,3.0,,,,2,8,,,3.0,,,79,2024-08-16
Adelaide,2025,46,St Kilda,2,W,16,11,3.0,3.0,14,,,,,1.0,2.0,,,2.0,,,5,9,,,4.0,,,90,2025-03-08
Adelaide,2025,47,Essendon,3,W,16,12,8,3,15,,,,1,4,1,,1,2,,,6,9,2,,,,,90,2025-03-15
Adelaide,2025,48,North Melbourne,4,W,16,8,5,2,10,,,,2,4,1,,1,2,1,,5,7,2,,4,,,91,2025-03-22
Adelaide,2025,49,Gold Coast,5,L,16,7,2,2,9,,,,2,4,,,1,,1,,,9,,,,,1,92,2025-03-29
