team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2016,1,North Melbourne,1,L,30,4,2.0,3,7,,1.0,,2.0,,1.0,1.0,2.0,2.0,1.0,,5.0,2,1.0,,2.0,,,70,2016-03-01
Adelaide,2016,2,Port Adelaide,2,W,30,10,9.0,10,20,1.0,,,1.0,1.0,4.0,,1.0,1.0,,,5.0,15,1.0,1.0,2.0,2.0,,72,2016-03-08
Adelaide,2016,3,Richmond,3,W,30,8,1.0,4,12,,1.0,,1.0,,2.0,,2.0,1.0,,,5.0,7,,,,,2.0,77,2016-03-15
Adelaide,2016,4,Sydney,4,W,30,1,1.0,8,9,,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,5.0,4,,,,,1.0,55,2016-03-22
Adelaide,2016,5,Geelong,8,L,30,6,2.0,3,9,,1.0,,2.0,,3.0,,1.0,1.0,,,4.0,5,,,2.0,,1.0,71,2016-04-19
Adelaide,2016,6,Gold Coast,9,W,30,9,5.0,3,12,3.0,,,5.0,,3.0,1.0,1.0,2.0,,,4.0,8,1.0,1.0,,1.0,1.0,79,2016-04-26
Adelaide,2016,7,Greater Western Sydney,10,W,30,5,1.0,3,8,1.0,1.0,,1.0,1.0,,1.0,2.0,,2.0,,3.0,5,,,1.0,,,68,2016-05-03
Adelaide,2016,8,St Kilda,11,W,30,6,4.0,6,12,,1.0,,4.0,,3.0,1.0,1.0,2.0,,,3.0,11,,1.0,,,3.0,75,2016-05-10
Adelaide,2017,9,Greater Western Sydney,1,W,30,13,5.0,10,23,1.0,,,3.0,2.0,3.0,2.0,,1.0,,,4.0,19,,,,1.0,1.0,76,2017-03-01
Adelaide,2017,10,Hawthorn,2,W,30,8,3.0,8,16,,,,3.0,2.0,1.0,1.0,1.0,,,,3.0,14,,,,,,77,2017-03-08
Adelaide,2017,11,Port Adelaide,3,W,30,6,2.0,6,12,,,,2.0,,,2.0,2.0,,1.0,,4.0,9,,,2.0,,,70,2017-03-15
Adelaide,2017,12,Essendon,4,W,30,10,2.0,9,19,,,,,2.0,4.0,1.0,2.0,,2.0,,4.0,15,,,,1.0,3.0,77,2017-03-22
Adelaide,2017,13,Gold Coast,5,W,30,9,2.0,8,17,,,,2.0,2.0,2.0,2.0,1.0,1.0,,,4.0,14,,,3.0,,,85,2017-03-29
Adelaide,2017,14,Richmond,6,W,30,9,4.0,7,16,1.0,,,3.0,3.0,1.0,,2.0,1.0,1.0,,6.0,12,,,,,2.0,78,2017-04-05
Adelaide,2017,15,Melbourne,8,L,30,9,5.0,11,20,,,,1.0,2.0,2.0,2.0,3.0,3.0,1.0,,6.0,14,,1.0,,,1.0,84,2017-04-19
Adelaide,2017,16,Brisbane Lions,9,W,30,9,2.0,5,14,1.0,1.0,,1.0,2.0,3.0,1.0,,1.0,,,4.0,10,,1.0,,,,84,2017-04-26
Adelaide,2017,17,Fremantle,10,W,30,11,5.0,5,16,3.0,1.0,,4.0,,2.0,1.0,2.0,1.0,2.0,,5.0,11,,1.0,,,,71,2017-05-03
Adelaide,2017,18,Geelong,11,L,30,8,5.0,6,14,,,,2.0,1.0,,2.0,2.0,,2.0,,5.0,9,,1.0,,1.0,,79,2017-05-10
Adelaide,2017,19,St Kilda,12,W,30,9,3.0,5,14,1.0,,,4.0,2.0,3.0,2.0,2.0,,,,4.0,11,1.0,1.0,2.0,2.0,,81,2017-05-17
Adelaide,2017,20,Hawthorn,14,L,30,5,3.0,9,14,,,,2.0,,1.0,,1.0,,1.0,,1.0,13,,,,,,78,2017-05-31
Adelaide,2017,21,Carlton,15,W,30,7,2.0,5,12,,,,1.0,1.0,4.0,1.0,,1.0,,,4.0,8,,,,,,68,2017-06-07
Adelaide,2017,22,Western Bulldogs,16,W,30,7,2.0,4,11,,1.0,,4.0,,3.0,,,,,,,11,,,1.0,,,73,2017-06-14
Adelaide,2017,23,Collingwood,19,D,30,9,3.0,6,15,,,,2.0,1.0,1.0,1.0,4.0,,,,5.0,10,,1.0,,,1.0,74,2017-07-05
Adelaide,2017,24,West Coast,23,L,30,12,5.0,4,16,1.0,,,2.0,,3.0,2.0,2.0,,1.0,,3.0,13,,1.0,,4.0,,76,2017-08-02
Adelaide,2018,25,Richmond,2,W,30,13,6.0,6,19,,,,2.0,2.0,4.0,3.0,3.0,3.0,,,8.0,11,,,1.0,,3.0,85,2018-03-08
Adelaide,2018,26,St Kilda,3,W,30,7,3.0,3,10,,,,2.0,,2.0,,4.0,,1.0,,1.0,10,,,2.0,,,80,2018-03-15
Adelaide,2018,27,Collingwood,4,L,30,10,1.0,6,16,,,,4.0,,1.0,1.0,1.0,2.0,,,9.0,7,,,6.0,,,84,2018-03-22
Adelaide,2018,28,Sydney,5,W,30,16,5.0,1,17,,1.0,,2.0,3.0,2.0,1.0,,1.0,,,5.0,13,,1.0,1.0,,1.0,83,2018-03-29
Adelaide,2018,29,Gold Coast,6,W,30,19,5.0,14,33,,,,2.0,4.0,3.0,,2.0,2.0,,1.0,6.0,25,1.0,,4.0,1.0,1.0,83,2018-04-05
Adelaide,2018,30,Carlton,7,W,30,3,2.0,4,7,,,,,,,,2.0,,1.0,,2.0,7,,,,,,41,2018-04-12
Adelaide,2018,31,Melbourne,10,L,30,12,4.0,5,17,,,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,7.0,10,2.0,,,1.0,1.0,80,2018-05-03
Adelaide,2018,32,Greater Western Sydney,11,L,30,12,6.0,2,14,1.0,1.0,,1.0,3.0,4.0,1.0,1.0,1.0,,,6.0,12,,1.0,2.0,,,80,2018-05-10
Adelaide,2018,33,Fremantle,12,L,30,12,3.0,10,22,,,,4.0,1.0,2.0,3.0,3.0,,1.0,,7.0,14,1.0,,1.0,,,89,2018-05-17
Adelaide,2018,34,Hawthorn,13,L,30,12,7.0,5,17,,,,1.0,5.0,1.0,1.0,,,,,6.0,11,,,1.0,,,86,2018-05-24
Adelaide,2018,35,West Coast,15,W,30,11,5.0,7,18,,,,3.0,3.0,2.0,2.0,2.0,1.0,1.0,,9.0,9,,,1.0,1.0,,84,2018-06-07
Adelaide,2018,36,Richmond,16,L,30,8,3.0,12,20,,,,3.0,1.0,5.0,1.0,3.0,,1.0,,7.0,12,,,3.0,,1.0,84,2018-06-14
Adelaide,2018,37,Geelong,17,W,30,12,3.0,11,23,,,,3.0,,3.0,1.0,1.0,2.0,,,5.0,18,,,1.0,,2.0,86,2018-06-21
Adelaide,2018,38,Brisbane Lions,18,W,30,14,7.0,8,22,,,,1.0,5.0,2.0,,4.0,,1.0,,3.0,18,1.0,,2.0,,,85,2018-06-28
Adelaide,2018,39,Melbourne,19,L,30,17,7.0,9,26,,,,6.0,5.0,2.0,,4.0,1.0,1.0,1.0,12.0,15,1.0,,1.0,,,86,2018-07-05
Adelaide,2018,40,Port Adelaide,20,W,30,14,4.0,8,22,,,,4.0,6.0,3.0,1.0,5.0,,1.0,,9.0,13,,,3.0,,,83,2018-07-12
Adelaide,2018,41,Greater Western Sydney,21,L,30,12,6.0,5,17,,,,3.0,4.0,2.0,,1.0,,,,2.0,14,,,4.0,,,87,2018-07-19
Adelaide,2018,42,North Melbourne,22,W,30,14,7.0,9,23,,,,3.0,8.0,1.0,,1.0,1.0,1.0,,2.0,21,1.0,,7.0,1.0,,79,2018-07-26
Adelaide,2018,43,Carlton,23,W,30,13,5.0,12,25,1.0,,,4.0,1.0,4.0,1.0,1.0,1.0,,,6.0,19,,,2.0,,,84,2018-08-02
Adelaide,2019,44,Hawthorn,1,L,30,13,4.0,13,26,,1.0,,4.0,5.0,1.0,4.0,3.0,1.0,,,9.0,16,,,4.0,1.0,,86,2019-03-01
Adelaide,2019,45,Sydney,2,W,30,11,6.0,10,21,,,,4.0,3.0,1.0,2.0,1.0,2.0,,,7.0,14,1.0,,2.0,,,85,2019-03-08
Adelaide,2019,46,Geelong,3,L,30,8,3.0,13,21,,,,10.0,2.0,1.0,1.0,,,,,5.0,15,1.0,,5.0,,,78,2019-03-15
Adelaide,2019,47,North Melbourne,4,L,30,12,8.0,6,18,1.0,,,2.0,3.0,,1.0,2.0,,,,1.0,14,,,6.0,1.0,,86,2019-03-22
Adelaide,2019,48,Gold Coast,5,W,30,8,2.0,4,12,,1.0,,1.0,,4.0,3.0,1.0,,,,3.0,10,,,,,,37,2019-03-29
Adelaide,2019,49,West Coast,10,L,30,12,4.0,4,16,3.0,,,4.0,,,2.0,3.0,2.0,2.0,,7.0,10,1.0,3.0,1.0,,,81,2019-05-03
Adelaide,2019,50,Melbourne,11,W,30,13,7.0,9,22,,,,1.0,4.0,1.0,5.0,1.0,2.0,,,7.0,12,,,,,,85,2019-05-10
Adelaide,2019,51,Greater Western Sydney,12,W,30,16,9.0,5,21,,1.0,,5.0,2.0,5.0,1.0,5.0,,1.0,,5.0,15,1.0,,,1.0,,84,2019-05-17
Adelaide,2019,52,Richmond,13,W,30,8,6.0,10,18,,,,2.0,3.0,2.0,1.0,4.0,,1.0,,4.0,16,,,3.0,,,87,2019-05-24
Adelaide,2019,53,Port Adelaide,16,L,30,10,4.0,5,15,1.0,3.0,,,3.0,1.0,,3.0,,,,6.0,9,2.0,4.0,,,,89,2019-06-14
Adelaide,2019,54,Gold Coast,17,W,30,13,7.0,14,27,1.0,,,1.0,,7.0,,4.0,,2.0,,6.0,23,1.0,,3.0,,4.0,79,2019-06-21
Adelaide,2019,55,Essendon,18,L,30,13,7.0,6,19,,1.0,,1.0,1.0,1.0,,5.0,,2.0,,6.0,13,1.0,,1.0,1.0,,79,2019-06-28
Adelaide,2019,56,Carlton,19,L,30,9,6.0,4,13,,,,8.0,,4.0,2.0,5.0,,1.0,,4.0,9,,,,,,77,2019-07-05
Adelaide,2019,57,St Kilda,20,W,30,15,11.0,5,20,,,,,7.0,2.0,,1.0,,1.0,,2.0,17,1.0,,3.0,,,85,2019-07-12
Adelaide,2019,58,West Coast,21,L,30,6,1.0,8,14,,,,6.0,1.0,2.0,2.0,1.0,1.0,,,5.0,9,1.0,,2.0,1.0,,81,2019-07-19
Adelaide,2019,59,Collingwood,22,L,30,9,3.0,3,12,,,,,3.0,,,1.0,,,,1.0,9,,,2.0,,,83,2019-07-26
