team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2021,1,Hawthorn,23,D,46,4.0,2.0,2.0,6,,,,,2.0,,,,1.0,,,5.0,3.0,,,8,,,93,2021-08-02
Richmond,2022,2,Greater Western Sydney,2,W,46,4.0,1.0,5.0,9,,,,,1.0,1.0,,,,,,4.0,5.0,,,7,,,92,2022-03-08
Richmond,2022,3,Western Bulldogs,4,W,46,2.0,2.0,7.0,9,,,,4.0,1.0,,,2.0,,1.0,,4.0,5.0,,,9,,,93,2022-03-22
Richmond,2022,4,Adelaide,5,L,46,1.0,1.0,3.0,4,,,,2.0,2.0,1.0,,2.0,,2.0,,5.0,,1.0,,14,,,87,2022-03-29
Richmond,2022,5,Gold Coast,17,L,46,6.0,3.0,3.0,9,,,,2.0,5.0,,,1.0,,1.0,,3.0,4.0,1.0,,4,,,94,2022-06-21
Richmond,2022,6,North Melbourne,18,L,46,10.0,3.0,2.0,12,1.0,,,3.0,4.0,3.0,,1.0,2.0,,,3.0,7.0,,,6,,1.0,98,2022-06-28
Richmond,2022,7↓,Fremantle,19,D,46,11.0,6.0,2.0,13,,,,1.0,8.0,1.0,,,2.0,,,3.0,10.0,,1.0,8,,,82,2022-07-05
Richmond,2022,8,Brisbane Lions,20,W,46,3.0,1.0,2.0,5,,,4.0,2.0,2.0,,1.0,3.0,,3.0,,2.0,3.0,,,8,,,71,2022-07-12
Richmond,2022,9,Port Adelaide,21,W,46,6.0,5.0,1.0,7,,,10.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,,6.0,2.0,3.0,1.0,4,,,64,2022-07-19
Richmond,2022,10,Hawthorn,22,W,46,3.0,3.0,5.0,8,1.0,,13.0,3.0,,4.0,2.0,2.0,,,,3.0,5.0,,1.0,5,,,70,2022-07-26
Richmond,2022,11,Essendon,23,W,46,2.0,2.0,6.0,8,1.0,,6.0,3.0,,1.0,1.0,1.0,2.0,,,7.0,3.0,,,3,,1.0,72,2022-08-02
Richmond,2022,12,Brisbane Lions,EF,L,46,3.0,3.0,5.0,8,,,14.0,4.0,1.0,1.0,2.0,3.0,1.0,,,7.0,1.0,3.0,,1,,,46,2022-03-01
Richmond,2023,13,Carlton,1,D,46,5.0,4.0,4.0,9,,,5.0,1.0,1.0,1.0,3.0,1.0,1.0,,,5.0,5.0,,1.0,4,,,80,2023-03-01
Richmond,2023,14,Sydney,5,L,46,6.0,4.0,9.0,15,,,15.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,,6.0,10.0,1.0,,3,,,85,2023-03-29
Richmond,2023,15↓,Melbourne,6,L,46,1.0,1.0,5.0,6,,1.0,7.0,3.0,,1.0,,2.0,1.0,1.0,,6.0,1.0,1.0,,6,,,64,2023-04-05
Richmond,2023,16,Gold Coast,7,L,46,,1.0,2.0,2,,,3.0,4.0,,1.0,,,,,,1.0,1.0,,,3,,,72,2023-04-12
Richmond,2023,17,West Coast,8,W,46,8.0,6.0,5.0,13,1.0,,20.0,2.0,1.0,2.0,1.0,3.0,1.0,,,3.0,10.0,1.0,1.0,3,,,76,2023-04-19
Richmond,2023,18,Geelong,9,W,46,3.0,1.0,3.0,6,,,9.0,4.0,2.0,1.0,1.0,3.0,,,,5.0,3.0,,,8,1.0,,71,2023-04-26
Richmond,2023,19,Port Adelaide,11,L,46,2.0,,3.0,5,,,4.0,2.0,,3.0,,3.0,,3.0,,6.0,,,,4,,2.0,82,2023-05-10
Richmond,2023,20,St Kilda,14,W,46,8.0,3.0,4.0,12,2.0,1.0,8.0,4.0,,1.0,2.0,,,,,5.0,7.0,,2.0,5,,1.0,86,2023-05-31
Richmond,2023,21,Brisbane Lions,16,L,46,3.0,3.0,1.0,4,,,,,,1.0,,2.0,,,,,4.0,,2.0,6,,2.0,83,2023-06-14
Richmond,2023,22,Sydney,17,W,46,5.0,3.0,3.0,8,1.0,1.0,16.0,1.0,,,,1.0,1.0,,,4.0,4.0,1.0,2.0,5,,,68,2023-06-21
Richmond,2023,23,West Coast,18,W,46,3.0,1.0,1.0,4,1.0,,18.0,1.0,,1.0,,2.0,2.0,,,2.0,4.0,,,2,,,73,2023-06-28
Richmond,2023,24,Hawthorn,19,W,46,2.0,2.0,3.0,5,1.0,,5.0,1.0,,,,,,,,4.0,1.0,2.0,2.0,3,,1.0,70,2023-07-05
Richmond,2023,25↓,Melbourne,20,L,46,3.0,2.0,3.0,6,,,5.0,3.0,,2.0,,1.0,,,,4.0,2.0,,,1,,,47,2023-07-12
Richmond,2024,26,Port Adelaide,3,L,46,10.0,5.0,1.0,11,,,,,6.0,,,3.0,,1.0,,3.0,6.0,1.0,,14,,,98,2024-03-15
Richmond,2024,27,Sydney,4,W,46,9.0,8.0,8.0,17,,,,4.0,3.0,,,3.0,,2.0,,5.0,12.0,1.0,,7,,,96,2024-03-22
Richmond,2024,28,St Kilda,5,L,46,7.0,3.0,3.0,10,,,,1.0,3.0,,,,,,,2.0,7.0,1.0,,6,,,85,2024-03-29
Richmond,2024,29,West Coast,6,L,46,14.0,12.0,5.0,19,,,,1.0,8.0,1.0,,2.0,,2.0,,3.0,14.0,1.0,,5,1.0,,94,2024-04-05
Richmond,2024,30,Melbourne,8,L,46,5.0,7.0,4.0,9,,,,5.0,2.0,1.0,,,1.0,,,2.0,9.0,,,7,1.0,,95,2024-04-19
Richmond,2024,31,Fremantle,9,L,46,8.0,3.0,3.0,11,,,,1.0,1.0,,,1.0,,1.0,,5.0,5.0,1.0,,12,,,97,2024-04-26
Richmond,2024,32,Western Bulldogs,10,L,46,9.0,5.0,3.0,12,,,,2.0,2.0,,,2.0,1.0,1.0,,3.0,8.0,,,6,,,97,2024-05-03
Richmond,2024,33,Brisbane Lions,11,L,46,10.0,8.0,1.0,11,,,,,4.0,,,2.0,,1.0,,2.0,9.0,1.0,,11,,,91,2024-05-10
Richmond,2024,34,Essendon,12,L,46,7.0,4.0,,7,,,,1.0,5.0,,,2.0,2.0,1.0,,2.0,4.0,,,13,,,94,2024-05-17
Richmond,2024,35,Geelong,13,L,46,3.0,3.0,3.0,6,,,,3.0,3.0,,,,,,,3.0,3.0,,,12,,,93,2024-05-24
Richmond,2024,36,Adelaide,14,W,46,9.0,7.0,8.0,17,,,,1.0,2.0,,,1.0,,,,3.0,13.0,1.0,,6,,,95,2024-05-31
Richmond,2024,37,Hawthorn,15,L,46,15.0,12.0,2.0,17,,,,1.0,3.0,3.0,1.0,4.0,1.0,3.0,,6.0,13.0,2.0,,7,,,95,2024-06-07
Richmond,2024,38,Carlton,17,L,46,9.0,6.0,5.0,14,,,,1.0,6.0,2.0,,1.0,1.0,,,5.0,9.0,1.0,,12,,,90,2024-06-21
Richmond,2024,39,Fremantle,18,L,46,12.0,4.0,5.0,17,,,,3.0,6.0,,,2.0,1.0,,,2.0,10.0,,,7,,,97,2024-06-28
Richmond,2024,40,Greater Western Sydney,19,L,46,7.0,5.0,1.0,8,,,,2.0,4.0,1.0,,1.0,,,,1.0,7.0,1.0,,4,,1.0,97,2024-07-05
Richmond,2024,41,Port Adelaide,20,L,46,7.0,2.0,4.0,11,,,,4.0,2.0,,,1.0,,,,2.0,6.0,,,9,,,93,2024-07-12
Richmond,2024,42,Collingwood,21,L,46,9.0,7.0,7.0,16,,,,1.0,3.0,1.0,,1.0,,1.0,,5.0,10.0,,,6,,,100,2024-07-19
Richmond,2024,43,North Melbourne,22,L,46,5.0,4.0,8.0,13,,,,,2.0,,,4.0,,2.0,,3.0,9.0,,,8,,,100,2024-07-26
Richmond,2024,44,St Kilda,23,L,46,8.0,4.0,2.0,10,,,,1.0,2.0,,,2.0,,2.0,,2.0,8.0,,,9,,,96,2024-08-02
Richmond,2024,45,Hawthorn,24,L,46,10.0,8.0,3.0,13,,,,,6.0,,,1.0,1.0,1.0,,2.0,11.0,,,3,,,100,2024-08-09
Richmond,2024,46,Gold Coast,25,L,46,5.0,3.0,4.0,9,,,,2.0,2.0,,,,,,,3.0,5.0,1.0,,5,1.0,,93,2024-08-16
Richmond,2025,47,Carlton,2,W,12,10.0,6.0,3.0,13,,,,1.0,4.0,1.0,,,1.0,,,7.0,6.0,3.0,,6,,,100,2025-03-08
Richmond,2025,48,Port Adelaide,3,L,12,13.0,6.0,6.0,19,,,,,11.0,,,1.0,,,,4.0,9.0,,,9,,,92,2025-03-15
Richmond,2025,49,St Kilda,4,L,12,10.0,10.0,2.0,12,,,,2.0,2.0,1.0,,3.0,,2.0,,,12.0,,,8,,,95,2025-03-22
Richmond,2025,50,Brisbane Lions,5,L,12,8.0,9.0,2.0,10,,,,4.0,2.0,,,,,,,2.0,8.0,1.0,,6,,,93,2025-03-29
