team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2015,1,Melbourne,1,L,44,5,2.0,1,6,1.0,1.0,,4.0,,,,2.0,1.0,1.0,,2,4,,1.0,,,,73,2015-03-01
Gold Coast,2015,2,St Kilda,2,L,44,3,1.0,8,11,,,,4.0,,1.0,1.0,2.0,1.0,1.0,,6,5,,,2.0,,,77,2015-03-08
Gold Coast,2015,3,Geelong,3,L,44,12,6.0,6,18,1.0,2.0,,5.0,,3.0,,,,,,2,14,,1.0,,,1.0,82,2015-03-15
Gold Coast,2015,4,Greater Western Sydney,4,L,44,14,3.0,8,22,,1.0,,4.0,1.0,3.0,2.0,1.0,,,,10,11,,,1.0,,,79,2015-03-22
Gold Coast,2015,5,Brisbane Lions,5,W,44,7,1.0,14,21,,,,4.0,2.0,4.0,3.0,,,,,9,12,,,1.0,,2.0,83,2015-03-29
Gold Coast,2015,6,Adelaide,6,L,44,12,3.0,9,21,1.0,,,4.0,,5.0,2.0,3.0,2.0,1.0,,9,11,,,,,,91,2015-04-05
Gold Coast,2015,7,West Coast,7,L,44,9,1.0,12,21,,,,8.0,1.0,,3.0,3.0,,1.0,,11,11,,,4.0,1.0,,91,2015-04-12
Gold Coast,2015,8,Collingwood,8,L,44,8,2.0,7,15,,2.0,,7.0,,2.0,3.0,2.0,,,,6,9,,,1.0,,1.0,87,2015-04-19
Gold Coast,2015,9,Hawthorn,9,L,44,6,2.0,12,18,,,,3.0,1.0,2.0,4.0,2.0,,,,9,10,1.0,1.0,2.0,,1.0,87,2015-04-26
Gold Coast,2015,10,Sydney,10,L,44,13,,4,17,,,,6.0,,5.0,6.0,6.0,3.0,1.0,,10,5,,,1.0,,,77,2015-05-03
Gold Coast,2015,11,Fremantle,11,L,44,5,2.0,13,18,1.0,,,4.0,,,2.0,2.0,,,,12,6,,1.0,2.0,,,81,2015-05-10
Gold Coast,2015,12,Carlton,13,L,44,8,3.0,3,11,,,,6.0,1.0,3.0,2.0,4.0,,1.0,,7,4,,,1.0,,,83,2015-05-24
Gold Coast,2015,13,North Melbourne,14,W,44,9,6.0,11,20,,,,3.0,,6.0,,3.0,,1.0,,10,13,,,4.0,,2.0,84,2015-05-31
Gold Coast,2015,14,Western Bulldogs,15,L,44,7,,14,21,,1.0,,2.0,1.0,4.0,5.0,2.0,,,,12,8,,,,,1.0,85,2015-06-07
Gold Coast,2015,15,Greater Western Sydney,16,L,44,12,5.0,15,27,2.0,,,5.0,1.0,7.0,9.0,3.0,1.0,1.0,,18,9,,,1.0,,3.0,87,2015-06-14
Gold Coast,2015,16,Adelaide,17,L,44,7,1.0,6,13,,,,3.0,1.0,3.0,2.0,7.0,,3.0,,8,5,,,1.0,,3.0,84,2015-06-21
Gold Coast,2015,17,West Coast,18,D,44,8,1.0,13,21,,,,5.0,,4.0,7.0,2.0,2.0,,,11,10,,,4.0,,,84,2015-06-28
Gold Coast,2015,18,Brisbane Lions,19,W,44,8,2.0,9,17,1.0,1.0,,4.0,1.0,2.0,5.0,4.0,1.0,2.0,,10,7,,1.0,,,,82,2015-07-05
Gold Coast,2015,19,Richmond,20,L,44,8,3.0,1,9,,,1.0,5.0,2.0,3.0,3.0,1.0,2.0,,,5,5,,,2.0,1.0,,81,2015-07-12
Gold Coast,2015,20,Essendon,21,W,44,6,3.0,4,10,,,,10.0,,4.0,3.0,1.0,2.0,1.0,,6,6,,,1.0,,1.0,88,2015-07-19
Gold Coast,2015,21,Port Adelaide,22,L,44,7,1.0,11,18,,,1.0,9.0,1.0,3.0,4.0,4.0,1.0,3.0,,12,7,,,1.0,,,84,2015-07-26
Gold Coast,2015,22,Sydney,23,L,44,10,3.0,9,19,,,,6.0,1.0,4.0,6.0,6.0,,1.0,,9,10,,,1.0,,,84,2015-08-02
