team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2013,1↑,Essendon,10,W,6,12,6.0,6,18,1.0,2.0,,6.0,1.0,2.0,,1.0,,,,5.0,11,,,,,3.0,50,2013-05-03
Sydney,2013,2,Adelaide,11,W,6,18,5.0,13,31,1.0,2.0,,10.0,3.0,5.0,3.0,3.0,4.0,1.0,,14.0,17,,,,2.0,,72,2013-05-10
Sydney,2013,3,Port Adelaide,13,L,6,9,2.0,7,16,1.0,1.0,,7.0,2.0,,1.0,3.0,2.0,1.0,,8.0,7,,,,,,80,2013-05-24
Sydney,2013,4,Carlton,14,W,6,9,2.0,11,20,1.0,1.0,,6.0,2.0,3.0,2.0,2.0,3.0,,,13.0,8,,,,,,83,2013-05-31
Sydney,2013,5,Melbourne,15,W,6,12,2.0,15,27,1.0,2.0,,6.0,1.0,3.0,3.0,4.0,,,,10.0,16,,1.0,,1.0,1.0,84,2013-06-07
Sydney,2013,6,Greater Western Sydney,16,W,6,14,3.0,9,23,3.0,1.0,,6.0,,3.0,4.0,1.0,1.0,,2.0,10.0,11,1.0,2.0,,,1.0,85,2013-06-14
Sydney,2013,7,West Coast,17,W,6,9,3.0,9,18,,1.0,,5.0,1.0,6.0,1.0,2.0,2.0,1.0,,9.0,10,,,2.0,,1.0,74,2013-06-21
Sydney,2013,8,Richmond,18,W,6,13,6.0,13,26,2.0,2.0,,4.0,1.0,3.0,1.0,1.0,2.0,1.0,,6.0,21,,3.0,1.0,,1.0,79,2013-06-28
Sydney,2013,9,Western Bulldogs,19,W,6,6,3.0,13,19,,1.0,,2.0,,2.0,1.0,4.0,2.0,2.0,,11.0,8,,,1.0,2.0,,73,2013-07-05
Sydney,2013,10,Collingwood,20,L,6,7,2.0,9,16,,1.0,,7.0,1.0,1.0,,3.0,,,,6.0,10,,,,,,76,2013-07-12
Sydney,2013,11,Geelong,22,L,6,9,5.0,14,23,,2.0,,3.0,2.0,2.0,3.0,5.0,,1.0,,10.0,12,,1.0,2.0,,,79,2013-07-26
Sydney,2013,12,Hawthorn,23,L,6,7,2.0,8,15,1.0,,,2.0,1.0,1.0,,1.0,,1.0,,8.0,7,,,,,,83,2013-08-02
Sydney,2013,13,Hawthorn,QF,L,6,8,4.0,7,15,,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,,,8.0,7,,,1.0,,,73,2013-03-01
Sydney,2013,14,Carlton,SF,W,6,1,,2,3,,,,,,1.0,,2.0,,,,,3,,,,,1.0,13,2013-03-01
Sydney,2014,15,Greater Western Sydney,1,L,6,11,4.0,10,21,1.0,,,6.0,2.0,3.0,4.0,4.0,1.0,1.0,,9.0,12,,,1.0,,,77,2014-03-01
Sydney,2014,16,Collingwood,2,L,6,15,2.0,11,26,,1.0,,5.0,3.0,5.0,6.0,1.0,1.0,,,9.0,16,,,2.0,,,77,2014-03-08
Sydney,2014,17↓,Adelaide,3,W,6,4,3.0,5,9,1.0,,,1.0,,,,1.0,,,,5.0,4,1.0,,,,1.0,53,2014-03-15
Sydney,2014,18,North Melbourne,4,L,6,9,5.0,8,17,,,,3.0,1.0,3.0,2.0,2.0,,1.0,,8.0,9,1.0,3.0,,,1.0,78,2014-03-22
Sydney,2014,19,Western Bulldogs,22,W,6,8,3.0,15,23,,1.0,,6.0,1.0,5.0,7.0,3.0,1.0,1.0,,13.0,10,,1.0,,,,69,2014-07-26
Sydney,2014,20,Richmond,23,L,6,10,8.0,19,29,,,,13.0,1.0,3.0,6.0,3.0,,2.0,,13.0,16,,,,,,82,2014-08-02
Sydney,2015,21,Western Bulldogs,5,L,6,14,1.0,16,30,,1.0,,9.0,,2.0,5.0,3.0,3.0,,,22.0,8,,1.0,,,1.0,73,2015-03-29
Sydney,2015,22,Melbourne,6,W,6,12,4.0,16,28,,,,5.0,,,6.0,,1.0,,3.0,10.0,19,,1.0,,,,83,2015-04-05
Sydney,2015,23,Geelong,7,W,6,12,4.0,21,33,3.0,,,4.0,,7.0,5.0,3.0,,1.0,2.0,9.0,24,,2.0,,,3.0,78,2015-04-12
Sydney,2015,24,Hawthorn,8,W,6,11,5.0,14,25,,1.0,,5.0,1.0,2.0,2.0,1.0,1.0,1.0,,6.0,19,,,,,,85,2015-04-19
Sydney,2015,25,Carlton,9,W,6,12,4.0,16,28,,1.0,,8.0,2.0,2.0,5.0,3.0,,1.0,,9.0,18,,,,,1.0,79,2015-04-26
Sydney,2015,26,Gold Coast,10,W,6,11,6.0,22,33,1.0,,,8.0,1.0,4.0,8.0,4.0,1.0,1.0,2.0,15.0,20,,1.0,1.0,,,79,2015-05-03
Sydney,2015,27,North Melbourne,11,W,6,11,4.0,15,26,,,,7.0,,2.0,2.0,5.0,,1.0,,6.0,20,,,2.0,,1.0,75,2015-05-10
Sydney,2015,28↓,Richmond,13,L,6,3,1.0,7,10,1.0,,,4.0,1.0,,2.0,2.0,,,,4.0,6,,,,,,64,2015-05-24
Sydney,2015,29,Port Adelaide,14,W,6,14,4.0,8,22,,,,9.0,1.0,3.0,4.0,3.0,2.0,1.0,,5.0,18,,,1.0,1.0,1.0,91,2015-05-31
Sydney,2015,30,Brisbane Lions,15,W,6,8,3.0,19,27,,,,7.0,2.0,3.0,6.0,4.0,,2.0,,13.0,13,,,,,1.0,80,2015-06-07
Sydney,2015,31,Hawthorn,16,L,6,10,3.0,13,23,,,,6.0,,4.0,1.0,3.0,1.0,1.0,,7.0,16,,,1.0,,,78,2015-06-14
Sydney,2015,32↑,West Coast,17,L,6,1,,9,10,,,,5.0,,,3.0,,,,,7.0,3,,,,,,23,2015-06-21
Sydney,2015,33,Adelaide,18,W,6,10,5.0,27,37,,,,8.0,1.0,3.0,8.0,1.0,1.0,,,12.0,25,,,1.0,,1.0,87,2015-06-28
