team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2025,1↑,Richmond,3,W,31,8,6,9.0,17,,,,,1.0,4.0,,,,,,3.0,13,,,1.0,,1.0,65,2025-03-15
Port Adelaide,2025,2,Essendon,4,L,31,13,7,14.0,27,,,,1.0,4.0,4.0,1.0,1.0,1.0,,,5.0,22,1.0,,,,2.0,84,2025-03-22
Port Adelaide,2025,3,St Kilda,5,L,31,8,4,6.0,14,,1.0,,1.0,3.0,3.0,,2.0,1.0,,,4.0,10,,,,,,72,2025-03-29
Port Adelaide,2025,4,Hawthorn,6,W,31,6,1,6.0,12,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,3.0,8,,,,,,69,2025-04-05
Port Adelaide,2025,5,Sydney,7,W,31,3,1,7.0,10,,,,1.0,1.0,,1.0,2.0,,,,3.0,7,,,,,,68,2025-04-12
Port Adelaide,2025,6,North Melbourne,8,W,31,2,2,8.0,10,,,,6.0,1.0,1.0,,2.0,,1.0,,4.0,6,,,,,1.0,81,2025-04-19
Port Adelaide,2025,7↑,Adelaide,10,L,31,1,2,4.0,5,,,,2.0,,,,,,,,2.0,3,,1.0,,1.0,,26,2025-05-03
Port Adelaide,2025,8↑,Geelong,11,L,31,8,5,10.0,18,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,3.0,15,,1.0,,,1.0,87,2025-05-10
Port Adelaide,2025,9,Fremantle,12,L,31,7,4,7.0,14,,,,5.0,1.0,4.0,,1.0,,,,2.0,10,,,1.0,,1.0,79,2025-05-17
Port Adelaide,2025,10↑,Greater Western Sydney,14,W,31,1,1,,1,1.0,,,,,,,,,,,,1,,1.0,,,,15,2025-05-31
Port Adelaide,2025,11,Sydney,16,L,31,5,2,6.0,11,,,,2.0,,1.0,,,1.0,,,3.0,8,,1.0,,,,71,2025-06-14
Port Adelaide,2025,12↑,Fremantle,23,L,31,,,1,1,,,,1,,,,,,,,1,,,,,,,17,2025-08-02
