team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2024,1↑,Gold Coast,9,W,13,4.0,2.0,1.0,5,1.0,3.0,,1.0,,,,,,,,2.0,3.0,1.0,2.0,,,,57,2024-04-26
Brisbane Lions,2024,2,Adelaide,10,D,13,3.0,,,3,2.0,1.0,,,,1.0,,1.0,1.0,1.0,,4.0,,,,1.0,,,68,2024-05-03
Brisbane Lions,2024,3,Richmond,11,W,13,7.0,3.0,2.0,9,2.0,1.0,,1.0,,1.0,,,3.0,,,6.0,3.0,1.0,1.0,1.0,,2.0,80,2024-05-10
Brisbane Lions,2024,4,Hawthorn,12,L,13,7.0,6.0,2.0,9,2.0,,,2.0,,2.0,,,,,,4.0,5.0,2.0,3.0,,,,71,2024-05-17
Brisbane Lions,2024,5,Western Bulldogs,14,W,13,10.0,5.0,2.0,12,1.0,1.0,,1.0,,3.0,,2.0,,,,7.0,6.0,1.0,3.0,1.0,,2.0,57,2024-05-31
Brisbane Lions,2024,6,St Kilda,15,W,13,7.0,4.0,1.0,8,3.0,,,,1.0,2.0,,4.0,1.0,1.0,,3.0,6.0,,1.0,1.0,,,72,2024-06-07
Brisbane Lions,2024,7,Port Adelaide,16,W,13,6.0,3.0,3.0,9,2.0,,,2.0,,3.0,,2.0,1.0,1.0,,6.0,5.0,,1.0,,,1.0,72,2024-06-14
Brisbane Lions,2024,8↓,Melbourne,17,W,13,1.0,1.0,,1,,,,,,1.0,,,,,,,1.0,,,,,,43,2024-06-21
Brisbane Lions,2024,9↑,Adelaide,18,W,13,5.0,3.0,2.0,7,1.0,,,,,3.0,,,,,,4.0,3.0,,1.0,1.0,2.0,,52,2024-06-28
Brisbane Lions,2024,10↓,West Coast,19,W,13,4.0,2.0,5.0,9,,,,,1.0,2.0,,,,,,5.0,4.0,,,,,,57,2024-07-05
Brisbane Lions,2024,11,Gold Coast,21,W,13,10.0,5.0,5.0,15,,3.0,,,,3.0,,,1.0,,,4.0,11.0,1.0,1.0,1.0,,1.0,77,2024-07-19
Brisbane Lions,2024,12,St Kilda,22,W,13,5.0,3.0,3.0,8,2.0,,,,,1.0,,,1.0,,,5.0,3.0,1.0,1.0,1.0,,,74,2024-07-26
Brisbane Lions,2024,13,Greater Western Sydney,23,L,13,6.0,4.0,2.0,8,1.0,1.0,,2.0,,1.0,,3.0,1.0,2.0,,5.0,4.0,2.0,1.0,1.0,,,73,2024-08-02
Brisbane Lions,2024,14,Collingwood,24,L,13,6.0,5.0,4.0,10,,,,2.0,,2.0,,1.0,,,,,10.0,,2.0,2.0,,,74,2024-08-09
Brisbane Lions,2024,15,Essendon,25,W,13,10.0,5.0,2.0,12,1.0,2.0,,,,,1.0,2.0,2.0,1.0,,5.0,6.0,1.0,2.0,1.0,,,69,2024-08-16
Brisbane Lions,2024,16,Carlton,EF,W,13,8.0,4.0,4.0,12,2.0,2.0,,,,,1.0,2.0,,2.0,,5.0,8.0,2.0,4.0,2.0,,1.0,71,2024-03-01
Brisbane Lions,2024,17↓,Greater Western Sydney,SF,W,13,,,2.0,2,,,,,,,,,,,,1.0,1.0,,,1.0,,,41,2024-03-01
Brisbane Lions,2024,18,Geelong,PF,W,13,6.0,5.0,,6,2.0,,,,,2.0,,3.0,,1.0,,3.0,4.0,2.0,2.0,,,,64,2024-03-01
Brisbane Lions,2024,19↓,Sydney,GF,W,13,8.0,6.0,2.0,10,2.0,1.0,,1.0,,2.0,,,1.0,,,5.0,5.0,2.0,3.0,,,1.0,66,2024-03-01
Brisbane Lions,2025,20,Sydney,2,W,13,5.0,1.0,,5,1.0,1.0,,3.0,,2.0,,,1.0,,,3.0,2.0,,1.0,1.0,1.0,,77,2025-03-08
Brisbane Lions,2025,21,West Coast,3,W,13,6,4,2,8,3,,,2,,1,,3,1,,,3,5,1,2,,,,80,2025-03-15
Brisbane Lions,2025,22,Geelong,4,W,13,4,2,6,10,1,,,5,,1,,2,1,,,4,6,,1,1,,,75,2025-03-22
Brisbane Lions,2025,23↓,Richmond,5,W,13,7,6,4,11,2,1,,2,,3,,4,1,1,,5,7,2,4,1,,1,60,2025-03-29
