team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2023,1,St Kilda,4,L,49,4.0,,1,5,,,35,7.0,2.0,1.0,2.0,1.0,,1.0,,3,1,,,1.0,,,77,2023-03-22
Gold Coast,2023,2,Fremantle,5,L,49,2.0,,2,4,,,18,3.0,,1.0,1.0,2.0,,2.0,,4,1,,,2.0,,,78,2023-03-29
Gold Coast,2024,3,Western Bulldogs,3,L,49,9.0,2.0,5,14,1.0,,25,2.0,2.0,2.0,4.0,2.0,2.0,1.0,,11,3,1.0,,3.0,,,68,2024-03-15
Gold Coast,2024,4,Geelong,11,W,49,4.0,1.0,12,16,,,42,5.0,2.0,2.0,6.0,6.0,,6.0,,17,2,1.0,,4.0,,,83,2024-05-10
Gold Coast,2024,5,Essendon,13,W,49,6.0,2.0,11,17,,,26,1.0,,3.0,3.0,3.0,,,,11,6,,,5.0,,,81,2024-05-24
Gold Coast,2024,6,St Kilda,14,L,49,5.0,3.0,4,9,,,32,3.0,,2.0,4.0,2.0,1.0,1.0,,8,1,3.0,,3.0,,,82,2024-05-31
Gold Coast,2024,7,North Melbourne,18,L,49,7.0,4.0,11,18,,,26,6.0,1.0,4.0,6.0,7.0,3.0,3.0,,13,4,2.0,,3.0,,1.0,81,2024-06-28
Gold Coast,2024,8,Port Adelaide,19,W,49,9.0,3.0,5,14,,,30,2.0,1.0,6.0,3.0,3.0,4.0,1.0,,11,4,2.0,,2.0,,,86,2024-07-05
Gold Coast,2024,9,Greater Western Sydney,20,L,49,10.0,4.0,6,16,,,36,1.0,,4.0,7.0,3.0,1.0,1.0,,7,8,1.0,,4.0,,,85,2024-07-12
Gold Coast,2024,10↓,Brisbane Lions,21,L,49,1.0,2.0,3,4,,,10,3.0,1.0,1.0,1.0,2.0,,2.0,,4,1,1.0,,3.0,,,57,2024-07-19
Gold Coast,2025,11↓,Hawthorn,11,W,21,1.0,1.0,3,4,,,13,1.0,1.0,,,,1.0,,,3,1,,,1.0,,,46,2025-05-10
Gold Coast,2025,12,Fremantle,13,L,21,1.0,1.0,2,3,,,15,2.0,,2.0,,,2.0,,,2,1,1.0,,5.0,,,54,2025-05-24
Gold Coast,2025,13,Essendon,18,W,21,5.0,4.0,4,9,1.0,1.0,35,3.0,,2.0,1.0,1.0,1.0,,,6,4,2.0,2.0,,,1.0,83,2025-06-28
Gold Coast,2026,14,Greater Western Sydney,9,W,23,4.0,4.0,4,8,,,34,3.0,1.0,,,,,,,2,6,1.0,,2.0,,,80,2026-04-26
Gold Coast,2026,15,St Kilda,10,W,23,7.0,3.0,4,11,,1.0,21,2.0,,2.0,1.0,5.0,3.0,2.0,,8,4,2.0,,3.0,,,89,2026-05-03
Gold Coast,2026,16,Port Adelaide,11,W,23,8.0,2.0,6,14,3.0,,13,2.0,,4.0,1.0,2.0,1.0,1.0,,10,3,2.0,1.0,7.0,,,82,2026-05-10
Gold Coast,2026,17,North Melbourne,12,L,23,4.0,3.0,4,8,1.0,1.0,27,3.0,,1.0,,3.0,,1.0,,5,2,1.0,2.0,3.0,,,68,2026-05-17
Gold Coast,2026,18,Brisbane Lions,14,L,23,5.0,3.0,4,9,,,21,4.0,1.0,3.0,3.0,1.0,2.0,,,8,2,2.0,,2.0,,1.0,76,2026-05-31
Gold Coast,2026,19,Geelong,15,L,23,6.0,,8,14,,,43,2.0,1.0,3.0,2.0,3.0,1.0,,,10,2,,,2.0,,,84,2026-06-07
Gold Coast,2026,20,Hawthorn,16,L,23,5.0,2.0,2,7,,,20,2.0,,1.0,2.0,2.0,,1.0,,4,3,,,5.0,,,74,2026-06-14
Gold Coast,2026,21,Fremantle,17,L,23,,1.0,3,3,,,24,1.0,,,2.0,,2.0,,,3,1,,,2.0,,,56,2026-06-21
Gold Coast,2026,22,Collingwood,18,L,23,10.0,3.0,4,14,,,49,,2.0,7.0,4.0,1.0,2.0,,,9,6,1.0,,4.0,,1.0,87,2026-06-28
Gold Coast,2026,23,Adelaide,19,L,23,6.0,1.0,7,13,,,58,1.0,3.0,3.0,7.0,2.0,2.0,2.0,,7,6,1.0,,4.0,,,83,2026-07-11
Gold Coast,2026,24,Western Bulldogs,20,L,23,2.0,2.0,9,11,,,43,2.0,1.0,2.0,4.0,,1.0,,,9,4,,,6.0,,,83,2026-07-19
