team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2018,1,Essendon,1,L,44,4.0,1.0,2.0,6.0,1.0,1.0,,2.0,,,,,,,,3.0,3.0,,,1.0,,,75,2018-03-01
Adelaide,2018,2,Richmond,2,W,44,8.0,2.0,2.0,10.0,2.0,2.0,,3.0,2.0,4.0,1.0,,1.0,,,6.0,6.0,,,,1.0,1.0,87,2018-03-08
Adelaide,2018,3,St Kilda,3,W,44,7.0,5.0,5.0,12.0,,1.0,,6.0,,4.0,1.0,2.0,1.0,2.0,,6.0,7.0,,1.0,,1.0,,85,2018-03-15
Adelaide,2018,4,Western Bulldogs,9,W,44,6.0,,2.0,8.0,1.0,1.0,,6.0,,,1.0,2.0,1.0,1.0,,6.0,3.0,,,1.0,,,75,2018-04-26
Adelaide,2018,5,Greater Western Sydney,11,L,44,6.0,1.0,3.0,9.0,1.0,,,1.0,,3.0,1.0,4.0,1.0,1.0,,3.0,6.0,,,,,1.0,79,2018-05-10
Adelaide,2018,6,Fremantle,12,L,44,8.0,3.0,4.0,12.0,,,,4.0,,2.0,,5.0,1.0,1.0,,5.0,7.0,,,1.0,2.0,,71,2018-05-17
Adelaide,2018,7,Geelong,17,W,44,7.0,2.0,4.0,11.0,3.0,,,3.0,1.0,2.0,1.0,3.0,2.0,2.0,,7.0,6.0,1.0,,1.0,1.0,,75,2018-06-21
Adelaide,2018,8,Brisbane Lions,18,W,44,,1.0,4.0,4.0,,,,6.0,,,,,,,,1.0,3.0,,,,,,56,2018-06-28
Adelaide,2018,9,Melbourne,19,L,44,5.0,3.0,5.0,10.0,1.0,1.0,,5.0,,1.0,,,2.0,,,7.0,3.0,1.0,2.0,2.0,,,81,2018-07-05
Adelaide,2018,10,Port Adelaide,20,W,44,4.0,,3.0,7.0,1.0,1.0,,2.0,,,,3.0,1.0,1.0,,4.0,3.0,,,,,,73,2018-07-12
Adelaide,2018,11,Greater Western Sydney,21,L,44,5.0,2.0,2.0,7.0,2.0,1.0,,3.0,,2.0,,1.0,1.0,,,4.0,4.0,,1.0,,1.0,,79,2018-07-19
Adelaide,2019,12,Hawthorn,1,L,44,5.0,2.0,6.0,11.0,,,,1.0,,4.0,1.0,1.0,1.0,,,3.0,8.0,,1.0,,,2.0,76,2019-03-01
Adelaide,2019,13,Sydney,2,W,44,9.0,5.0,8.0,17.0,,,,3.0,2.0,5.0,2.0,2.0,,1.0,,7.0,9.0,,,1.0,,,78,2019-03-08
Adelaide,2019,14,Geelong,3,L,44,5.0,4.0,10.0,15.0,1.0,,,3.0,1.0,2.0,2.0,,1.0,,,8.0,7.0,,,1.0,,1.0,74,2019-03-15
Adelaide,2019,15,North Melbourne,4,L,44,7.0,1.0,3.0,10.0,,1.0,,2.0,,,,4.0,1.0,1.0,,6.0,6.0,1.0,,1.0,,,80,2019-03-22
Adelaide,2019,16,Gold Coast,5,W,44,8.0,4.0,6.0,14.0,3.0,,,5.0,,3.0,,1.0,,,,9.0,5.0,2.0,2.0,2.0,,,79,2019-03-29
Adelaide,2019,17,St Kilda,6,W,44,5.0,3.0,2.0,7.0,3.0,,,3.0,,,1.0,4.0,1.0,3.0,,3.0,5.0,,3.0,3.0,,,81,2019-04-05
Adelaide,2019,18,Fremantle,7,W,44,8.0,3.0,2.0,10.0,1.0,1.0,,1.0,,1.0,,,3.0,,,5.0,5.0,,1.0,1.0,,1.0,72,2019-04-12
Adelaide,2019,19,Port Adelaide,8,W,44,6.0,3.0,5.0,11.0,1.0,1.0,,11.0,,2.0,,3.0,1.0,1.0,,5.0,6.0,,,2.0,,2.0,88,2019-04-19
Adelaide,2019,20,Brisbane Lions,9,L,44,11.0,3.0,6.0,17.0,1.0,3.0,,3.0,,2.0,,3.0,3.0,1.0,,9.0,8.0,,1.0,3.0,,2.0,85,2019-04-26
Adelaide,2019,21,West Coast,10,L,44,7.0,1.0,5.0,12.0,1.0,2.0,,4.0,,2.0,,2.0,2.0,1.0,,8.0,5.0,,,1.0,,,84,2019-05-03
Adelaide,2019,22,Melbourne,11,W,44,3.0,1.0,1.0,4.0,1.0,,,1.0,,2.0,,1.0,1.0,1.0,,2.0,2.0,,,,,,80,2019-05-10
Adelaide,2019,23,Greater Western Sydney,12,W,44,10.0,,3.0,13.0,1.0,1.0,,2.0,,5.0,,3.0,5.0,,,11.0,3.0,,,3.0,,,78,2019-05-17
Adelaide,2019,24,Richmond,13,W,44,,,,,,,,1.0,,,,,,,,,,,,,,,5,2019-05-24
Adelaide,2019,25,Geelong,15,L,44,5.0,4.0,5.0,10.0,1.0,,,6.0,,2.0,,1.0,1.0,,,3.0,8.0,1.0,1.0,,,,80,2019-06-07
Adelaide,2019,26,Port Adelaide,16,L,44,7.0,4.0,2.0,9.0,,1.0,,2.0,1.0,3.0,,4.0,1.0,,,4.0,6.0,,1.0,,,1.0,87,2019-06-14
Adelaide,2019,27,Gold Coast,17,W,44,10.0,5.0,5.0,15.0,2.0,,,4.0,,5.0,,1.0,2.0,,,5.0,10.0,,,,3.0,1.0,81,2019-06-21
Adelaide,2019,28,Essendon,18,L,44,7.0,7.0,4.0,11.0,,1.0,,1.0,,4.0,,,1.0,,,3.0,7.0,,2.0,,,,78,2019-06-28
Adelaide,2019,29,Carlton,19,L,44,5.0,3.0,5.0,10.0,1.0,,,7.0,,3.0,,1.0,3.0,,,3.0,7.0,,,,,1.0,86,2019-07-05
