team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2026,1,Collingwood,2,W,39,1.0,1.0,1,2,,,7,2.0,,,,2,,,,1,1,,,1.0,,,32,2026-03-08
Adelaide,2026,2,Brisbane Lions,8,L,39,9.0,5.0,2,11,,,6,,1.0,,,2,2.0,,,4,7,,2.0,1.0,,,58,2026-04-19
Adelaide,2026,3,Port Adelaide,9,W,39,9.0,9.0,1,10,2.0,,3,1.0,,3.0,,2,1.0,1.0,,2,8,1.0,2.0,3.0,,,68,2026-04-26
Adelaide,2026,4,Richmond,10,W,39,7.0,2.0,2,9,1.0,1.0,4,6.0,,1.0,2.0,1,6.0,1.0,,7,4,,,5.0,,1.0,68,2026-05-03
Adelaide,2026,5,North Melbourne,11,W,39,9.0,6.0,5,14,2.0,2.0,13,2.0,1.0,2.0,3.0,1,1.0,,,6,8,1.0,2.0,2.0,,1.0,72,2026-05-10
Adelaide,2026,6,Hawthorn,12,L,39,,,2,2,,,2,,,,,2,,1.0,,1,1,,,,,,69,2026-05-17
Adelaide,2026,7,Geelong,14,W,39,5.0,2.0,1,6,,,10,2.0,1.0,2.0,,4,1.0,3.0,,4,3,1.0,,,,,43,2026-05-31
Adelaide,2026,8,Western Bulldogs,15,W,39,4.0,2.0,2,6,1.0,2.0,13,4.0,,,1.0,3,1.0,2.0,,4,3,1.0,2.0,2.0,,,63,2026-06-07
Adelaide,2026,9,West Coast,18,W,39,5.0,2.0,1,6,1.0,,11,4.0,,3.0,1.0,3,2.0,2.0,,5,2,1.0,,2.0,,1.0,54,2026-06-28
Adelaide,2026,10,Gold Coast,19,W,39,2,1,2,4,,,18,3,1,2,1,1,1,1,,3,1,,,5,,,45,2026-07-05
