team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2018,1,Western Bulldogs,15,L,19,9.0,4.0,5.0,14.0,2.0,1.0,,6.0,1.0,5.0,2.0,1.0,2.0,,,4.0,10.0,,1.0,,,,69.0,2018-06-07
Geelong,2018,2,Sydney,16,W,19,4.0,,8.0,12.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,4.0,7.0,,,,,,80.0,2018-06-14
Geelong,2018,3,Adelaide,17,L,19,7.0,3.0,8.0,15.0,1.0,,,1.0,1.0,3.0,2.0,1.0,1.0,,,6.0,9.0,,,,1.0,1.0,75.0,2018-06-21
Geelong,2018,4,Melbourne,18,W,19,3.0,2.0,4.0,7.0,,,,3.0,1.0,1.0,1.0,1.0,,1.0,,3.0,5.0,,,,,,66.0,2018-06-28
Geelong,2018,5,Brisbane Lions,19,W,19,4.0,3.0,8.0,12.0,,,,1.0,,2.0,1.0,,,,,2.0,10.0,,,1.0,,1.0,80.0,2018-07-05
Geelong,2018,6,Hawthorn,21,L,19,4.0,1.0,9.0,13.0,1.0,,,2.0,1.0,,2.0,2.0,,,,8.0,5.0,,,,,,66.0,2018-07-19
Geelong,2019,7,North Melbourne,21,W,19,11.0,3.0,10.0,21.0,2.0,2.0,,4.0,1.0,3.0,6.0,,1.0,,,9.0,13.0,,1.0,1.0,,1.0,63.0,2019-07-19
Geelong,2019,8,Brisbane Lions,22,L,19,7.0,1.0,7.0,14.0,1.0,,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,4.0,10.0,,,2.0,,,63.0,2019-07-26
Geelong,2019,9,Carlton,23,W,19,19.0,3.0,8.0,27.0,1.0,2.0,,5.0,3.0,5.0,8.0,1.0,1.0,,,11.0,15.0,,2.0,1.0,2.0,1.0,81.0,2019-08-02
Geelong,2019,10,Collingwood,QF,L,19,7.0,2.0,6.0,13.0,,,,1.0,,4.0,2.0,3.0,2.0,1.0,,7.0,6.0,,,,,,63.0,2019-03-01
Geelong,2019,11,West Coast,SF,W,19,6.0,1.0,9.0,15.0,,,,4.0,1.0,2.0,1.0,1.0,,,,5.0,10.0,,,1.0,,,57.0,2019-03-01
Geelong,2019,12,Richmond,PF,L,19,9.0,4.0,4.0,13.0,1.0,,,2.0,1.0,2.0,2.0,3.0,,1.0,,5.0,8.0,,,,,1.0,58.0,2019-03-01
Geelong,2020,13,Greater Western Sydney,1,L,19,3.0,1.0,9.0,12.0,,,,5.0,1.0,1.0,2.0,3.0,,2.0,,6.0,7.0,,,1.0,,1.0,65.0,2020-03-01
Geelong,2020,14,Hawthorn,2,W,19,11.0,4.0,4.0,15.0,,,,6.0,,5.0,1.0,2.0,1.0,,,4.0,11.0,,1.0,,,,71.0,2020-03-08
Geelong,2020,15,Carlton,3,L,19,7.0,2.0,11.0,18.0,,,,4.0,1.0,3.0,2.0,3.0,2.0,1.0,,10.0,8.0,,,1.0,,1.0,75.0,2020-03-15
Geelong,2020,16,Gold Coast,5,W,19,6.0,2.0,5.0,11.0,,1.0,,2.0,2.0,3.0,4.0,3.0,1.0,1.0,,6.0,6.0,,,2.0,,,70.0,2020-03-29
Geelong,2020,17,Brisbane Lions,6,W,19,,,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,6.0,2020-04-05
Geelong,2021,18,Melbourne,4,L,19,5.0,4.0,11.0,16.0,,,,3.0,1.0,1.0,1.0,2.0,,,,6.0,10.0,,,,,,56.0,2021-03-22
