team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Hawthorn,2018,1,Geelong,21,W,45,2.0,1.0,3.0,5.0,,,,5.0,,,1.0,,1.0,,,5.0,1.0,,,3.0,,,81.0,2018-07-19
Hawthorn,2018,2,St Kilda,22,W,45,10.0,6.0,6.0,16.0,1.0,2.0,,7.0,1.0,3.0,,,3.0,,,7.0,9.0,,2.0,2.0,,1.0,78.0,2018-07-26
Hawthorn,2018,3,Sydney,23,W,45,4.0,2.0,8.0,12.0,,2.0,,4.0,,2.0,,3.0,,2.0,,7.0,4.0,1.0,1.0,3.0,,1.0,74.0,2018-08-02
Hawthorn,2018,4,Richmond,QF,L,45,3.0,1.0,2.0,5.0,1.0,,,1.0,1.0,1.0,,2.0,,1.0,,3.0,,1.0,1.0,,,,69.0,2018-03-01
Hawthorn,2018,5,Melbourne,SF,L,45,2.0,2.0,2.0,4.0,,,,3.0,,2.0,,3.0,,1.0,,2.0,3.0,,,5.0,,,64.0,2018-03-01
Hawthorn,2019,6,Adelaide,1,W,11,2.0,1.0,8.0,10.0,,1.0,,5.0,,2.0,1.0,1.0,,,,6.0,5.0,,,2.0,,3.0,88.0,2019-03-01
Hawthorn,2019,7,Western Bulldogs,2,L,11,2.0,2.0,6.0,8.0,,,,1.0,,,,4.0,,3.0,,3.0,6.0,,1.0,3.0,,2.0,88.0,2019-03-08
Hawthorn,2019,8,North Melbourne,3,W,11,9.0,4.0,2.0,11.0,1.0,,,1.0,,3.0,,2.0,2.0,,,6.0,6.0,,1.0,3.0,,,71.0,2019-03-15
Hawthorn,2019,9,St Kilda,4,L,11,4.0,1.0,5.0,9.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,7.0,3.0,1.0,1.0,5.0,,,78.0,2019-03-22
Hawthorn,2019,10,Geelong,5,L,11,,,2.0,2.0,,,,2.0,,,,1.0,,1.0,,1.0,1.0,,,2.0,,,80.0,2019-03-29
Hawthorn,2019,11,West Coast,15,L,11,4.0,,3.0,7.0,1.0,1.0,,4.0,,1.0,,1.0,2.0,,,7.0,,,,4.0,,,83.0,2019-06-07
Hawthorn,2019,12,Collingwood,16,W,11,,,9.0,9.0,,,,5.0,,,,1.0,1.0,1.0,,4.0,7.0,,,3.0,,1.0,80.0,2019-06-14
Hawthorn,2019,13,Fremantle,17,W,11,4.0,1.0,8.0,12.0,1.0,,,3.0,1.0,1.0,2.0,3.0,2.0,1.0,,9.0,2.0,,,3.0,,,83.0,2019-06-21
Hawthorn,2019,14,Geelong,18,W,11,3.0,2.0,2.0,5.0,,,,1.0,,3.0,,1.0,,1.0,,1.0,4.0,,,2.0,,1.0,84.0,2019-06-28
Hawthorn,2019,15,Brisbane Lions,19,L,11,8.0,3.0,4.0,12.0,2.0,1.0,,2.0,,,,2.0,1.0,,,2.0,8.0,,1.0,2.0,,,87.0,2019-07-05
Hawthorn,2019,16,North Melbourne,20,L,11,3.0,1.0,3.0,6.0,,,,5.0,,1.0,,2.0,,,,1.0,5.0,,,1.0,,,73.0,2019-07-12
Hawthorn,2019,17,Greater Western Sydney,21,W,11,5.0,4.0,11.0,16.0,1.0,,,2.0,,1.0,1.0,3.0,,,,6.0,10.0,1.0,1.0,5.0,,1.0,86.0,2019-07-19
Hawthorn,2019,18,Gold Coast,22,W,11,4.0,3.0,5.0,9.0,1.0,,,4.0,,,,2.0,,1.0,,8.0,1.0,3.0,1.0,3.0,,1.0,74.0,2019-07-26
Hawthorn,2019,19,West Coast,23,W,11,5.0,4.0,3.0,8.0,1.0,,,2.0,,,,5.0,,1.0,,5.0,5.0,,1.0,1.0,,,80.0,2019-08-02
Hawthorn,2020,20,Fremantle,11,L,11,8.0,4.0,3.0,11.0,,1.0,,,,2.0,,1.0,,1.0,,2.0,9.0,,,1.0,,1.0,85.0,2020-05-10
Hawthorn,2020,21,West Coast,12,L,11,3.0,1.0,2.0,5.0,,,,,,2.0,,1.0,,,,4.0,2.0,,,,,,72.0,2020-05-17
Hawthorn,2021,22,Melbourne,5,L,11,4.0,3.0,1.0,5.0,,,,1.0,,2.0,,1.0,,1.0,,1.0,3.0,,,2.0,,,76.0,2021-03-29
Hawthorn,2021,23,Essendon,14,L,11,,,,,,,,,,,,,,,,,,,,,,,,2021-05-31
Hawthorn,2021,24,Port Adelaide,16,L,11,4.0,2.0,4.0,8.0,,,,1.0,,1.0,4.0,2.0,,2.0,,4.0,3.0,,1.0,1.0,,,82.0,2021-06-14
Hawthorn,2021,25,Fremantle,17,L,11,8.0,4.0,8.0,16.0,,1.0,,2.0,1.0,5.0,2.0,4.0,,,,4.0,11.0,,,3.0,,,79.0,2021-06-21
Hawthorn,2021,26,Brisbane Lions,20,W,11,9.0,2.0,14.0,23.0,,,,9.0,2.0,2.0,7.0,4.0,1.0,1.0,,12.0,11.0,,,,1.0,,80.0,2021-07-12
Hawthorn,2021,27,Collingwood,21,W,11,10.0,5.0,10.0,20.0,1.0,,,6.0,1.0,3.0,4.0,1.0,1.0,,,6.0,14.0,,,2.0,,,77.0,2021-07-19
Hawthorn,2021,28,Western Bulldogs,22,W,11,5.0,2.0,9.0,14.0,,,,3.0,,1.0,3.0,8.0,,6.0,,8.0,7.0,1.0,1.0,1.0,,1.0,79.0,2021-07-26
Hawthorn,2021,29,Richmond,23,D,11,11.0,8.0,13.0,24.0,1.0,,,2.0,1.0,5.0,4.0,1.0,1.0,,,7.0,17.0,,,1.0,,,78.0,2021-08-02
Hawthorn,2022,30,North Melbourne,1,W,11,6.0,2.0,4.0,10.0,,,3.0,7.0,,2.0,3.0,1.0,1.0,1.0,,4.0,6.0,,,1.0,,,64.0,2022-03-01
