team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2012,1↑,St Kilda,4,W,27,,1.0,7,7,,,,,,,,,,,,4,3,,,,,,29,2012-03-22
Fremantle,2012,2↑,Carlton,5,L,27,4.0,2.0,4,8,,,,,1.0,2.0,,,,,,1,7,,1.0,,,1.0,33,2012-03-29
Fremantle,2012,3,Gold Coast,6,W,27,7.0,2.0,7,14,2.0,,,1.0,,2.0,,1.0,,,,4,8,,,1.0,,,72,2012-04-05
Fremantle,2012,4↓,Port Adelaide,7,W,27,7.0,2.0,3,10,,1.0,,4.0,,3.0,,1.0,1.0,1.0,,3,7,,,1.0,,,63,2012-04-12
Fremantle,2012,5,Hawthorn,8,L,27,5.0,3.0,16,21,1.0,,,,,1.0,2.0,1.0,,,,6,15,,,1.0,,,77,2012-04-19
Fremantle,2012,6,West Coast,9,L,27,6.0,,7,13,,,,6.0,,2.0,1.0,1.0,,1.0,,7,6,,,1.0,,,84,2012-04-26
Fremantle,2012,7,Adelaide,10,L,27,8.0,4.0,7,15,,,,1.0,3.0,1.0,1.0,1.0,,1.0,,9,7,,,4.0,,1.0,71,2012-05-03
Fremantle,2012,8,Richmond,11,W,27,5.0,,8,13,,,,7.0,1.0,1.0,1.0,3.0,,,,6,6,,,,,1.0,72,2012-05-10
Fremantle,2012,9,Essendon,13,L,27,4.0,2.0,10,14,,,,1.0,,2.0,1.0,,,,,8,6,,,2.0,,,73,2012-05-24
Fremantle,2012,10↓,Collingwood,14,L,27,2.0,1.0,2,4,,1.0,,3.0,,1.0,1.0,,,,,1,4,,,1.0,,,35,2012-05-31
Fremantle,2012,11↑,Adelaide,20,L,27,3.0,1.0,2,5,1.0,,,,,1.0,,1.0,,,,3,2,,1.0,,,1.0,42,2012-07-12
Fremantle,2013,12↑,Hawthorn,4,L,27,7.0,2.0,7,14,1.0,1.0,,1.0,,2.0,3.0,,1.0,,,7,7,,1.0,1.0,,1.0,51,2013-03-22
Fremantle,2013,13,Richmond,5,W,27,4.0,2.0,8,12,,,,,,2.0,3.0,3.0,,1.0,,6,7,,,1.0,,1.0,70,2013-03-29
Fremantle,2013,14,Richmond,17,L,27,9.0,4.0,12,21,,1.0,,1.0,1.0,,1.0,3.0,1.0,,,9,12,,1.0,,,,76,2013-06-21
Fremantle,2013,15,Adelaide,18,W,27,9.0,4.0,17,26,,,,1.0,,1.0,5.0,,2.0,,,11,16,1.0,,1.0,,,78,2013-06-28
Fremantle,2013,16,Carlton,19,W,27,13.0,3.0,11,24,2.0,,,2.0,2.0,3.0,,3.0,,1.0,,6,18,,1.0,,,,79,2013-07-05
