team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2022,1,Adelaide,11,W,33,3,2,4,7,,,3,3,,3,,1,1,1,,4,3,1,,2,,,82,2022-05-10
Geelong,2022,2↑,Port Adelaide,19,W,33,1,1,5,6,,,11,1,,,2,2,,1,,5,1,1,,2,,,30,2022-07-05
Geelong,2023,3,Collingwood,22,L,33,6,5,4,10,,2,12,3,,2,1,2,,,,5,4,2,2,2,,1,77,2023-07-26
Geelong,2023,4,St Kilda,23,L,33,,1,3,3,,,6,5,,,,2,,1,,2,1,1,,2,,,82,2023-08-02
Geelong,2023,5,Western Bulldogs,24,L,33,3,6,5,8,1,,1,1,,1,,2,,1,,8,3,4,3,2,,1,97,2023-08-09
Geelong,2024,6,North Melbourne,6,W,33,6,4,1,7,3,1,5,6,1,1,1,,,,,4,3,2,3,2,,,88,2024-04-05
Geelong,2024,7,Gold Coast,11,L,33,6,5,5,11,2,1,8,,1,2,2,7,,3,,4,7,,1,2,,1,89,2024-05-10
Geelong,2024,8,Greater Western Sydney,12,L,33,5,4,3,8,1,,7,3,,1,,3,1,1,,3,5,1,1,1,,1,71,2024-05-17
Geelong,2024,9,Richmond,13,W,33,9,7,3,12,2,,2,,,1,,5,,3,,2,10,,5,,,1,76,2024-05-24
Geelong,2024,10↓,Sydney,14,L,33,2,,1,3,1,,3,2,,,1,1,1,,,3,1,,,2,,,51,2024-05-31
Geelong,2024,11,Essendon,17,W,33,5,2,3,8,1,1,3,2,,1,,3,,1,,6,3,1,1,6,,,78,2024-06-21
Geelong,2024,12,Hawthorn,18,W,33,7,5,5,12,2,2,2,4,,1,1,1,2,,,6,5,1,5,2,,,89,2024-06-28
Geelong,2024,13↓,Collingwood,19,W,33,3,3,2,5,2,,3,2,,,,2,,,,3,2,1,1,,,,69,2024-07-05
Geelong,2024,14,North Melbourne,21,W,33,5,1,6,11,1,,8,4,,1,1,2,2,,,7,4,,1,,,1,79,2024-07-19
Geelong,2024,15,Adelaide,22,W,33,7,6,3,10,1,1,1,3,,1,,2,1,1,,6,6,2,2,1,,1,76,2024-07-26
Geelong,2024,16,Fremantle,23,W,33,5,2,3,8,2,1,4,1,,2,,3,1,2,,6,2,1,1,1,,,83,2024-08-02
Geelong,2024,17,St Kilda,24,L,33,6,4,4,10,1,1,1,1,,1,,2,,1,,4,6,2,2,1,,1,89,2024-08-09
Geelong,2024,18,West Coast,25,W,33,9,5,4,13,2,1,7,2,,2,1,3,3,1,,7,8,,3,2,,,87,2024-08-16
Geelong,2024,19,Port Adelaide,QF,W,33,8,9,1,9,2,2,,1,,3,,3,,2,,3,6,3,4,,,,76,2024-08-09
Geelong,2024,20,Brisbane Lions,PF,L,33,5,4,4,9,,,,,,2,,6,,1,,5,5,1,1,3,,,93,2024-08-23
Geelong,2025,21,Fremantle,2,W,33,7,5,2,9,1,1,6,3,,4,,3,1,3,,5,4,3,3,,1,4,84,2025-03-08
Geelong,2025,22,St Kilda,3,L,33,4,3,1,5,2,,4,5,,2,,3,1,1,,5,,3,1,1,,1,97,2025-03-15
Geelong,2025,23,Brisbane Lions,1,L,33,3,1,2,5,,,3,4,,2,,2,1,2,,4,2,,,3,,,88,2025-03-01
Geelong,2025,24,Melbourne,5,W,33,5,5,2,7,1,1,4,1,,1,,1,,,,2,5,1,5,4,,,86,2025-03-29
Geelong,2025,25,Adelaide,6,W,33,3,2,2,5,1,1,4,3,,1,1,,1,,,3,3,,1,2,,,72,2025-04-05
Geelong,2025,26,Hawthorn,7,W,33,3,5,5,8,,1,6,5,,3,,1,,,,3,5,3,1,2,,1,76,2025-04-12
Geelong,2025,27,Carlton,8,L,33,2,1,2,4,,1,3,,,1,,3,1,1,,2,2,,1,1,,,83,2025-04-19
Geelong,2025,28,Collingwood,9,W,33,7,4,1,8,1,1,3,2,,4,,3,1,,,5,3,3,1,,,,82,2025-04-26
Geelong,2025,29,Greater Western Sydney,10,L,33,5,6,3,8,1,2,6,1,,1,,1,,,,3,7,2,3,1,,,86,2025-05-03
Geelong,2025,30,Port Adelaide,11,W,33,6,5,5,11,1,1,17,3,,4,,4,,2,,3,8,,2,4,,1,90,2025-05-10
