team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2017,1,Western Bulldogs,2,L,28,6,4.0,10.0,16,1.0,,,6.0,1.0,3.0,,2.0,,1.0,,3.0,12,,1.0,2.0,,,72,2017-03-08
Sydney,2017,2,Collingwood,3,L,28,15,4.0,8.0,23,1.0,1.0,,4.0,4.0,2.0,,1.0,,1.0,,10.0,13,,,4.0,,,83,2017-03-15
Sydney,2017,3,West Coast,4,L,28,13,4.0,6.0,19,,,,2.0,5.0,1.0,3.0,,,,,9.0,9,,,3.0,,,71,2017-03-22
Sydney,2017,4,Carlton,6,L,28,11,4.0,8.0,19,,,,2.0,3.0,1.0,1.0,2.0,,1.0,,3.0,13,,,1.0,2.0,,75,2017-04-05
Sydney,2017,5,North Melbourne,8,W,28,19,11.0,16.0,35,,,,4.0,3.0,2.0,1.0,2.0,,1.0,,13.0,20,2.0,,4.0,,2.0,77,2017-04-19
Sydney,2017,6,St Kilda,9,W,28,24,7.0,6.0,30,1.0,,,1.0,7.0,2.0,,2.0,1.0,1.0,,7.0,20,,,3.0,,,82,2017-04-26
Sydney,2017,7,Hawthorn,10,L,28,13,4.0,5.0,18,,,,4.0,2.0,4.0,,3.0,1.0,,,2.0,15,,,3.0,,1.0,91,2017-05-03
Sydney,2017,8,Western Bulldogs,12,W,28,14,7.0,4.0,18,,,1.0,3.0,4.0,5.0,1.0,2.0,,,,4.0,14,1.0,,1.0,,2.0,70,2017-05-17
Sydney,2017,9,Richmond,13,W,28,19,4.0,7.0,26,,,,7.0,3.0,7.0,2.0,2.0,1.0,,,8.0,18,1.0,,1.0,,1.0,73,2017-05-24
Sydney,2017,10,Essendon,14,W,28,9,4.0,4.0,13,2.0,1.0,,5.0,1.0,1.0,2.0,1.0,1.0,1.0,,5.0,9,,,2.0,,,85,2017-05-31
Sydney,2017,11,Melbourne,15,W,28,19,8.0,6.0,25,,1.0,,5.0,1.0,3.0,1.0,5.0,2.0,,,7.0,17,,2.0,3.0,,,85,2017-06-07
Sydney,2017,12,Gold Coast,16,W,28,10,4.0,11.0,21,,2.0,,5.0,3.0,3.0,,3.0,1.0,1.0,,11.0,9,,1.0,1.0,,1.0,83,2017-06-14
Sydney,2017,13,Greater Western Sydney,17,W,28,9,3.0,7.0,16,,1.0,,4.0,4.0,2.0,,2.0,1.0,,,6.0,9,,,,,,71,2017-06-21
Sydney,2017,14,St Kilda,18,W,28,9,2.0,5.0,14,,,,4.0,2.0,4.0,,2.0,,1.0,,3.0,11,,,2.0,1.0,,83,2017-06-28
Sydney,2017,15,Hawthorn,19,L,28,14,7.0,15.0,29,,,,4.0,1.0,2.0,2.0,2.0,2.0,,,6.0,22,,,,,,85,2017-07-05
Sydney,2017,16,Geelong,20,W,28,9,3.0,10.0,19,1.0,,,7.0,2.0,,2.0,4.0,2.0,1.0,,7.0,12,,,1.0,,1.0,66,2017-07-12
Sydney,2017,17,Fremantle,21,W,28,9,3.0,3.0,12,,,,1.0,1.0,2.0,,5.0,,,,3.0,9,,,2.0,1.0,,42,2017-07-19
Sydney,2017,18,Carlton,23,W,28,16,5.0,5.0,21,1.0,,,3.0,4.0,5.0,1.0,5.0,,3.0,,5.0,13,,1.0,3.0,2.0,2.0,81,2017-08-02
Sydney,2017,19,Essendon,EF,W,28,11,5.0,4.0,15,,,,2.0,2.0,1.0,,3.0,1.0,1.0,,4.0,11,1.0,1.0,1.0,,,79,2017-03-01
Sydney,2017,20,Geelong,SF,L,28,11,2.0,6.0,17,,1.0,,2.0,3.0,2.0,2.0,1.0,2.0,1.0,,8.0,7,,,1.0,,,73,2017-03-01
Sydney,2018,21,West Coast,1,W,28,10,4.0,9.0,19,,,,2.0,3.0,3.0,1.0,6.0,2.0,1.0,,8.0,11,,,1.0,,,75,2018-03-01
Sydney,2018,22,Western Bulldogs,4,W,28,10,4.0,6.0,16,,,,1.0,5.0,3.0,,5.0,1.0,3.0,,7.0,10,,,2.0,,,69,2018-03-22
Sydney,2018,23,Carlton,11,W,28,8,1.0,3.0,11,,,,3.0,1.0,3.0,1.0,3.0,2.0,1.0,,3.0,9,,,,,1.0,74,2018-05-10
Sydney,2018,24,North Melbourne,17,W,28,12,4.0,4.0,16,,,,2.0,,6.0,,1.0,,,,5.0,11,,,,,1.0,72,2018-06-21
Sydney,2018,25,Gold Coast,18,L,28,12,6.0,8.0,20,,,,6.0,2.0,2.0,3.0,5.0,,1.0,,9.0,10,1.0,,4.0,,,74,2018-06-28
Sydney,2018,26,Essendon,19,L,28,9,4.0,5.0,14,1.0,,,3.0,6.0,,1.0,1.0,1.0,,,3.0,9,,,2.0,,,68,2018-07-05
Sydney,2018,27,Collingwood,20,W,28,15,12.0,9.0,24,,,,2.0,3.0,4.0,1.0,5.0,,1.0,,6.0,18,,,3.0,1.0,,75,2018-07-12
Sydney,2018,28,Melbourne,21,W,28,18,12.0,4.0,22,,,,5.0,6.0,2.0,,3.0,1.0,,,6.0,19,1.0,,4.0,,1.0,81,2018-07-19
Sydney,2018,29,Greater Western Sydney,22,W,28,9,3.0,11.0,20,,,,2.0,2.0,1.0,1.0,2.0,1.0,,,7.0,11,,,3.0,4.0,,79,2018-07-26
Sydney,2018,30,Hawthorn,23,L,28,12,6.0,4.0,16,,,,6.0,,2.0,2.0,2.0,1.0,,,3.0,11,,,1.0,,,64,2018-08-02
Sydney,2018,31,Greater Western Sydney,EF,L,28,12,4.0,3.0,15,,,,1.0,5.0,1.0,,1.0,,1.0,,2.0,11,,,3.0,,,76,2018-03-01
Carlton,2019,32,Richmond,1,L,24,21,9.0,5.0,26,1.0,,,2.0,12.0,2.0,1.0,2.0,1.0,,,5.0,17,,,3.0,,,84,2019-03-01
Carlton,2019,33,Port Adelaide,2,L,24,15,2.0,5.0,20,,,,2.0,8.0,3.0,,1.0,,1.0,,5.0,11,1.0,,3.0,,,88,2019-03-08
Carlton,2019,34,Sydney,3,L,24,15,5.0,5.0,20,,,,3.0,7.0,1.0,,4.0,2.0,,,5.0,12,,,,1.0,,84,2019-03-15
Carlton,2019,35,Gold Coast,4,L,24,15,9.0,4.0,19,,,,2.0,3.0,2.0,,4.0,,1.0,,5.0,15,2.0,,3.0,,,81,2019-03-22
Carlton,2019,36,Western Bulldogs,5,W,24,19,9.0,2.0,21,,,,2.0,10.0,2.0,,4.0,,2.0,,3.0,13,,,2.0,,1.0,79,2019-03-29
Carlton,2019,37,Hawthorn,6,L,24,13,5.0,4.0,17,,,,1.0,5.0,,,1.0,,,,3.0,8,,,3.0,,,65,2019-04-05
Carlton,2019,38,Greater Western Sydney,9,L,24,26,6.0,3.0,29,,,,3.0,12.0,1.0,,3.0,,,,4.0,14,,,,2.0,2.0,94,2019-04-26
Carlton,2019,39,St Kilda,10,L,24,18,9.0,2.0,20,1.0,,,1.0,4.0,4.0,2.0,4.0,1.0,2.0,,5.0,15,,,1.0,,,90,2019-05-03
Carlton,2019,40,Essendon,11,L,24,18,3.0,5.0,23,,1.0,,3.0,8.0,2.0,1.0,10.0,2.0,2.0,,7.0,12,,,3.0,,,91,2019-05-10
Carlton,2019,41,Brisbane Lions,12,W,24,12,5.0,3.0,15,,,,5.0,5.0,,1.0,2.0,1.0,1.0,,4.0,10,,,6.0,,,81,2019-05-17
Carlton,2019,42,Western Bulldogs,13,L,24,11,6.0,5.0,16,,,,1.0,4.0,,,,1.0,,,2.0,12,,,4.0,,1.0,85,2019-05-24
Carlton,2019,43,Fremantle,15,W,24,16,7.0,9.0,25,,,,4.0,5.0,6.0,,,1.0,,,9.0,12,1.0,,,,1.0,78,2019-06-07
