team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2016,1,Brisbane Lions,20,W,43,5.0,3.0,11,16,1.0,1.0,29,2.0,,1.0,4.0,4.0,,2.0,,9,8.0,2.0,1.0,3.0,,,78,2016-07-12
Adelaide,2016,2,Fremantle,21,W,43,4.0,1.0,8,12,,1.0,18,4.0,,1.0,3.0,2.0,1.0,1.0,,4,7.0,,1.0,,,,81,2016-07-19
Adelaide,2019,3,Geelong,3,L,43,5.0,3.0,6,11,,,28,3.0,1.0,1.0,6.0,4.0,2.0,3.0,,8,5.0,,,3.0,,,85,2019-03-15
Adelaide,2019,4,North Melbourne,4,L,43,10.0,6.0,6,16,,,14,5.0,2.0,2.0,3.0,5.0,2.0,4.0,,9,10.0,1.0,,,,,80,2019-03-22
Adelaide,2019,5,Gold Coast,5,W,43,2.0,4.0,10,12,,,34,2.0,,1.0,,4.0,3.0,2.0,,13,3.0,3.0,,5.0,,1.0,81,2019-03-29
Adelaide,2019,6,St Kilda,6,W,43,3.0,4.0,8,11,,,36,4.0,,1.0,3.0,3.0,1.0,3.0,,9,4.0,4.0,,3.0,,,83,2019-04-05
Adelaide,2019,7,Fremantle,7,W,43,7.0,5.0,15,22,,1.0,44,3.0,,2.0,4.0,2.0,,1.0,,13,9.0,3.0,1.0,3.0,,,85,2019-04-12
Adelaide,2019,8,Port Adelaide,8,W,43,6.0,,4,10,,,34,5.0,3.0,4.0,2.0,5.0,,2.0,,9,2.0,,,4.0,,,81,2019-04-19
Adelaide,2019,9,Brisbane Lions,9,L,43,4.0,2.0,9,13,,,37,3.0,1.0,,2.0,4.0,2.0,,,7,6.0,1.0,,3.0,,,88,2019-04-26
Adelaide,2019,10,West Coast,10,L,43,4.0,4.0,9,13,,,40,7.0,1.0,1.0,1.0,4.0,2.0,2.0,,9,5.0,2.0,,4.0,,1.0,83,2019-05-03
Adelaide,2019,11,Melbourne,11,W,43,3.0,1.0,4,7,,,34,3.0,1.0,1.0,2.0,4.0,,3.0,,4,2.0,1.0,,2.0,,,88,2019-05-10
Adelaide,2019,12,Greater Western Sydney,12,W,43,14.0,3.0,3,17,,1.0,29,3.0,1.0,6.0,9.0,3.0,2.0,,,12,5.0,1.0,,,,,88,2019-05-17
Adelaide,2019,13,Richmond,13,W,43,9.0,5.0,10,19,,,54,7.0,1.0,7.0,6.0,1.0,2.0,,2.0,10,8.0,1.0,,4.0,,,89,2019-05-24
Adelaide,2019,14,Geelong,15,L,43,11.0,2.0,7,18,1.0,,39,7.0,2.0,2.0,6.0,3.0,2.0,,,12,7.0,1.0,1.0,4.0,,,88,2019-06-07
Adelaide,2019,15,Port Adelaide,16,L,43,10.0,5.0,10,20,,,27,4.0,2.0,3.0,3.0,6.0,2.0,1.0,,12,8.0,1.0,,1.0,,,86,2019-06-14
Adelaide,2019,16,Gold Coast,17,W,43,8.0,1.0,11,19,1.0,,33,6.0,1.0,3.0,9.0,8.0,2.0,7.0,,11,5.0,,,,,,85,2019-06-21
Adelaide,2019,17,Essendon,18,L,43,12.0,3.0,15,27,,,39,4.0,2.0,2.0,7.0,1.0,4.0,,1.0,17,10.0,,,5.0,,,86,2019-06-28
Adelaide,2019,18,Carlton,19,L,43,10.0,8.0,10,20,,1.0,32,2.0,2.0,2.0,7.0,3.0,2.0,1.0,,15,6.0,4.0,,4.0,,,75,2019-07-05
Adelaide,2019,19,St Kilda,20,W,43,5.0,2.0,7,12,,,31,7.0,1.0,,3.0,4.0,2.0,2.0,,7,2.0,,1.0,1.0,,,84,2019-07-12
Adelaide,2019,20,Collingwood,22,L,43,3.0,2.0,6,9,,1.0,12,2.0,2.0,1.0,4.0,1.0,3.0,1.0,,8,3.0,1.0,1.0,3.0,,,75,2019-07-26
Adelaide,2020,21,Sydney,1,L,43,3.0,2.0,8,11,,,22,3.0,1.0,3.0,,3.0,1.0,2.0,,4,8.0,,,3.0,,2.0,81,2020-03-01
Adelaide,2020,22,Port Adelaide,2,L,43,6.0,6.0,10,16,,,28,6.0,4.0,,3.0,5.0,2.0,2.0,,9,7.0,3.0,,4.0,,,90,2020-03-08
Adelaide,2020,23,Gold Coast,3,L,43,5.0,3.0,6,11,,,37,6.0,1.0,1.0,,6.0,3.0,2.0,,6,6.0,1.0,,3.0,,,88,2020-03-15
Adelaide,2020,24,Brisbane Lions,4,L,43,3.0,2.0,6,9,,,20,5.0,,1.0,,2.0,,,,5,4.0,2.0,,,,,94,2020-03-22
Adelaide,2020,25,Fremantle,5,L,43,7.0,4.0,9,16,,,17,3.0,2.0,1.0,2.0,1.0,2.0,,,4,11.0,1.0,,,,,92,2020-03-29
Adelaide,2020,26,West Coast,6,L,43,10.0,9.0,9,19,,,13,7.0,2.0,,,1.0,,,,7,11.0,4.0,,1.0,,,90,2020-04-05
Adelaide,2020,27,St Kilda,7,L,43,5.0,4.0,9,14,,,26,3.0,1.0,2.0,4.0,,2.0,,,14,2.0,4.0,,8.0,,,97,2020-04-12
Adelaide,2020,28,Essendon,8,L,43,8.0,2.0,11,19,,,26,1.0,,1.0,4.0,7.0,,3.0,,13,4.0,1.0,,4.0,,,96,2020-04-19
Adelaide,2020,29,North Melbourne,9,L,43,5.0,2.0,7,12,,,17,8.0,1.0,2.0,2.0,2.0,3.0,2.0,,6,6.0,1.0,,1.0,,,78,2020-04-26
Adelaide,2020,30,Melbourne,10,L,43,6.0,2.0,3,9,,,25,2.0,,2.0,1.0,3.0,,1.0,,4,2.0,2.0,,3.0,,,86,2020-05-03
Adelaide,2020,31,Collingwood,11,L,43,4.0,3.0,7,11,,,22,2.0,,1.0,4.0,4.0,2.0,1.0,,9,2.0,2.0,,1.0,,,89,2020-05-10
Adelaide,2020,32,Western Bulldogs,12,L,43,5.0,6.0,12,17,,1.0,38,4.0,2.0,,1.0,2.0,1.0,,,11,7.0,3.0,1.0,1.0,,,91,2020-05-17
Adelaide,2020,33,Geelong,13,L,43,4.0,1.0,3,7,,2.0,37,4.0,,2.0,2.0,1.0,1.0,,,5,3.0,,,,,,86,2020-05-24
Adelaide,2020,34,Hawthorn,15,W,43,11.0,8.0,8,19,,,26,2.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,12,9.0,5.0,,5.0,,,85,2020-06-07
Adelaide,2020,35,Greater Western Sydney,16,W,43,9.0,1.0,4,13,,,43,5.0,,5.0,2.0,1.0,,,,7,5.0,,,2.0,,1.0,85,2020-06-14
Adelaide,2020,36,Carlton,17,W,43,8.0,2.0,2,10,,,35,3.0,1.0,1.0,,2.0,1.0,1.0,,5,5.0,,,,,,85,2020-06-21
Adelaide,2020,37,Richmond,18,L,43,8.0,7.0,11,19,,,30,4.0,2.0,2.0,2.0,2.0,,,2.0,6,10.0,4.0,,3.0,,,85,2020-06-28
Adelaide,2021,38,Geelong,1,W,43,3.0,2.0,5,8,,,22,1.0,1.0,1.0,1.0,3.0,3.0,1.0,,8,3.0,1.0,,,,,90,2021-03-01
Adelaide,2021,39,Sydney,2,L,43,5.0,1.0,5,10,,,24,,,,5.0,4.0,2.0,2.0,,8,2.0,,,3.0,,,89,2021-03-08
Adelaide,2021,40,Gold Coast,3,W,43,5.0,3.0,14,19,,,34,3.0,1.0,1.0,3.0,4.0,1.0,1.0,,13,8.0,,,6.0,,,89,2021-03-15
Adelaide,2021,41,North Melbourne,4,W,43,7.0,8.0,17,24,1.0,,30,4.0,3.0,,6.0,1.0,3.0,,3.0,15,7.0,4.0,2.0,1.0,,,94,2021-03-22
Adelaide,2021,42,Fremantle,5,L,43,7.0,4.0,10,17,,,32,3.0,,1.0,5.0,4.0,,2.0,,12,7.0,2.0,,3.0,,,95,2021-03-29
Adelaide,2021,43,Hawthorn,6,L,43,8.0,5.0,12,20,,,39,1.0,1.0,5.0,4.0,2.0,1.0,,,11,8.0,3.0,,4.0,,,97,2021-04-05
Adelaide,2021,44,Greater Western Sydney,7,L,43,2.0,2.0,10,12,,,19,1.0,,1.0,3.0,1.0,1.0,1.0,,6,6.0,1.0,,2.0,,1.0,81,2021-04-12
Adelaide,2021,45,Port Adelaide,8,L,43,3.0,,3,6,,,28,8.0,1.0,2.0,2.0,3.0,1.0,1.0,,4,1.0,,,2.0,,,88,2021-04-19
Adelaide,2021,46,West Coast,9,L,43,5.0,2.0,5,10,,,15,5.0,1.0,2.0,4.0,4.0,2.0,3.0,,7,3.0,2.0,,4.0,,,83,2021-04-26
Adelaide,2021,47,Melbourne,10,W,43,,3.0,10,10,,,24,3.0,1.0,2.0,,2.0,1.0,1.0,,7,6.0,2.0,,6.0,,2.0,87,2021-05-03
Adelaide,2021,48,Richmond,11,L,43,8.0,4.0,6,14,1.0,,34,2.0,2.0,1.0,5.0,,1.0,,,10,4.0,3.0,,7.0,,,85,2021-05-10
Adelaide,2021,49,Collingwood,12,L,43,10.0,7.0,9,19,,,27,4.0,1.0,4.0,4.0,2.0,2.0,1.0,,12,5.0,5.0,,7.0,,1.0,94,2021-05-17
Adelaide,2021,50,St Kilda,13,W,43,12.0,2.0,4,16,,,30,2.0,3.0,6.0,8.0,1.0,3.0,,,7,3.0,,,2.0,,,90,2021-05-24
Adelaide,2021,51,Carlton,15,L,43,7.0,4.0,6,13,,,27,5.0,1.0,2.0,5.0,1.0,1.0,,,7,4.0,,1.0,4.0,,,93,2021-06-07
Adelaide,2021,52,Brisbane Lions,16,L,43,12.0,2.0,4,16,,,36,1.0,1.0,1.0,5.0,3.0,,1.0,,13,4.0,2.0,,8.0,,,88,2021-06-14
