team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2025,1,Adelaide,2,L,45,4.0,3.0,3.0,7.0,,,,2,,,,3.0,,2.0,,2.0,6.0,,,2.0,,,71,2025-03-08
St Kilda,2025,2,Geelong,3,W,45,4.0,2.0,,4.0,,,,5,,1.0,,,,,,1.0,3.0,1.0,,1.0,,,72,2025-03-15
St Kilda,2025,3↓,Richmond,4,W,45,,,,,,,,1,,,,,,,,,,,,,,,12,2025-03-22
St Kilda,2025,4,Fremantle,9,W,45,5.0,2.0,1.0,6.0,,,,5,,1.0,,1.0,,1.0,,1.0,5.0,,,1.0,,,83,2025-04-26
St Kilda,2025,5,Carlton,10,L,45,3.0,3.0,3.0,6.0,,,,2,,,,,,,,4.0,3.0,1.0,,1.0,,,81,2025-05-03
St Kilda,2025,6,West Coast,11,L,45,5.0,4.0,6.0,11.0,,,,5,2.0,,1.0,1.0,3.0,,,5.0,6.0,,,2.0,,,76,2025-05-10
St Kilda,2025,7,Gold Coast,12,L,45,5.0,2.0,4.0,9.0,,,,3,1.0,1.0,3.0,4.0,1.0,1.0,,6.0,4.0,,,3.0,,,76,2025-05-17
St Kilda,2026,8,Carlton,9,W,45,5.0,4.0,5.0,10.0,,,,4,,,2.0,2.0,,,,5.0,5.0,,1.0,4.0,,,77,2026-04-26
St Kilda,2026,9,Gold Coast,10,L,45,7.0,3.0,3.0,10.0,,,,3,1.0,1.0,,5.0,2.0,3.0,,4.0,8.0,,,1.0,,,69,2026-05-03
St Kilda,2026,10,Richmond,11,W,45,7.0,3.0,2.0,9.0,,,,1,2.0,,,2.0,1.0,1.0,,3.0,5.0,1.0,1.0,,,,81,2026-05-10
St Kilda,2026,11,Fremantle,12,L,45,8.0,1.0,2.0,10.0,,1.0,,5,2.0,,1.0,1.0,,,,2.0,7.0,,,1.0,,,77,2026-05-17
St Kilda,2026,12,Hawthorn,13,L,45,5,4,9,14,,,,2,2,,,,,,,4,10,,,,,,84,2026-05-24
