team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2017,1,Essendon,8,L,42,1,,8.0,9,,,,2.0,1.0,,1.0,2.0,,1.0,,4.0,5,,,4.0,,,60,2017-04-19
Geelong,2017,2,Western Bulldogs,9,W,42,3,4.0,9.0,12,,,,3.0,,,,4.0,,1.0,,2.0,12,,,1.0,,,62,2017-04-26
Geelong,2018,3,Hawthorn,2,L,42,8,7.0,4.0,12,,,,2.0,3.0,1.0,,2.0,1.0,2.0,,2.0,10,1.0,,1.0,,,84,2018-03-08
Geelong,2018,4,Hawthorn,21,L,42,6,4.0,2.0,8,,,,3.0,3.0,,,2.0,2.0,2.0,,5.0,4,2.0,1.0,1.0,,,74,2018-07-19
Geelong,2018,5,Fremantle,22,W,42,6,4.0,5.0,11,,,,,1.0,,,1.0,,1.0,,2.0,9,,,2.0,,,88,2018-07-26
Geelong,2018,6,Gold Coast,23,W,42,11,6.0,4.0,15,,,,1.0,2.0,1.0,,3.0,1.0,1.0,,3.0,11,2.0,,,,,91,2018-08-02
Geelong,2018,7,Melbourne,EF,L,42,6,2.0,6.0,12,,,,3.0,2.0,1.0,1.0,,,,,6.0,6,1.0,,3.0,1.0,,80,2018-03-01
Geelong,2019,8,Collingwood,1,W,42,6,3.0,7.0,13,,,,1.0,2.0,1.0,,1.0,1.0,,,7.0,7,1.0,,5.0,,,80,2019-03-01
Geelong,2019,9,Melbourne,2,W,42,7,4.0,4.0,11,1.0,,,2.0,1.0,,,,1.0,,,5.0,6,,,3.0,,,87,2019-03-08
Geelong,2019,10,Adelaide,3,W,42,7,5.0,4.0,11,,,,1.0,3.0,1.0,,3.0,,,,3.0,8,,,1.0,,,41,2019-03-15
