team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2020,1,Essendon,10,W,33,5.0,,4.0,9.0,,,,3.0,1.0,4.0,1.0,,3.0,,,6.0,2.0,,,,,,79.0,2020-05-03
Greater Western Sydney,2020,2,Sydney,12,L,33,4.0,2.0,6.0,10.0,,,,3.0,,3.0,,4.0,,,,6.0,4.0,,1.0,3.0,,,86.0,2020-05-17
Greater Western Sydney,2021,3,St Kilda,1,L,33,,,,,,,,,,,,,,,,,,,,,,,,2021-03-01
Greater Western Sydney,2021,4,Melbourne,3,L,33,8.0,2.0,4.0,12.0,1.0,,,2.0,,1.0,2.0,2.0,,1.0,,2.0,10.0,,,4.0,,,87.0,2021-03-15
Greater Western Sydney,2021,5,Collingwood,4,W,33,8.0,3.0,3.0,11.0,,,,2.0,2.0,4.0,2.0,3.0,,1.0,,2.0,7.0,,,2.0,,,90.0,2021-03-22
Greater Western Sydney,2021,6,Sydney,5,W,33,12.0,5.0,3.0,15.0,1.0,,,1.0,1.0,6.0,1.0,4.0,,1.0,,3.0,12.0,,1.0,2.0,,,81.0,2021-03-29
Greater Western Sydney,2021,7,Western Bulldogs,6,L,33,12.0,4.0,3.0,15.0,,,,1.0,4.0,3.0,,3.0,2.0,,,5.0,8.0,,,,,,77.0,2021-04-05
Greater Western Sydney,2021,8,Adelaide,7,W,33,12.0,4.0,4.0,16.0,1.0,,,2.0,1.0,2.0,2.0,3.0,,1.0,,4.0,11.0,,,,,2.0,84.0,2021-04-12
Greater Western Sydney,2021,9,Essendon,8,W,33,11.0,3.0,4.0,15.0,,,,2.0,1.0,4.0,,5.0,1.0,1.0,,5.0,10.0,,,5.0,,,87.0,2021-04-19
Greater Western Sydney,2021,10,Richmond,9,L,33,5.0,3.0,5.0,10.0,1.0,1.0,,,1.0,2.0,,,2.0,,,5.0,5.0,,1.0,,,,88.0,2021-04-26
Greater Western Sydney,2021,11,West Coast,10,W,33,,,,,,,,,,,,,,,,,,,,,,,,2021-05-03
Greater Western Sydney,2021,12,Brisbane Lions,11,L,33,6.0,1.0,5.0,11.0,,,,3.0,,3.0,2.0,3.0,,1.0,,7.0,5.0,,,2.0,,,78.0,2021-05-10
Greater Western Sydney,2021,13,North Melbourne,13,D,33,,,,,,,,,,,,,,,,,,,,,,,,2021-05-24
Greater Western Sydney,2021,14,Sydney,18,L,33,6.0,2.0,2.0,8.0,,,,3.0,,1.0,,1.0,2.0,1.0,,4.0,5.0,,,1.0,,1.0,83.0,2021-06-28
Greater Western Sydney,2021,15,Essendon,19,W,33,9.0,4.0,3.0,12.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,3.0,9.0,,,1.0,,,77.0,2021-07-05
Greater Western Sydney,2021,16,Port Adelaide,20,L,33,8.0,2.0,6.0,14.0,,,,1.0,2.0,3.0,1.0,2.0,,,,9.0,7.0,1.0,,2.0,,,82.0,2021-07-12
Greater Western Sydney,2021,17,Geelong,21,W,33,8.0,2.0,7.0,15.0,,1.0,,1.0,2.0,2.0,2.0,1.0,,,,6.0,8.0,,,3.0,,,79.0,2021-07-19
Greater Western Sydney,2021,18,Richmond,22,W,33,14.0,5.0,3.0,17.0,,1.0,,1.0,1.0,5.0,1.0,2.0,1.0,1.0,,4.0,13.0,,1.0,1.0,,2.0,80.0,2021-07-26
Greater Western Sydney,2021,19↓,Carlton,23,W,33,5.0,2.0,4.0,9.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,3.0,6.0,,,,,1.0,66.0,2021-08-02
Greater Western Sydney,2022,20,Sydney,1,L,33,5.0,2.0,2.0,7.0,,1.0,,2.0,,3.0,1.0,1.0,1.0,,,1.0,7.0,,1.0,2.0,,,81.0,2022-03-01
Greater Western Sydney,2022,21,Richmond,2,L,33,11.0,2.0,4.0,15.0,,,,3.0,3.0,4.0,,1.0,,,,2.0,13.0,,,5.0,,,85.0,2022-03-08
Greater Western Sydney,2022,22,Gold Coast,3,W,33,5.0,,10.0,15.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,1.0,,6.0,8.0,,,,,,86.0,2022-03-15
Greater Western Sydney,2022,23,Fremantle,4,L,33,9.0,3.0,2.0,11.0,,1.0,,5.0,,4.0,1.0,3.0,,1.0,,4.0,9.0,,,1.0,,,89.0,2022-03-22
Greater Western Sydney,2022,24,Melbourne,5,L,33,9.0,5.0,2.0,11.0,,,,,1.0,2.0,,2.0,1.0,,,5.0,6.0,1.0,,,,,78.0,2022-03-29
Greater Western Sydney,2022,25,West Coast,10,W,33,6.0,1.0,3.0,9.0,,,,1.0,1.0,1.0,,4.0,1.0,1.0,,1.0,10.0,,,,,,81.0,2022-05-03
Greater Western Sydney,2022,26↑,Brisbane Lions,11,L,33,3.0,2.0,2.0,5.0,,,,1.0,,1.0,1.0,,,,,2.0,5.0,,,1.0,,,54.0,2022-05-10
Greater Western Sydney,2022,27,Collingwood,15,L,33,5.0,4.0,5.0,10.0,,,,1.0,2.0,2.0,1.0,1.0,,,,5.0,5.0,,,1.0,1.0,,74.0,2022-06-07
Greater Western Sydney,2022,28,Hawthorn,16,W,33,5.0,,2.0,7.0,,,,4.0,,1.0,2.0,3.0,,1.0,,2.0,4.0,,,,,,79.0,2022-06-14
Greater Western Sydney,2022,29↑,Port Adelaide,17,L,33,1.0,1.0,2.0,3.0,,,,2.0,,,,1.0,,,,,3.0,,,,,,37.0,2022-06-21
Greater Western Sydney,2022,30,Brisbane Lions,18,L,33,7.0,5.0,8.0,15.0,,,,2.0,,4.0,,3.0,,1.0,,2.0,13.0,,,1.0,1.0,1.0,80.0,2022-06-28
Greater Western Sydney,2022,31,Carlton,19,L,33,14.0,6.0,9.0,23.0,,,,,2.0,5.0,1.0,2.0,,,,7.0,17.0,,1.0,1.0,,1.0,78.0,2022-07-05
Greater Western Sydney,2022,32,Sydney,20,L,33,6.0,2.0,1.0,7.0,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,4.0,3.0,,,,,,85.0,2022-07-12
Greater Western Sydney,2022,33↑,Western Bulldogs,22,L,33,2.0,2.0,3.0,5.0,,,,,,1.0,,3.0,,1.0,,,5.0,,,,,,17.0,2022-07-26
Greater Western Sydney,2023,34,Hawthorn,5,W,33,9.0,5.0,5.0,14.0,,,,5.0,1.0,4.0,1.0,6.0,,2.0,,4.0,9.0,1.0,,1.0,,,72.0,2023-03-29
Greater Western Sydney,2023,35,Brisbane Lions,6,L,33,11.0,2.0,6.0,17.0,3.0,,,6.0,2.0,5.0,1.0,3.0,,1.0,,6.0,13.0,,1.0,,,1.0,71.0,2023-04-05
Greater Western Sydney,2023,36,Sydney,7,W,33,8.0,5.0,7.0,15.0,2.0,1.0,,4.0,,3.0,1.0,4.0,1.0,2.0,,4.0,11.0,,2.0,1.0,,,88.0,2023-04-12
Greater Western Sydney,2023,37,Western Bulldogs,8,L,33,6.0,,7.0,13.0,1.0,1.0,,3.0,,3.0,,3.0,,,,4.0,10.0,,,3.0,,,88.0,2023-04-19
Greater Western Sydney,2023,38,Collingwood,9,L,33,12.0,2.0,4.0,16.0,1.0,3.0,,,,4.0,1.0,7.0,,3.0,,3.0,16.0,,1.0,1.0,,1.0,83.0,2023-04-26
Greater Western Sydney,2023,39,St Kilda,10,L,33,9.0,2.0,4.0,13.0,1.0,,,2.0,1.0,4.0,1.0,2.0,,,,5.0,8.0,1.0,2.0,1.0,,1.0,87.0,2023-05-03
Greater Western Sydney,2023,40,Geelong,11,W,33,7.0,1.0,6.0,13.0,,,,2.0,1.0,3.0,1.0,5.0,1.0,3.0,,7.0,8.0,,,1.0,,,90.0,2023-05-10
Greater Western Sydney,2023,41,Richmond,12,L,33,9.0,3.0,7.0,16.0,1.0,2.0,,7.0,1.0,4.0,1.0,1.0,1.0,,,8.0,7.0,1.0,1.0,1.0,,,89.0,2023-05-17
Greater Western Sydney,2023,42,North Melbourne,13,W,33,8.0,2.0,10.0,18.0,1.0,1.0,,2.0,,6.0,,3.0,1.0,,,10.0,8.0,,,,,1.0,87.0,2023-05-24
Greater Western Sydney,2023,43,Fremantle,14,W,33,6.0,4.0,8.0,14.0,,,,3.0,,5.0,,6.0,1.0,1.0,,8.0,7.0,,,1.0,,,87.0,2023-05-31
