team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2024,1,North Melbourne,6,W,14,3,3,8,11,,1.0,,1.0,1,1.0,,3.0,1.0,,,6,5,1.0,,5,,,87,2024-04-05
Geelong,2025,2,Fremantle,2,W,14,6,7,5,11,,,,1.0,1,,,3.0,,1.0,,3,7,1.0,,3,,,91,2025-03-08
Geelong,2025,3,St Kilda,3,L,14,11,7,4,15,,,,3.0,1,4.0,,1.0,1.0,,,8,8,2.0,,8,,,93,2025-03-15
Geelong,2025,4,Brisbane Lions,4,L,14,4,5,6,10,,,,2.0,3,,,,,,,6,7,1.0,,10,,,93,2025-03-22
Geelong,2025,5,Melbourne,5,W,14,13,13,10,23,,,1.0,,3,1.0,1.0,3.0,,1.0,,10,14,3.0,,4,,,95,2025-03-29
Geelong,2025,6,Adelaide,6,W,14,8,4,7,15,,,,1.0,2,,,3.0,,1.0,,3,11,,,2,,,84,2025-04-05
Geelong,2025,7,Hawthorn,7,W,14,6,6,3,9,,,,2.0,1,1.0,,1.0,,1.0,,2,7,1.0,,2,,,96,2025-04-12
Geelong,2025,8,Carlton,8,L,14,8,8,9,17,,,,1.0,4,1.0,,1.0,,,,7,10,1.0,,9,,,90,2025-04-19
Geelong,2025,9,Collingwood,9,W,14,4,2,6,10,,,,,2,,,1.0,1.0,,,3,6,,,8,,,91,2025-04-26
Geelong,2025,10,Greater Western Sydney,10,L,14,7,5,5,12,,,,2.0,4,,,3.0,,1.0,,4,6,,,8,,,96,2025-05-03
Geelong,2025,11,Port Adelaide,11,W,14,2,3,3,5,,,,1.0,1,,,,,,,2,3,,,4,,,96,2025-05-10
Geelong,2025,12,West Coast,13,W,14,7,5,13,20,,,,3.0,1,1.0,,3.0,2.0,,,11,11,1.0,,3,3.0,2.0,93,2025-05-24
Geelong,2025,13,Gold Coast,14,W,14,9,7,3,12,,,,,2,2.0,,3.0,1.0,1.0,,5,9,1.0,,2,,,93,2025-05-31
Geelong,2025,14,Essendon,15,W,14,9,10,4,13,,,,1,2,1,,1,,1,,1,13,1,,5,,,93,2025-06-07
