team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2025,1,Western Bulldogs,2,L,2,10,3,6.0,16,,,,,4.0,2.0,,2,,,,3,12,,,5.0,,,82,2025-03-08
North Melbourne,2025,2,Melbourne,3,W,2,9,2,3.0,12,,,,,1.0,1.0,1.0,3,,2.0,,4,5,1.0,,,,,79,2025-03-15
North Melbourne,2025,3,Adelaide,4,L,2,8,5,8.0,16,,,,,2.0,2.0,,3,,1.0,,4,12,,,1.0,1.0,,80,2025-03-22
North Melbourne,2025,4,Gold Coast,6,L,2,8,1,7.0,15,,,,3.0,6.0,4.0,,1,1.0,,,4,10,,,3.0,,,85,2025-04-05
North Melbourne,2025,5,Carlton,7,L,2,2,3,8.0,10,,,,,2.0,,,4,,3.0,,3,9,,,1.0,,,83,2025-04-12
North Melbourne,2025,6,Port Adelaide,8,L,2,4,2,8.0,12,,1.0,,2.0,,2.0,,1,1.0,1.0,,5,7,,1.0,2.0,,,78,2025-04-19
North Melbourne,2025,7,Essendon,9,L,2,8,2,3.0,11,,,,4.0,4.0,3.0,,1,,1.0,,2,5,,,1.0,,,68,2025-04-26
North Melbourne,2025,8,Brisbane Lions,10,D,2,5,1,3.0,8,,,,1.0,,5.0,,1,1.0,,,3,5,,,,,,78,2025-05-03
North Melbourne,2025,9,Richmond,11,W,2,6,2,4.0,10,,,,4.0,2.0,1.0,,2,1.0,1.0,,2,8,,,1.0,,1.0,76,2025-05-10
North Melbourne,2025,10,Collingwood,12,L,2,13,4,,13,,,,1.0,2.0,2.0,1.0,1,,,,3,11,,,2.0,,,78,2025-05-17
North Melbourne,2025,11,West Coast,14,W,2,13,5,4.0,17,1.0,,,3.0,6.0,2.0,,2,1.0,,,3,13,,,2.0,,,74,2025-05-31
North Melbourne,2025,12,Fremantle,15,L,2,11,6,3.0,14,,,,1.0,3.0,,,4,1.0,2.0,,1,14,,,2.0,,,75,2025-06-07
North Melbourne,2025,13,Carlton,16,W,2,9,3,9.0,18,,,,2.0,2.0,2.0,1.0,2,,1.0,,3,16,,1.0,4.0,,,77,2025-06-14
North Melbourne,2025,14,Hawthorn,17,L,2,6,3,4.0,10,,1.0,,1.0,1.0,1.0,,2,1.0,1.0,,3,8,,,2.0,,,81,2025-06-21
North Melbourne,2025,15,Western Bulldogs,18,L,2,4,3,7.0,11,,,,,2.0,1.0,,1,,,,3,8,1.0,,,1.0,,80,2025-06-28
North Melbourne,2025,16,Melbourne,19,L,2,8,5,7.0,15,,,,2.0,5.0,2.0,2.0,2,,1.0,,9,8,1.0,,4.0,,,89,2025-07-05
North Melbourne,2025,17,Sydney,20,L,2,11,9,9.0,20,,,,1.0,5.0,,1.0,1,,,,7,13,1.0,,1.0,,,91,2025-07-12
North Melbourne,2025,18,Geelong,21,L,2,4,3,12.0,16,,,,6.0,1.0,,2.0,3,,1.0,,5,12,,1.0,,,,84,2025-07-19
North Melbourne,2025,19,St Kilda,22,L,2,10,7,8,18,,,,,1,1,1,,1,,,1,16,,,3,,,81,2025-07-26
