team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2016,1,Gold Coast,1,L,3,8,5.0,17,25,,,,6.0,1.0,2.0,6.0,3.0,,,,12,14,,1.0,2.0,,,78,2016-03-01
Essendon,2016,2,Melbourne,2,W,3,10,3.0,11,21,1.0,,,8.0,,5.0,1.0,2.0,3.0,,,5,16,,,,,,73,2016-03-08
Essendon,2016,3,Port Adelaide,3,L,3,5,1.0,16,21,,,,4.0,1.0,2.0,2.0,,1.0,,,10,12,,,1.0,,,66,2016-03-15
Essendon,2016,4,Geelong,4,L,3,8,1.0,16,24,,,,2.0,2.0,4.0,5.0,3.0,1.0,1.0,,14,10,,,,,,83,2016-03-22
Essendon,2016,5,Collingwood,5,L,3,7,6.0,13,20,,,,2.0,1.0,1.0,4.0,3.0,,,,9,11,,,2.0,,1.0,71,2016-03-29
Essendon,2016,6,Carlton,6,L,3,4,1.0,7,11,2.0,,,3.0,1.0,,2.0,2.0,,2.0,,5,7,,,,,,66,2016-04-05
Essendon,2016,7,North Melbourne,8,L,3,9,6.0,15,24,,,,1.0,,3.0,5.0,2.0,1.0,,,8,16,,,2.0,,,72,2016-04-19
Essendon,2016,8,St Kilda,9,L,3,2,2.0,18,20,,,,3.0,,,2.0,3.0,,3.0,,7,15,,,,,,76,2016-04-26
Essendon,2016,9,Richmond,10,L,3,12,7.0,13,25,2.0,1.0,,,,2.0,1.0,3.0,,1.0,,6,19,,2.0,,,1.0,86,2016-05-03
Essendon,2016,10,Fremantle,11,L,3,7,3.0,15,22,,,,3.0,1.0,3.0,2.0,3.0,1.0,,,11,13,,,1.0,,,81,2016-05-10
Essendon,2016,11,Hawthorn,12,L,3,8,3.0,19,27,,,,3.0,1.0,1.0,4.0,1.0,1.0,,,11,15,,,,,,77,2016-05-17
Essendon,2016,12,Greater Western Sydney,13,L,3,6,3.0,7,13,,2.0,,,1.0,1.0,1.0,,,,,3,10,,1.0,,,,87,2016-05-24
Essendon,2016,13,West Coast,15,L,3,3,1.0,10,13,,,,4.0,,,3.0,2.0,,,,7,6,,,,,,81,2016-06-07
Essendon,2016,14,St Kilda,16,L,3,11,3.0,10,21,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,,,,6,16,,,1.0,,1.0,77,2016-06-14
