team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2011,1↑,Port Adelaide,8,W,26,4.0,2.0,3.0,7,,,,1.0,,1.0,1.0,,1.0,,,1.0,7.0,,,,,1.0,16,2011-04-19
Sydney,2011,2↑,Hawthorn,9,L,26,1.0,,4.0,5,,,,1.0,,,1.0,1.0,,1.0,,2.0,3.0,,,,,,35,2011-04-26
Sydney,2011,3↓,North Melbourne,10,W,26,7.0,5.0,6.0,13,,1.0,,1.0,2.0,1.0,1.0,3.0,,1.0,,4.0,10.0,,2.0,1.0,,,55,2011-05-03
Sydney,2011,4,Adelaide,15,L,26,5.0,,7.0,12,,,,2.0,1.0,,1.0,3.0,,1.0,,7.0,5.0,,,6.0,,1.0,74,2011-06-07
Sydney,2011,5,Gold Coast,16,W,26,17.0,7.0,9.0,26,2.0,1.0,,1.0,,7.0,3.0,4.0,,,1.0,9.0,15.0,,3.0,5.0,,,74,2011-06-14
Sydney,2011,6,Fremantle,17,L,26,8.0,3.0,6.0,14,2.0,,,4.0,2.0,2.0,3.0,1.0,,,,7.0,7.0,,,1.0,,1.0,65,2011-06-21
Sydney,2011,7↓,Western Bulldogs,18,W,26,3.0,1.0,8.0,11,,2.0,,1.0,,,,1.0,,1.0,,6.0,6.0,,,1.0,,1.0,57,2011-06-28
Sydney,2011,8,Essendon,20,L,26,6.0,3.0,8.0,14,,3.0,,2.0,,,1.0,1.0,1.0,,,7.0,7.0,2.0,2.0,1.0,,,80,2011-07-12
Sydney,2011,9↑,Richmond,21,L,26,2.0,1.0,5.0,7,,,,1.0,,1.0,3.0,,,,,3.0,4.0,,,1.0,,1.0,26,2011-07-19
Sydney,2011,10,Geelong,23,W,26,9.0,1.0,7.0,16,2.0,1.0,,2.0,,3.0,2.0,2.0,1.0,,,8.0,7.0,,,3.0,,1.0,84,2011-08-02
