team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2015,1,Essendon,6,W,25,3,6.0,7.0,10,,,,2.0,1.0,,,,,,,6.0,6.0,2.0,,11.0,,,93,2015-04-05
Fremantle,2015,2,Western Bulldogs,7,W,25,5,4.0,3.0,8,,,1.0,,1.0,1.0,,2.0,,,,2.0,6.0,,,6.0,,,89,2015-04-12
Fremantle,2015,3,Gold Coast,11,W,25,8,9.0,8.0,16,,,,2.0,1.0,1.0,,1.0,,,,1.0,15.0,,,7.0,,,91,2015-05-10
Fremantle,2015,4,Collingwood,13,W,25,4,1.0,4.0,8,,,1.0,,2.0,1.0,,3.0,1.0,2.0,,3.0,6.0,,,4.0,,,81,2015-05-24
Fremantle,2015,5,Brisbane Lions,14,W,25,5,2.0,8.0,13,,,,,2.0,,,1.0,,,,7.0,8.0,,,5.0,,,99,2015-05-31
Fremantle,2015,6,Hawthorn,15,L,25,3,3.0,6.0,9,,,,1.0,1.0,,,2.0,,1.0,,3.0,6.0,,,2.0,,,93,2015-06-07
Fremantle,2015,7,Carlton,16,W,25,7,2.0,8.0,15,,,1.0,2.0,1.0,,,2.0,1.0,2.0,,6.0,10.0,,,3.0,,,96,2015-06-14
Fremantle,2015,8,Richmond,17,W,25,5,3.0,4.0,9,,,,1.0,3.0,,,,,,,3.0,6.0,,,7.0,,,96,2015-06-21
Fremantle,2015,9↓,Greater Western Sydney,18,W,25,9,5.0,3.0,12,1.0,,,3.0,,2.0,,1.0,3.0,,,7.0,7.0,,2.0,2.0,,,64,2015-06-28
Fremantle,2015,10,St Kilda,19,W,25,11,9.0,2.0,13,1.0,2.0,,4.0,,1.0,,,,,,4.0,9.0,3.0,2.0,5.0,,,89,2015-07-05
Fremantle,2015,11,West Coast,20,L,25,4,2.0,4.0,8,,1.0,,2.0,,1.0,,3.0,,2.0,,5.0,3.0,1.0,,3.0,,1.0,86,2015-07-12
Fremantle,2015,12,North Melbourne,21,L,25,3,2.0,2.0,5,1.0,,,2.0,,1.0,,1.0,,,,4.0,1.0,2.0,,,,,78,2015-07-19
Fremantle,2015,13,Port Adelaide,23,L,25,6,2.0,6.0,12,,,,1.0,3.0,,1.0,6.0,,4.0,,5.0,7.0,,,8.0,,,100,2015-08-02
Fremantle,2016,14,Gold Coast,2,L,25,2,,5.0,7,,1.0,7.0,2.0,,1.0,1.0,3.0,,1.0,,7.0,1.0,,,4.0,,1.0,82,2016-03-08
Fremantle,2016,15,West Coast,3,L,25,7,3.0,3.0,10,,,5.0,5.0,1.0,1.0,,2.0,,2.0,,3.0,7.0,,,7.0,,,96,2016-03-15
Fremantle,2016,16,North Melbourne,4,L,25,5,4.0,6.0,11,,,,2.0,2.0,1.0,,2.0,,1.0,,6.0,5.0,1.0,,4.0,,,97,2016-03-22
Fremantle,2016,17,Carlton,5,L,25,2,,5.0,7,,,,,2.0,,,2.0,1.0,1.0,,7.0,1.0,,,7.0,,,93,2016-03-29
Fremantle,2016,18,Adelaide,6,L,25,4,4.0,7.0,11,,,,3.0,2.0,,,1.0,,,,5.0,6.0,,,9.0,,,94,2016-04-05
Fremantle,2016,19,Greater Western Sydney,7,L,25,4,2.0,2.0,6,,,,1.0,1.0,1.0,,2.0,,,,4.0,2.0,1.0,,4.0,,,95,2016-04-12
Fremantle,2016,20,Hawthorn,8,L,25,3,4.0,7.0,10,,,,1.0,1.0,,,,2.0,,,6.0,5.0,1.0,,11.0,,,73,2016-04-19
Fremantle,2016,21,Richmond,9,L,25,9,3.0,6.0,15,,,,3.0,2.0,,,1.0,3.0,1.0,,7.0,9.0,,,8.0,,,60,2016-04-26
Fremantle,2018,22,Port Adelaide,1,L,25,6,6.0,4.0,10,,,,1.0,1.0,,,2.0,,,,6.0,5.0,2.0,,6.0,,,93,2018-03-01
Fremantle,2018,23,Essendon,2,W,25,6,4.0,7.0,13,,,,1.0,2.0,1.0,,2.0,2.0,,,5.0,8.0,,,9.0,1.0,1.0,97,2018-03-08
Fremantle,2018,24,Gold Coast,3,W,25,5,3.0,5.0,10,,,,4.0,2.0,1.0,,2.0,1.0,,,6.0,4.0,,,7.0,,,96,2018-03-15
Fremantle,2018,25,Greater Western Sydney,4,L,25,6,4.0,4.0,10,,,,3.0,1.0,,,2.0,1.0,2.0,,3.0,9.0,,,2.0,,,85,2018-03-22
Fremantle,2018,26,Western Bulldogs,5,W,25,3,3.0,10.0,13,,,6.0,2.0,,1.0,1.0,4.0,,3.0,,4.0,9.0,,,2.0,,1.0,92,2018-03-29
