team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2021,1,Port Adelaide,20,L,45,14,7,5,19,,,,3,6,2,1,3,3,2,,8,12,,,1,,,70,2021-07-12
Greater Western Sydney,2021,2,Geelong,21,W,45,8,4,3,11,,,,1,3,,,3,1,1,,1,10,,,2,1,,82,2021-07-19
Greater Western Sydney,2021,3,Richmond,22,W,45,5,4,4,9,,,,2,2,1,,2,,1,,2,8,,,3,,,82,2021-07-26
Greater Western Sydney,2021,4↑,Geelong,SF,L,45,,,3,3,,,,,,,,1,,,,2,1,,,,,,11,2021-08-16
Greater Western Sydney,2022,5,Gold Coast,3,W,20,5,3,4,9,,1,,3,,1,,1,,,,3,7,,2,1,,,82,2022-03-15
Greater Western Sydney,2022,6,Fremantle,4,L,20,3,3,4,7,,,,1,,2,,3,,2,,3,4,,1,1,,,73,2022-03-22
Greater Western Sydney,2022,7,West Coast,10,W,20,16,11,7,23,3,,,2,,5,3,2,1,1,1,7,17,,2,2,,2,77,2022-05-03
Greater Western Sydney,2022,8,Brisbane Lions,11,L,20,13,6,3,16,3,1,,2,,5,1,3,2,1,,6,10,,,,2,1,83,2022-05-10
Greater Western Sydney,2022,9,North Melbourne,13,W,20,10,7,4,14,3,2,,1,,2,2,2,,,,3,11,,2,1,1,,84,2022-05-24
Greater Western Sydney,2022,10,Western Bulldogs,14,L,20,,1,1,1,,,,1,,,,1,,1,,1,1,,,,,,48,2022-05-31
Greater Western Sydney,2022,11,Port Adelaide,17,L,20,3,4,1,4,,1,,1,,1,,2,,,,,5,,1,1,,1,60,2022-06-21
Greater Western Sydney,2022,12,Brisbane Lions,18,L,20,8,6,4,12,,,,1,3,1,,4,1,,,2,10,,,,,,61,2022-06-28
Greater Western Sydney,2022,13,Carlton,19,L,20,8,3,6,14,,,,2,,1,2,1,1,,,4,10,,1,,,1,78,2022-07-05
Greater Western Sydney,2022,14,Sydney,20,L,20,8,3,3,11,,2,,2,,4,1,3,1,1,,2,9,,,,,1,62,2022-07-12
Greater Western Sydney,2022,15↓,Essendon,21,W,20,1,,,1,,1,,1,,,1,,1,,,1,,,,1,,,27,2022-07-19
Greater Western Sydney,2022,16,Fremantle,23,L,20,5,3,6,11,,,,1,,,,2,,1,,7,4,2,,,,1,68,2022-08-02
Greater Western Sydney,2023,17,Adelaide,1,W,20,5,2,3,8,,1,,4,,3,,1,1,1,,3,6,,,3,,1,82,2023-03-01
Greater Western Sydney,2023,18,West Coast,2,L,20,9,2,,9,,1,,3,,3,,5,3,1,,6,3,,,2,1,,75,2023-03-08
Greater Western Sydney,2023,19,Carlton,3,L,20,3,3,4,7,,1,,4,,1,1,1,1,,,3,4,,2,1,,,78,2023-03-15
Greater Western Sydney,2023,20,Hawthorn,5,W,20,2,3,5,7,,,,7,1,1,,1,,,,2,5,1,,1,,1,74,2023-03-29
Greater Western Sydney,2023,21,Brisbane Lions,6,L,20,10,4,4,14,,1,,5,1,2,,,,,,2,13,,,,1,1,80,2023-04-05
Greater Western Sydney,2023,22,Sydney,7,W,20,8,2,8,16,,,,6,2,3,1,1,,,,7,9,1,,1,,,77,2023-04-12
Greater Western Sydney,2023,23↑,Western Bulldogs,8,L,20,6,1,1,7,,,,,,2,,,1,,,4,3,,,3,,,29,2023-04-19
Greater Western Sydney,2023,24,Collingwood,9,L,20,9,6,12,21,,2,,,1,4,1,5,1,,,9,12,1,1,1,,1,79,2023-04-26
Greater Western Sydney,2023,25,St Kilda,10,L,20,8,1,3,11,,,,,1,1,1,4,1,2,,5,6,,,,,,80,2023-05-03
Greater Western Sydney,2023,26↓,Geelong,11,W,20,4,2,5,9,,,,1,,1,1,2,,,,4,6,,,1,,,60,2023-05-10
Greater Western Sydney,2024,27↑,West Coast,3,W,20,5,,3,8,1,,,2,,2,2,2,1,1,,4,4,,,,,1,29,2024-03-15
Greater Western Sydney,2024,28↑,Gold Coast,5,W,20,2,,1,3,,,,,,1,,1,,,,4,,,,2,,,24,2024-03-29
Greater Western Sydney,2024,29↑,St Kilda,6,W,20,8,1,6,14,,,,3,,4,1,2,1,,,6,8,1,,1,,1,68,2024-04-05
Greater Western Sydney,2024,30↑,Carlton,7,L,20,4,2,3,7,1,,,2,,,2,,,,,3,4,,,,,,22,2024-04-12
Greater Western Sydney,2024,31,Brisbane Lions,8,W,20,16,4,5,21,,,,2,,3,6,1,3,,,9,13,,1,,1,,72,2024-04-19
Greater Western Sydney,2024,32,Sydney,9,L,20,18,4,6,24,1,,,8,3,6,4,4,2,1,,10,15,1,1,2,,2,83,2024-04-26
Greater Western Sydney,2024,33,Geelong,12,W,20,11,2,7,18,,1,,1,1,3,6,4,2,1,,10,7,,,1,,,70,2024-05-17
Greater Western Sydney,2024,34,Hawthorn,14,L,20,13,2,5,18,1,,,10,1,4,3,3,3,2,,10,9,,,1,1,,77,2024-05-31
Greater Western Sydney,2024,35↑,Sydney,16,L,20,1,,7,8,,,,1,,1,,1,,,,3,5,,,,,,21,2024-06-14
Greater Western Sydney,2024,36↑,Carlton,18,W,20,1,,1,2,,,,,1,,1,,1,,,2,,,,,,,10,2024-06-28
Greater Western Sydney,2024,37↑,Richmond,19,W,20,2,,2,4,,,,4,1,,2,1,1,,,3,1,,,,,,20,2024-07-05
Greater Western Sydney,2024,38,Gold Coast,20,W,20,8,5,10,18,,,,7,2,1,6,2,2,1,,7,13,,,1,1,,76,2024-07-12
Greater Western Sydney,2024,39,Melbourne,21,W,20,18,5,10,28,,,,11,,5,8,6,3,1,1,18,9,1,,1,,,71,2024-07-19
Greater Western Sydney,2024,40,Hawthorn,22,W,20,11,3,6,17,,,,10,,3,4,1,3,,,9,10,,,,,,82,2024-07-26
Greater Western Sydney,2024,41,Brisbane Lions,23,W,20,10,1,10,20,,,,6,1,6,9,2,6,,,11,9,,,2,,2,83,2024-08-02
Greater Western Sydney,2024,42,Fremantle,24,W,20,5,,7,12,,1,,2,1,2,3,2,1,2,,6,4,,,,,1,77,2024-08-09
Greater Western Sydney,2024,43,Western Bulldogs,25,L,20,9,1,6,15,,,,9,1,3,3,4,4,,,11,6,,,,,1,65,2024-08-16
Greater Western Sydney,2024,44,Sydney,QF,L,20,10,2,5,15,1,1,,12,,3,3,1,2,,,7,8,,,1,,,79,2024-08-09
Greater Western Sydney,2024,45,Brisbane Lions,SF,L,20,7,,3,10,2,,,7,,4,2,3,1,1,,4,5,,,1,,,85,2024-08-16
Adelaide,2025,46,St Kilda,2,W,25,11,2,8,19,1,1,,3,3,2,2,4,1,1,,9,9,,,1,,,79,2025-03-08
Adelaide,2025,47,Essendon,3,W,25,5,2,8,13,,,,3,,2,3,4,1,3,,6,8,,,,,2,83,2025-03-15
Adelaide,2025,48,North Melbourne,4,W,25,12,4,11,23,,1,,2,1,5,6,2,,,,10,14,,,,,3,77,2025-03-22
Adelaide,2025,49,Gold Coast,5,L,25,18,4,6,24,1,,,6,2,10,4,3,4,,,11,13,,,,,1,86,2025-03-29
Adelaide,2025,50,Geelong,6,L,25,10,1,12,22,,,,5,2,5,5,5,2,1,,10,11,,,,,4,84,2025-04-05
Adelaide,2025,51,Fremantle,8,L,25,9,4,9,18,,,,5,,2,5,4,,2,,6,13,,,,,1,84,2025-04-19
Adelaide,2025,52,Carlton,9,W,25,11,4,11,22,,,,5,3,4,5,,1,,,7,15,,,1,3,1,75,2025-04-26
Adelaide,2025,53,Port Adelaide,10,W,25,15,3,9,24,,,,12,1,3,5,3,3,2,,11,14,,,,,,72,2025-05-03
Adelaide,2025,54,Collingwood,11,L,25,12,2,10,22,,,,4,2,2,2,4,2,1,,10,12,,,1,,1,65,2025-05-10
Adelaide,2025,55,West Coast,12,W,25,9,3,7,16,2,1,,5,,3,7,2,4,1,,11,6,,1,1,,,71,2025-05-17
Adelaide,2025,56,Sydney,13,W,25,12,5,9,21,,,,4,1,3,7,6,3,2,1,13,10,,,,,1,77,2025-05-24
Adelaide,2025,57,Brisbane Lions,14,W,25,14,,3,17,,,,5,,4,2,8,5,2,,13,6,,,1,,1,68,2025-05-31
Adelaide,2025,58,Richmond,17,W,25,10,3,10,20,,,,5,,3,2,2,1,,,5,15,,,,,,77,2025-06-21
Adelaide,2025,59,Melbourne,18,W,25,14,5,11,25,,,,2,1,6,6,3,3,,,11,15,,,,,2,71,2025-06-28
Adelaide,2025,60,Western Bulldogs,19,W,25,3,1,9,12,,,,2,,1,6,3,1,1,,8,4,,,,,,63,2025-07-05
Adelaide,2025,61,Gold Coast,20,W,25,15,3,6,21,1,,,6,2,4,7,2,1,,,9,11,,1,,1,,84,2025-07-12
Adelaide,2025,62,Port Adelaide,21,W,25,19,4,7,26,1,2,,6,,6,9,7,4,1,,14,10,,1,1,,,83,2025-07-19
Adelaide,2025,63,Hawthorn,22,W,25,7,,3,10,,,,2,,4,6,7,1,,,8,2,,,1,,,57,2025-07-26
Adelaide,2025,64↓,West Coast,23,W,25,5,2,5,10,1,,,,,,3,2,2,,,4,6,,,,,,35,2025-08-02
Adelaide,2025,65,Collingwood,24,W,25,12,1,7,19,1,,,3,4,2,3,3,2,,,9,9,,,1,1,,70,2025-08-09
Adelaide,2025,66,North Melbourne,25,W,25,9,5,10,19,3,1,,4,2,4,5,4,1,,,10,11,,2,1,,3,72,2025-08-16
Adelaide,2025,67,Collingwood,QF,L,25,5,2,4,9,,,,2,1,1,1,2,,1,,5,4,,1,,,,69,2025-08-09
Adelaide,2025,68,Hawthorn,SF,L,25,8,3,9,17,1,,,3,1,1,2,,2,,,2,15,,,,,,69,2025-08-16
Adelaide,2026,69,Collingwood,2,W,25,12,3,8,20,,1,,2,,1,5,2,1,1,,10,9,1,,,,1,82,2026-03-08
Adelaide,2026,70,Western Bulldogs,3,L,25,10,3,2,12,,,,2,1,4,2,2,1,1,,4,6,,,2,,1,65,2026-03-15
Adelaide,2026,71,Geelong,4,L,25,11,2,11,22,,,,4,3,1,6,3,,,,10,13,,,1,,,76,2026-03-22
Adelaide,2026,72,Fremantle,5,L,25,20,1,6,26,1,,,5,3,6,8,5,3,1,,15,12,1,,1,,1,71,2026-03-29
Adelaide,2026,73,Carlton,6,W,25,11,1,9,20,,,,4,2,2,6,4,2,2,,11,9,,,,,,66,2026-04-05
Adelaide,2026,74,St Kilda,7,W,25,16,5,8,24,1,,,8,1,5,3,1,2,,,8,15,,,1,1,1,71,2026-04-12
Adelaide,2026,75,Brisbane Lions,8,L,25,9,1,7,16,,2,,9,,3,6,,2,,,9,7,,,,,1,80,2026-04-19
Adelaide,2026,76,Port Adelaide,9,W,25,13,2,12,25,,,,5,2,6,4,4,2,1,,12,14,,,,,,75,2026-04-26
Adelaide,2026,77,Richmond,10,W,25,12,7,7,19,,1,,5,4,2,2,3,1,,,6,13,,,2,,,69,2026-05-03
Adelaide,2026,78,North Melbourne,11,W,25,12,6,10,22,2,,,6,1,,3,3,3,2,,11,11,,,,,,67,2026-05-10
Adelaide,2026,79,Hawthorn,12,L,25,10,3,7,17,,,,5,,,1,3,3,,,5,10,,,,,,68,2026-05-17
Adelaide,2026,80,Geelong,14,W,25,11,3,9,20,,,,8,3,3,7,3,1,,,12,9,,,,,,67,2026-05-31
Adelaide,2026,81,Western Bulldogs,15,W,25,14,2,10,24,,,,5,,1,2,2,1,,,9,16,,,1,,1,75,2026-06-07
