team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2023,1,Fremantle,1,W,25,6.0,3.0,10,16,1.0,,,,1.0,2.0,2.0,1.0,1.0,,,8,8.0,,1.0,1.0,,1.0,74,2023-03-01
St Kilda,2023,2,Western Bulldogs,2,W,25,4.0,3.0,3,7,3.0,,,,,2.0,1.0,2.0,,1.0,,4,5.0,1.0,,2.0,,,80,2023-03-08
St Kilda,2023,3,Essendon,3,W,25,4.0,2.0,10,14,,1.0,,1.0,,,1.0,2.0,,1.0,,8,5.0,1.0,,,,,88,2023-03-15
St Kilda,2023,4,Gold Coast,4,W,25,7.0,1.0,11,18,1.0,,,4.0,,4.0,2.0,5.0,1.0,1.0,,10,7.0,,1.0,,,,82,2023-03-22
St Kilda,2023,5,Collingwood,5,L,25,8.0,3.0,11,19,1.0,1.0,,2.0,,1.0,2.0,2.0,,,,6,13.0,,1.0,,,1.0,85,2023-03-29
St Kilda,2023,6,Carlton,6,W,25,5.0,4.0,8,13,,,,2.0,,3.0,1.0,3.0,1.0,1.0,1.0,3,9.0,,1.0,2.0,,,68,2023-04-05
St Kilda,2023,7,Port Adelaide,7,L,25,2.0,2.0,10,12,,,,1.0,,2.0,,6.0,1.0,2.0,,2,11.0,,,,,1.0,72,2023-04-12
St Kilda,2023,8,North Melbourne,8,W,25,5.0,6.0,8,13,,1.0,,4.0,1.0,2.0,1.0,1.0,,,,5,8.0,1.0,,,2.0,,75,2023-04-19
St Kilda,2023,9,Adelaide,9,L,25,6.0,3.0,12,18,,1.0,,,,7.0,,4.0,,,,5,13.0,,,2.0,,2.0,84,2023-04-26
St Kilda,2023,10,Greater Western Sydney,10,W,25,5.0,4.0,8,13,,1.0,,6.0,1.0,3.0,2.0,1.0,2.0,,,8,6.0,,,1.0,,,83,2023-05-03
St Kilda,2023,11,Hawthorn,11,L,25,5.0,6.0,6,11,1.0,,,2.0,,1.0,,,,,,4,7.0,2.0,,1.0,,,75,2023-05-10
