team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2021,1,Western Bulldogs,3,L,29,4.0,2.0,5.0,9.0,,,,3.0,,,1.0,2.0,1.0,1.0,,4.0,5.0,,,,,,71.0,2021-03-15
North Melbourne,2021,2,Adelaide,4,L,29,6.0,1.0,7.0,13.0,1.0,,,1.0,1.0,3.0,2.0,3.0,1.0,1.0,,5.0,8.0,,,1.0,,,60.0,2021-03-22
North Melbourne,2021,3,Geelong,5,L,29,3.0,3.0,4.0,7.0,,,,3.0,,,,1.0,1.0,,,4.0,4.0,,,1.0,,1.0,71.0,2021-03-29
North Melbourne,2021,4,Fremantle,6,L,29,5.0,1.0,4.0,9.0,1.0,,,1.0,,,1.0,1.0,1.0,,,3.0,6.0,,,,,,82.0,2021-04-05
North Melbourne,2021,5,Melbourne,7,L,29,9.0,4.0,7.0,16.0,,1.0,,3.0,,2.0,1.0,2.0,,,,6.0,10.0,,,1.0,,,77.0,2021-04-12
North Melbourne,2021,6↑,Collingwood,8,L,29,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,20.0,2021-04-19
North Melbourne,2021,7,Hawthorn,9,W,29,,,,,,,,,,,,,,,,,,,,,,,,2021-04-26
North Melbourne,2021,8,Gold Coast,15,W,29,7.0,4.0,5.0,12.0,,2.0,,4.0,,,2.0,1.0,1.0,,,2.0,10.0,,1.0,,,,65.0,2021-06-07
North Melbourne,2021,9,Western Bulldogs,16,L,29,5.0,3.0,3.0,8.0,,1.0,,1.0,,1.0,,1.0,,,,4.0,4.0,2.0,1.0,1.0,,,66.0,2021-06-14
North Melbourne,2021,10,West Coast,17,W,29,2.0,2.0,8.0,10.0,,,,3.0,,1.0,4.0,,,,,8.0,5.0,,,4.0,,,63.0,2021-06-21
North Melbourne,2021,11,Essendon,18,L,29,5.0,3.0,10.0,15.0,,,,2.0,1.0,1.0,3.0,1.0,,,,4.0,11.0,,,,,,72.0,2021-06-28
North Melbourne,2021,12↓,Carlton,19,W,29,9.0,4.0,4.0,13.0,,,,2.0,1.0,4.0,,1.0,,,,1.0,12.0,,,,,1.0,55.0,2021-07-05
North Melbourne,2021,13,Geelong,20,L,29,8.0,3.0,9.0,17.0,,,,2.0,,2.0,1.0,4.0,1.0,1.0,,8.0,9.0,,,1.0,1.0,,74.0,2021-07-12
North Melbourne,2021,14,Richmond,21,L,29,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19
North Melbourne,2021,15,Sydney,22,L,29,6.0,,6.0,12.0,,,,5.0,,3.0,3.0,2.0,1.0,,,8.0,4.0,,,1.0,,1.0,64.0,2021-07-26
North Melbourne,2021,16,Adelaide,23,L,29,2.0,1.0,8.0,10.0,1.0,,,2.0,,1.0,1.0,2.0,,2.0,,6.0,5.0,,,,,,59.0,2021-08-02
North Melbourne,2023,17↑,West Coast,1,W,29,5.0,,12.0,17.0,,1.0,,2.0,,3.0,4.0,1.0,1.0,1.0,,8.0,10.0,,,,1.0,1.0,53.0,2023-03-01
North Melbourne,2023,18,Hawthorn,3,L,29,6.0,2.0,10.0,16.0,,,,5.0,,1.0,2.0,2.0,3.0,,,9.0,8.0,2.0,,,2.0,,76.0,2023-03-15
North Melbourne,2023,19,Carlton,4,L,29,5.0,2.0,12.0,17.0,1.0,,,4.0,,3.0,5.0,3.0,2.0,1.0,,9.0,8.0,,,,,1.0,73.0,2023-03-22
North Melbourne,2023,20,Brisbane Lions,5,L,29,8.0,2.0,11.0,19.0,1.0,,,1.0,,6.0,2.0,2.0,,,,5.0,13.0,,1.0,,,,75.0,2023-03-29
North Melbourne,2023,21↓,Gold Coast,6,L,29,5.0,,3.0,8.0,,,,1.0,2.0,,2.0,2.0,,1.0,,6.0,3.0,,,1.0,,,39.0,2023-04-05
North Melbourne,2023,22,Sydney,10,L,29,2.0,1.0,14.0,16.0,,,,4.0,,,5.0,,1.0,,,11.0,7.0,,1.0,2.0,,1.0,77.0,2023-05-03
North Melbourne,2023,23,Collingwood,11,L,29,6.0,2.0,23.0,29.0,,,,5.0,1.0,2.0,5.0,3.0,,,,10.0,19.0,,,1.0,,,67.0,2023-05-10
North Melbourne,2023,24,Essendon,12,L,29,9.0,,18.0,27.0,1.0,,,6.0,2.0,5.0,8.0,1.0,,1.0,,14.0,13.0,,,1.0,,2.0,75.0,2023-05-17
North Melbourne,2023,25,Greater Western Sydney,13,L,29,7.0,4.0,11.0,18.0,,,,1.0,1.0,2.0,3.0,3.0,1.0,2.0,,11.0,8.0,,1.0,1.0,,,82.0,2023-05-24
North Melbourne,2023,26,Western Bulldogs,14,L,29,9.0,1.0,13.0,22.0,,,,2.0,3.0,1.0,6.0,4.0,2.0,1.0,,12.0,12.0,,,1.0,,1.0,75.0,2023-05-31
North Melbourne,2023,27,Adelaide,16,L,29,9.0,2.0,8.0,17.0,,,,3.0,,4.0,5.0,5.0,,,,7.0,10.0,,,1.0,,1.0,71.0,2023-06-14
North Melbourne,2023,28,St Kilda,19,L,29,8.0,1.0,12.0,20.0,,,,11.0,2.0,4.0,2.0,3.0,2.0,1.0,,7.0,13.0,,,2.0,,,77.0,2023-07-05
