team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2019,1,Greater Western Sydney,GF,W,50,13,2.0,9,22,1.0,,,1.0,1.0,8.0,3.0,,,,,8.0,14,,1.0,,1.0,,66,2019-03-01
Richmond,2020,2,Carlton,1,W,50,8,1.0,6,14,,,,5.0,1.0,5.0,2.0,1.0,1.0,,,6.0,8,,1.0,3.0,,1.0,73,2020-03-01
Richmond,2020,3,Collingwood,2,D,50,4,2.0,3,7,,,,4.0,2.0,2.0,,2.0,,1.0,,3.0,4,1.0,,2.0,,1.0,57,2020-03-08
Richmond,2020,4,Hawthorn,3,L,50,7,2.0,3,10,,,,2.0,1.0,2.0,,4.0,,1.0,,4.0,7,,,2.0,,,62,2020-03-15
Richmond,2020,5,Sydney,6,W,50,4,2.0,7,11,,,,4.0,,2.0,3.0,2.0,,1.0,,5.0,6,,,2.0,,1.0,71,2020-04-05
Richmond,2020,6,North Melbourne,7,W,50,8,5.0,8,16,1.0,,,7.0,1.0,1.0,1.0,2.0,1.0,,,3.0,13,,,3.0,,,74,2020-04-12
Richmond,2020,7,Greater Western Sydney,8,L,50,6,1.0,4,10,,2.0,,1.0,,1.0,1.0,3.0,1.0,1.0,,9.0,3,1.0,1.0,2.0,,,71,2020-04-19
Richmond,2020,8,Western Bulldogs,9,W,50,10,4.0,4,14,1.0,,,2.0,,3.0,2.0,2.0,,,,6.0,8,,,3.0,,2.0,86,2020-04-26
Richmond,2020,9,Brisbane Lions,10,W,50,5,3.0,9,14,1.0,,,5.0,,2.0,1.0,4.0,,1.0,,5.0,10,1.0,1.0,,,,86,2020-05-03
Richmond,2020,10,Port Adelaide,11,L,50,2,1.0,6,8,,,,4.0,1.0,,,3.0,1.0,1.0,,4.0,5,1.0,,3.0,1.0,,82,2020-05-10
Richmond,2020,11,Gold Coast,12,W,50,8,4.0,5,13,1.0,1.0,,4.0,,4.0,,3.0,,1.0,,4.0,9,,,2.0,,,90,2020-05-17
Richmond,2020,12,Essendon,13,W,50,11,6.0,7,18,,,,2.0,1.0,9.0,,6.0,,1.0,,4.0,15,,,1.0,4.0,1.0,84,2020-05-24
Richmond,2020,13,West Coast,14,W,50,6,2.0,6,12,,,,1.0,1.0,2.0,,2.0,1.0,2.0,,6.0,6,,,,,,90,2020-05-31
Richmond,2020,14,Fremantle,15,W,50,10,3.0,9,19,,,,3.0,2.0,4.0,2.0,2.0,1.0,,,9.0,9,,,2.0,1.0,,82,2020-06-07
Richmond,2020,15,Geelong,17,W,50,5,1.0,5,10,,1.0,,3.0,1.0,1.0,,2.0,,,,8.0,4,,1.0,3.0,,,91,2020-06-21
Richmond,2020,16,Adelaide,18,W,50,4,3.0,4,8,,,,6.0,2.0,1.0,1.0,1.0,1.0,,,4.0,6,,,1.0,,,85,2020-06-28
Richmond,2020,17,Brisbane Lions,QF,L,50,6,1.0,6,12,,,,4.0,1.0,3.0,1.0,7.0,,1.0,,8.0,6,,,2.0,,,78,2020-03-01
Richmond,2020,18,St Kilda,SF,W,50,3,,6,9,,,,2.0,,,2.0,4.0,,2.0,,3.0,6,,,1.0,,,80,2020-03-01
Richmond,2020,19,Port Adelaide,PF,W,50,6,2.0,7,13,,,,3.0,1.0,,3.0,4.0,,,,9.0,6,,1.0,4.0,,,86,2020-03-01
Richmond,2020,20,Geelong,GF,W,50,6,,8,14,,,,5.0,4.0,2.0,,4.0,1.0,,,5.0,9,,,2.0,,,83,2020-03-01
Richmond,2021,21,Carlton,1,W,50,7,5.0,6,13,,,,3.0,3.0,4.0,,6.0,,3.0,,8.0,7,,,5.0,,,79,2021-03-01
Richmond,2021,22,Hawthorn,2,W,50,9,5.0,5,14,,,,4.0,,2.0,1.0,4.0,3.0,1.0,,5.0,9,,,3.0,,,73,2021-03-08
Richmond,2021,23,Sydney,3,L,50,7,3.0,9,16,,,,5.0,2.0,2.0,2.0,6.0,2.0,3.0,,8.0,9,,,7.0,,,82,2021-03-15
Richmond,2021,24,Port Adelaide,4,L,50,8,5.0,10,18,,,,3.0,2.0,3.0,,1.0,1.0,,,3.0,17,,,3.0,1.0,,84,2021-03-22
Richmond,2021,25,St Kilda,5,W,50,4,1.0,10,14,1.0,,2.0,3.0,1.0,3.0,1.0,2.0,,2.0,,6.0,8,,,3.0,1.0,,77,2021-03-29
Richmond,2021,26,Melbourne,6,L,50,8,2.0,13,21,,1.0,1.0,5.0,3.0,3.0,2.0,3.0,1.0,3.0,,13.0,9,,1.0,1.0,1.0,,81,2021-04-05
Richmond,2021,27,Western Bulldogs,7,W,50,9,6.0,10,19,,,3.0,4.0,2.0,1.0,5.0,3.0,,2.0,,9.0,10,,,5.0,,,80,2021-04-12
Richmond,2021,28,Geelong,8,L,50,1,1.0,12,13,,,3.0,6.0,,1.0,2.0,5.0,,3.0,,9.0,6,,,1.0,,,76,2021-04-19
Richmond,2021,29,Greater Western Sydney,9,W,50,6,,4,10,,,,6.0,1.0,5.0,,4.0,,1.0,,3.0,7,,,4.0,,,80,2021-04-26
Richmond,2021,30,Brisbane Lions,10,L,50,5,4.0,15,20,,,,5.0,2.0,2.0,4.0,7.0,,3.0,,13.0,10,1.0,,5.0,,,91,2021-05-03
Richmond,2021,31,Essendon,12,W,50,4,1.0,13,17,,,2.0,4.0,2.0,1.0,1.0,4.0,,2.0,,11.0,8,,1.0,4.0,,2.0,80,2021-05-17
Richmond,2021,32,West Coast,13,L,50,7,4.0,10,17,,,2.0,2.0,1.0,3.0,3.0,5.0,,4.0,,10.0,8,2.0,,,,,83,2021-05-24
Richmond,2021,33,St Kilda,15,L,50,12,5.0,12,24,,1.0,,3.0,1.0,3.0,,3.0,3.0,,,11.0,14,,,2.0,,,82,2021-06-07
Richmond,2021,34,Gold Coast,16,L,50,4,3.0,12,16,,,2.0,3.0,1.0,2.0,2.0,5.0,,1.0,,9.0,8,1.0,,1.0,,,82,2021-06-14
Richmond,2021,35,Collingwood,17,L,50,8,4.0,8,16,1.0,,1.0,2.0,2.0,2.0,1.0,4.0,,3.0,,6.0,11,1.0,1.0,,,1.0,78,2021-06-21
Richmond,2021,36,Brisbane Lions,18,W,50,6,3.0,2,8,,,,3.0,1.0,2.0,1.0,4.0,1.0,3.0,,3.0,5,,,2.0,,,85,2021-06-28
Richmond,2021,37,Geelong,19,L,50,4,3.0,9,13,,1.0,,1.0,2.0,1.0,,2.0,,,,6.0,7,,,,,,83,2021-07-05
Richmond,2021,38,Hawthorn,23,D,50,10,8.0,3,13,,1.0,,,,5.0,,2.0,,,,5.0,8,1.0,1.0,,2.0,1.0,83,2021-08-02
Richmond,2022,39,Carlton,1,L,50,11,7.0,7,18,,,,5.0,3.0,3.0,,4.0,2.0,2.0,,6.0,13,1.0,,,2.0,,87,2022-03-01
