team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Hawthorn,2016,1,Geelong,1,L,43,1.0,,5.0,6,,,7,1.0,,,2.0,3.0,1.0,1.0,,3.0,2.0,,,1.0,,,40,2016-03-01
Hawthorn,2016,2,Essendon,12,W,43,,1.0,6.0,6,,,11,7.0,,,5.0,,2.0,,,5.0,1.0,,,4.0,,,69,2016-05-17
Hawthorn,2016,3,Collingwood,23,W,43,2.0,1.0,6.0,8,,,15,2.0,1.0,2.0,2.0,1.0,,1.0,,5.0,3.0,,,3.0,,,59,2016-08-02
Hawthorn,2018,4,Geelong,21,W,27,2.0,2.0,4.0,6,,1.0,25,3.0,,1.0,3.0,,1.0,,,4.0,2.0,,1.0,3.0,,,65,2018-07-19
Hawthorn,2018,5,St Kilda,22,W,27,1.0,1.0,2.0,3,,,25,4.0,,,,3.0,1.0,2.0,,2.0,1.0,,,2.0,,1.0,66,2018-07-26
Hawthorn,2019,6,Port Adelaide,10,W,27,1.0,,7.0,8,,,29,4.0,1.0,1.0,2.0,4.0,,3.0,,7.0,1.0,,,7.0,,,85,2019-05-03
Hawthorn,2019,7,Brisbane Lions,11,L,27,2.0,1.0,9.0,11,,,20,3.0,,,2.0,3.0,,1.0,,7.0,4.0,1.0,,5.0,,,64,2019-05-10
Carlton,2020,8,Melbourne,2,L,27,11.0,3.0,4.0,15,,,23,2.0,1.0,2.0,5.0,3.0,2.0,2.0,,10.0,3.0,1.0,,5.0,,,85,2020-03-08
Carlton,2020,9,Geelong,3,W,27,4.0,3.0,5.0,9,,,36,3.0,1.0,1.0,2.0,2.0,2.0,1.0,,6.0,4.0,1.0,,3.0,,,83,2020-03-15
Carlton,2020,10,Essendon,4,W,27,8.0,3.0,3.0,11,,,20,2.0,,3.0,8.0,2.0,2.0,2.0,,7.0,3.0,2.0,,3.0,,,83,2020-03-22
Carlton,2020,11,St Kilda,5,L,27,3.0,3.0,2.0,5,,1.0,21,4.0,,,2.0,3.0,,3.0,,4.0,1.0,2.0,1.0,2.0,,,77,2020-03-29
Carlton,2020,12,Western Bulldogs,6,W,27,1.0,,6.0,7,,,33,1.0,,1.0,2.0,1.0,1.0,1.0,,6.0,1.0,,,1.0,,,79,2020-04-05
Carlton,2020,13,Port Adelaide,7,L,27,3.0,1.0,,3,,,20,1.0,1.0,,1.0,2.0,,2.0,,3.0,,1.0,,1.0,,,83,2020-04-12
Carlton,2020,14,North Melbourne,8,W,27,2.0,2.0,8.0,10,,,25,1.0,,3.0,6.0,,2.0,,,7.0,4.0,1.0,,2.0,,,85,2020-04-19
Carlton,2020,15,Hawthorn,9,L,27,7.0,1.0,5.0,12,,,15,1.0,,2.0,4.0,3.0,2.0,1.0,,7.0,2.0,1.0,,1.0,,,78,2020-04-26
Carlton,2020,16,West Coast,11,L,27,4.0,2.0,5.0,9,,,16,3.0,,2.0,1.0,3.0,1.0,1.0,,3.0,5.0,1.0,,2.0,,,63,2020-05-10
Carlton,2020,17,Gold Coast,13,W,27,2.0,1.0,1.0,3,,,14,1.0,,1.0,1.0,2.0,,,,2.0,,1.0,,3.0,,,69,2020-05-24
Carlton,2020,18,Collingwood,14,L,27,2.0,,3.0,5,,1.0,16,4.0,,,1.0,2.0,1.0,1.0,,4.0,1.0,,,3.0,,,82,2020-05-31
Carlton,2020,19,Greater Western Sydney,15,L,27,5.0,2.0,4.0,9,,1.0,20,,1.0,,3.0,2.0,2.0,1.0,,8.0,,2.0,1.0,1.0,,,77,2020-06-07
Carlton,2020,20,Brisbane Lions,18,L,27,7.0,2.0,4.0,11,,,29,1.0,1.0,3.0,4.0,1.0,,,,7.0,3.0,1.0,,4.0,,,85,2020-06-28
Carlton,2021,21,Richmond,1,L,27,4.0,3.0,5.0,9,,,33,,3.0,,2.0,1.0,1.0,,,2.0,5.0,,,5.0,,,87,2021-03-01
Carlton,2021,22,Collingwood,2,L,27,7.0,3.0,1.0,8,1.0,1.0,21,2.0,,3.0,4.0,3.0,1.0,2.0,,7.0,3.0,2.0,2.0,4.0,,,86,2021-03-08
