team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Collingwood,2019,1,Hawthorn,16,L,35,11,7.0,7.0,18,,,,4.0,4.0,1.0,1.0,3.0,,2.0,,7.0,11,1.0,,2.0,,1.0,77,2019-06-14
Collingwood,2019,2,West Coast,17,W,35,8,3.0,3.0,11,,,,2.0,2.0,3.0,,,1.0,,,6.0,6,1.0,,2.0,,,79,2019-06-21
Collingwood,2019,3,Greater Western Sydney,18,L,35,8,4.0,9.0,17,,,,1.0,1.0,5.0,,2.0,3.0,,,5.0,12,1.0,,5.0,1.0,,76,2019-06-28
Collingwood,2019,4,Richmond,19,L,35,8,4.0,4.0,12,,,,3.0,1.0,2.0,1.0,1.0,,,,3.0,9,,,1.0,,,73,2019-07-05
Collingwood,2020,5,Hawthorn,6,W,3,8,3.0,7.0,15,,,,1.0,2.0,5.0,,1.0,,,,5.0,10,1.0,,3.0,,,79,2020-04-05
Collingwood,2020,6,Geelong,7,W,3,6,3.0,5.0,11,,,,5.0,1.0,1.0,,,1.0,,,6.0,5,1.0,,1.0,,,82,2020-04-12
Collingwood,2020,7,West Coast,8,L,3,6,3.0,12.0,18,,,,2.0,1.0,1.0,,,,,,6.0,12,,,1.0,,,85,2020-04-19
Collingwood,2020,8,Fremantle,9,L,3,7,1.0,3.0,10,,,,1.0,2.0,,,1.0,,,,,9,,1.0,2.0,,,81,2020-04-26
Collingwood,2020,9,Sydney,10,W,3,2,1.0,5.0,7,,,,,2.0,,,,,,,1.0,6,,,2.0,,,71,2020-05-03
Collingwood,2020,10,Carlton,14,W,3,11,5.0,9.0,20,,,,5.0,7.0,3.0,1.0,3.0,1.0,1.0,,7.0,12,,,3.0,,1.0,83,2020-05-31
Collingwood,2020,11,Brisbane Lions,15,L,3,6,3.0,8.0,14,,,,1.0,,2.0,,,1.0,,,4.0,10,,,1.0,,,89,2020-06-07
Collingwood,2020,12,Gold Coast,17,W,3,12,7.0,5.0,17,,,,2.0,5.0,1.0,,1.0,1.0,,,4.0,13,,,1.0,,,76,2020-06-21
Collingwood,2020,13,Port Adelaide,18,L,3,7,4.0,9.0,16,,,,2.0,2.0,3.0,1.0,,1.0,,,6.0,9,,,3.0,,,88,2020-06-28
Collingwood,2020,14,West Coast,EF,W,3,5,1.0,6.0,11,,,,1.0,1.0,1.0,1.0,,,,,4.0,6,,,3.0,,,79,2020-03-01
Collingwood,2020,15,Geelong,SF,L,3,4,2.0,5.0,9,,,,5.0,2.0,,1.0,1.0,,,,4.0,3,1.0,,2.0,,,81,2020-03-01
Collingwood,2021,16,Western Bulldogs,1,L,3,9,4.0,3.0,12,,,,3.0,3.0,2.0,,1.0,,,,4.0,9,1.0,,7.0,,,85,2021-03-01
Collingwood,2021,17,Carlton,2,W,3,12,3.0,4.0,16,,,,4.0,6.0,3.0,,4.0,2.0,1.0,,6.0,10,,,6.0,1.0,1.0,82,2021-03-08
Collingwood,2021,18,Brisbane Lions,3,L,3,14,9.0,10.0,24,,,,2.0,7.0,2.0,1.0,,2.0,,,8.0,16,,,1.0,,,83,2021-03-15
Collingwood,2021,19,Greater Western Sydney,4,L,3,8,3.0,6.0,14,,,,,1.0,1.0,1.0,1.0,1.0,,,6.0,7,1.0,,4.0,,,83,2021-03-22
Collingwood,2021,20,West Coast,5,L,3,8,1.0,8.0,16,,,,,2.0,1.0,,1.0,1.0,1.0,,7.0,11,,,3.0,,,83,2021-03-29
Collingwood,2021,21,Essendon,6,L,3,18,5.0,3.0,21,,1.0,,2.0,4.0,2.0,1.0,,1.0,,,5.0,14,,,5.0,,,87,2021-04-05
Collingwood,2021,22,Gold Coast,7,L,3,15,4.0,6.0,21,,1.0,,1.0,5.0,4.0,1.0,5.0,,,,7.0,14,1.0,,,1.0,,83,2021-04-12
Collingwood,2021,23,North Melbourne,8,W,3,16,10.0,7.0,23,,,,1.0,8.0,2.0,,2.0,,,,3.0,18,,,3.0,,,88,2021-04-19
Collingwood,2021,24,Sydney,9,L,3,6,4.0,6.0,12,,,,4.0,4.0,,1.0,2.0,,,,5.0,8,2.0,,2.0,,,82,2021-04-26
Collingwood,2021,25,Port Adelaide,10,L,3,14,5.0,12.0,26,,,,,5.0,2.0,,3.0,1.0,,,5.0,19,,,4.0,,,92,2021-05-03
Collingwood,2021,26,Geelong,11,L,3,16,6.0,12.0,28,,,,2.0,6.0,,2.0,5.0,,1.0,,6.0,21,,,1.0,,1.0,85,2021-05-10
Collingwood,2021,27,Adelaide,12,W,3,13,8.0,4.0,17,,,,5.0,4.0,,,6.0,1.0,2.0,,5.0,12,1.0,,1.0,,,92,2021-05-17
Collingwood,2021,28,Melbourne,13,W,3,9,4.0,6.0,15,,,,3.0,5.0,3.0,,3.0,1.0,2.0,,7.0,8,3.0,,4.0,,,84,2021-05-24
Collingwood,2021,29,Fremantle,15,L,3,11,5.0,2.0,13,,,,4.0,2.0,2.0,,4.0,,1.0,,,13,,,2.0,,,85,2021-06-07
Collingwood,2021,30,St Kilda,16,L,3,10,3.0,8.0,18,,,,1.0,4.0,1.0,,2.0,2.0,2.0,,8.0,11,,,8.0,,,84,2021-06-14
Collingwood,2021,31,Richmond,17,W,3,9,3.0,5.0,14,,,,4.0,2.0,1.0,,3.0,3.0,1.0,,7.0,8,1.0,,2.0,,,85,2021-06-21
Collingwood,2021,32,Carlton,18,L,3,10,7.0,12.0,22,,,,3.0,4.0,,,3.0,2.0,1.0,,7.0,17,1.0,,4.0,1.0,,88,2021-06-28
Collingwood,2021,33,Port Adelaide,19,L,3,6,4.0,6.0,12,,,,2.0,2.0,1.0,2.0,,,,,4.0,7,,,3.0,,,86,2021-07-05
Collingwood,2021,34,West Coast,20,W,3,8,3.0,11.0,19,1.0,,,3.0,2.0,3.0,,,,,,9.0,10,1.0,,2.0,,,88,2021-07-12
