team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2013,1↓,Greater Western Sydney,1,W,43,5,,2.0,7,,,,3.0,1.0,2.0,1.0,1.0,1.0,,,3.0,4,,,,,1.0,59,2013-03-01
Sydney,2013,2,Geelong,4,L,43,8,3.0,1.0,9,,,,1.0,2.0,3.0,,2.0,,,,3.0,6,,,4.0,1.0,,80,2013-03-22
Sydney,2013,3,St Kilda,5,W,43,11,3.0,6.0,17,,,,,4.0,1.0,1.0,3.0,,,,5.0,12,,,3.0,,,84,2013-03-29
Sydney,2013,4,Brisbane Lions,6,W,43,6,2.0,5.0,11,,,,2.0,4.0,,,2.0,,,,4.0,6,,,8.0,,,85,2013-04-05
Sydney,2013,5,Hawthorn,7,L,43,6,4.0,3.0,9,,,,1.0,1.0,1.0,,1.0,,,,3.0,6,,,4.0,,,78,2013-04-12
Sydney,2013,6,Fremantle,8,D,43,6,4.0,4.0,10,,,,3.0,4.0,,,1.0,,,,1.0,9,,,6.0,,,80,2013-04-19
Sydney,2013,7,Collingwood,9,W,43,6,3.0,5.0,11,,,,4.0,,1.0,,1.0,,,,2.0,9,,,3.0,,,84,2013-04-26
Sydney,2013,8,Essendon,10,W,43,10,5.0,1.0,11,,,,5.0,2.0,4.0,,1.0,,1.0,,2.0,8,,,6.0,,,80,2013-05-03
Sydney,2013,9,Adelaide,11,W,43,11,4.0,7.0,18,,,,4.0,3.0,5.0,,2.0,,1.0,,5.0,12,,,10.0,,,81,2013-05-10
Sydney,2013,10,Port Adelaide,13,L,43,10,2.0,6.0,16,,1.0,,4.0,3.0,4.0,,1.0,,,,7.0,7,,,5.0,,,84,2013-05-24
Sydney,2013,11,Carlton,14,W,43,11,2.0,2.0,13,,,,,8.0,2.0,1.0,5.0,,,,6.0,5,,,4.0,,,79,2013-05-31
Sydney,2013,12,Melbourne,15,W,43,7,,8.0,15,,,,4.0,2.0,3.0,,1.0,2.0,1.0,,6.0,8,,,4.0,,1.0,83,2013-06-07
Sydney,2013,13,Greater Western Sydney,16,W,43,10,1.0,8.0,18,1.0,,,4.0,1.0,2.0,,1.0,1.0,1.0,,4.0,13,,,2.0,,,76,2013-06-14
Sydney,2013,14,West Coast,17,W,43,6,2.0,4.0,10,,,,4.0,4.0,1.0,,3.0,,,,4.0,5,1.0,,4.0,1.0,,82,2013-06-21
Sydney,2013,15,Richmond,18,W,43,9,2.0,6.0,15,,,,2.0,3.0,1.0,,4.0,1.0,2.0,,5.0,10,,1.0,1.0,,,83,2013-06-28
Sydney,2013,16,Western Bulldogs,19,W,43,16,7.0,4.0,20,,,,4.0,6.0,4.0,,1.0,,,,4.0,16,2.0,,3.0,,,87,2013-07-05
Sydney,2013,17,Collingwood,20,L,43,7,4.0,,7,,,,,,2.0,,1.0,1.0,1.0,,1.0,6,,,5.0,,,93,2013-07-12
Sydney,2013,18,St Kilda,21,W,43,11,3.0,4.0,15,,1.0,,2.0,3.0,1.0,,1.0,,,,7.0,7,1.0,,12.0,,,83,2013-07-19
Sydney,2013,19,Geelong,22,L,43,7,2.0,4.0,11,,,,1.0,4.0,,,2.0,,,,,10,,,4.0,1.0,,89,2013-07-26
Sydney,2013,20,Hawthorn,23,L,43,8,3.0,2.0,10,,,,2.0,4.0,,1.0,3.0,2.0,3.0,,5.0,6,,,5.0,1.0,,90,2013-08-02
Sydney,2013,21,Hawthorn,QF,L,43,10,,1.0,11,,,,2.0,4.0,1.0,,3.0,,2.0,,4.0,6,,,5.0,1.0,,92,2013-03-01
Sydney,2013,22,Carlton,SF,W,43,16,6.0,4.0,20,,,,2.0,6.0,3.0,,4.0,1.0,1.0,,4.0,14,,,2.0,,,89,2013-03-01
Sydney,2013,23,Fremantle,PF,L,43,8,5.0,8.0,16,,,,6.0,1.0,,1.0,1.0,,1.0,,3.0,13,,,3.0,1.0,,75,2013-03-01
Sydney,2014,24,Greater Western Sydney,1,L,24,10,3.0,6.0,16,,,,1.0,1.0,4.0,1.0,3.0,2.0,1.0,,8.0,8,,,3.0,,,74,2014-03-01
Sydney,2014,25,Collingwood,2,L,24,9,4.0,5.0,14,1.0,,,3.0,5.0,3.0,,2.0,,1.0,,5.0,9,,,4.0,,,80,2014-03-08
Sydney,2014,26,Adelaide,3,W,24,10,5.0,4.0,14,,,,2.0,7.0,,,2.0,1.0,1.0,,6.0,7,1.0,,8.0,,,88,2014-03-15
Sydney,2014,27,North Melbourne,4,L,24,16,6.0,6.0,22,,,,6.0,5.0,,1.0,3.0,,2.0,,7.0,13,,,6.0,,,88,2014-03-22
Sydney,2014,28,Fremantle,5,W,24,11,4.0,11.0,22,,,,2.0,4.0,1.0,,2.0,2.0,,,9.0,13,,,8.0,1.0,1.0,90,2014-03-29
Sydney,2014,29,Melbourne,6,W,24,17,1.0,8.0,25,,2.0,,1.0,4.0,1.0,,,,,,4.0,20,,,4.0,1.0,,90,2014-04-05
Sydney,2014,30,Brisbane Lions,7,W,24,18,10.0,3.0,21,,,,6.0,5.0,1.0,,1.0,1.0,,,1.0,19,,,5.0,,1.0,86,2014-04-12
Sydney,2014,31,Hawthorn,8,W,24,7,5.0,5.0,12,,,,2.0,3.0,1.0,,2.0,,1.0,,3.0,9,,,4.0,,,86,2014-04-19
Sydney,2014,32,Essendon,9,W,24,8,5.0,7.0,15,1.0,,,4.0,1.0,3.0,,2.0,1.0,,,4.0,13,,,5.0,,,90,2014-04-26
Sydney,2014,33↓,Geelong,11,W,24,5,,6.0,11,,,,2.0,,3.0,,1.0,1.0,1.0,,5.0,6,,,5.0,,,53,2014-05-10
Sydney,2014,34,Gold Coast,12,W,24,11,7.0,7.0,18,,,,2.0,5.0,1.0,,2.0,,1.0,,4.0,13,1.0,,5.0,1.0,,83,2014-05-17
Sydney,2014,35,Port Adelaide,13,W,24,8,2.0,6.0,14,,,,4.0,3.0,3.0,,2.0,,,,2.0,13,,,7.0,,1.0,86,2014-05-24
Sydney,2014,36,Richmond,14,W,24,9,4.0,3.0,12,,,,3.0,6.0,,,3.0,,1.0,,3.0,9,,,7.0,,,90,2014-05-31
Sydney,2014,37,Greater Western Sydney,15,W,24,12,3.0,6.0,18,,,,2.0,4.0,3.0,,1.0,,1.0,,2.0,16,,,2.0,,,81,2014-06-07
Sydney,2014,38,West Coast,16,W,24,15,5.0,7.0,22,1.0,,,,6.0,4.0,,2.0,,1.0,,4.0,18,,,5.0,,,88,2014-06-14
Sydney,2014,39↓,Carlton,17,W,24,4,2.0,1.0,5,,,,5.0,1.0,1.0,,1.0,1.0,1.0,,2.0,3,1.0,,2.0,,,72,2014-06-21
Sydney,2014,40,Hawthorn,18,L,24,12,9.0,12.0,24,,,,4.0,6.0,1.0,1.0,3.0,3.0,1.0,,8.0,16,1.0,,5.0,,1.0,88,2014-06-28
Sydney,2014,41,Essendon,19,W,24,7,6.0,10.0,17,,,,6.0,5.0,2.0,,3.0,2.0,1.0,,5.0,12,,,4.0,,,81,2014-07-05
Sydney,2014,42,Port Adelaide,20,W,24,7,2.0,5.0,12,,,,3.0,4.0,,,1.0,,1.0,,2.0,10,,,3.0,,,91,2014-07-12
Sydney,2014,43,St Kilda,21,W,24,10,2.0,11.0,21,,,,1.0,4.0,2.0,,,,,,5.0,16,1.0,,1.0,5.0,1.0,83,2014-07-19
Sydney,2014,44,Western Bulldogs,22,W,24,12,5.0,5.0,17,,,,5.0,4.0,3.0,1.0,2.0,,1.0,,1.0,14,,,5.0,3.0,1.0,83,2014-07-26
Sydney,2014,45,Richmond,23,L,24,7,,6.0,13,,,,2.0,3.0,2.0,,2.0,1.0,,,4.0,6,,,7.0,,,94,2014-08-02
Sydney,2014,46,Fremantle,QF,W,24,8,1.0,5.0,13,,,,3.0,5.0,1.0,,,,,,3.0,10,,,3.0,1.0,,91,2014-03-01
Sydney,2014,47,North Melbourne,PF,W,24,7,1.0,4.0,11,,,,2.0,2.0,3.0,,2.0,,2.0,,4.0,6,,,4.0,1.0,2.0,88,2014-03-01
Sydney,2014,48,Hawthorn,GF,L,24,5,1.0,3.0,8,,,,5.0,3.0,1.0,,4.0,1.0,2.0,,2.0,5,,,3.0,,,87,2014-03-01
Sydney,2015,49,Essendon,1,W,24,8,5.0,10.0,18,,,,6.0,3.0,1.0,1.0,3.0,1.0,2.0,,7.0,12,,,4.0,2.0,,85,2015-03-01
Sydney,2015,50,Port Adelaide,2,W,24,15,5.0,7.0,22,,,,3.0,10.0,1.0,1.0,4.0,,2.0,,5.0,19,,,5.0,,,86,2015-03-08
Sydney,2015,51,Greater Western Sydney,3,W,24,8,2.0,8.0,16,,,,3.0,3.0,,,1.0,1.0,1.0,,2.0,14,,,2.0,1.0,,89,2015-03-15
Sydney,2015,52,Fremantle,4,L,24,12,4.0,5.0,17,,,,2.0,3.0,3.0,,5.0,,2.0,,4.0,11,,,3.0,1.0,1.0,85,2015-03-22
Sydney,2015,53,Western Bulldogs,5,L,24,9,6.0,5.0,14,,,,1.0,4.0,2.0,,4.0,,2.0,,5.0,8,1.0,,5.0,,,86,2015-03-29
Sydney,2015,54,Melbourne,6,W,24,6,3.0,3.0,9,,,,4.0,1.0,4.0,,1.0,,,,2.0,7,,,3.0,2.0,,89,2015-04-05
Sydney,2015,55,Geelong,7,W,24,6,2.0,5.0,11,,,,2.0,2.0,1.0,2.0,4.0,1.0,2.0,,4.0,7,,,3.0,,,81,2015-04-12
Sydney,2015,56,Hawthorn,8,W,24,14,4.0,6.0,20,,,,2.0,5.0,1.0,,3.0,,1.0,,2.0,18,1.0,,6.0,,1.0,89,2015-04-19
Sydney,2015,57,Carlton,9,W,24,11,6.0,7.0,18,,,,,2.0,3.0,,1.0,,1.0,,3.0,15,,,7.0,,2.0,84,2015-04-26
Sydney,2015,58,Gold Coast,10,W,24,18,12.0,14.0,32,,,,2.0,4.0,3.0,,1.0,,,,9.0,21,1.0,,4.0,2.0,,86,2015-05-03
Sydney,2015,59,North Melbourne,11,W,24,18,14.0,8.0,26,,1.0,,,3.0,2.0,,4.0,,1.0,,5.0,21,2.0,1.0,1.0,3.0,,85,2015-05-10
Sydney,2015,60,Richmond,13,L,24,10,4.0,4.0,14,,,,2.0,7.0,,,,1.0,,,4.0,10,,,5.0,,,85,2015-05-24
Sydney,2015,61,Port Adelaide,14,W,24,7,6.0,7.0,14,,,,3.0,3.0,,,,,,,5.0,9,,,11.0,,,94,2015-05-31
Sydney,2015,62,Brisbane Lions,15,W,24,17,11.0,6.0,23,,,,3.0,6.0,,,3.0,1.0,1.0,,4.0,19,,,4.0,,,84,2015-06-07
Sydney,2015,63,Hawthorn,16,L,24,12,7.0,5.0,17,,,,1.0,4.0,2.0,,2.0,,1.0,,1.0,14,,,5.0,1.0,,84,2015-06-14
Sydney,2015,64,West Coast,17,L,24,7,3.0,10.0,17,,,,4.0,6.0,,,3.0,2.0,,,7.0,9,,,8.0,2.0,,99,2015-06-21
Sydney,2015,65,Adelaide,18,W,24,24,12.0,8.0,32,,1.0,,2.0,9.0,2.0,,4.0,,2.0,,4.0,27,,,6.0,1.0,,91,2015-06-28
Sydney,2015,66,Geelong,19,L,24,11,6.0,7.0,18,,,,2.0,5.0,1.0,1.0,3.0,1.0,2.0,,6.0,12,1.0,,2.0,2.0,,86,2015-07-05
Sydney,2015,67,Collingwood,20,W,24,6,4.0,10.0,16,,,,3.0,2.0,1.0,,5.0,1.0,2.0,,3.0,13,,,3.0,,1.0,95,2015-07-12
Sydney,2015,68,Greater Western Sydney,21,W,24,9,2.0,10.0,19,,,,2.0,3.0,2.0,,2.0,,,,7.0,11,,,5.0,4.0,1.0,90,2015-07-19
Sydney,2015,69,St Kilda,22,W,24,9,4.0,6.0,15,,,,2.0,4.0,,,1.0,,1.0,,4.0,8,1.0,,6.0,,,94,2015-07-26
Sydney,2015,70,Gold Coast,23,W,24,13,5.0,8.0,21,1.0,,,3.0,6.0,1.0,,1.0,1.0,,,7.0,14,,,6.0,3.0,,89,2015-08-02
Sydney,2015,71,Fremantle,QF,L,24,11,2.0,5.0,16,,,,2.0,4.0,3.0,1.0,4.0,,,,6.0,10,,,7.0,,,92,2015-03-01
Sydney,2015,72,North Melbourne,SF,L,24,23,8.0,8.0,31,,1.0,,6.0,9.0,6.0,3.0,7.0,2.0,4.0,,11.0,19,,,5.0,,1.0,88,2015-03-01
Sydney,2016,73,Collingwood,1,W,24,11,3.0,6.0,17,,,,3.0,4.0,4.0,,5.0,1.0,1.0,,4.0,13,,,8.0,,,91,2016-03-01
Sydney,2016,74,Carlton,2,W,24,11,3.0,6.0,17,,,,1.0,4.0,4.0,,2.0,,1.0,,1.0,16,,,5.0,,,88,2016-03-08
Sydney,2016,75,Greater Western Sydney,3,W,24,15,10.0,4.0,19,,,,,9.0,3.0,,4.0,,2.0,,5.0,15,1.0,,7.0,,,96,2016-03-15
Sydney,2016,76,Adelaide,4,L,24,11,3.0,12.0,23,,1.0,,2.0,9.0,1.0,,2.0,3.0,2.0,,9.0,13,,,8.0,1.0,,94,2016-03-22
Sydney,2016,77,West Coast,5,W,24,9,3.0,5.0,14,,,,2.0,9.0,,,4.0,,2.0,,7.0,5,2.0,,12.0,,,100,2016-03-29
