team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2018,1,Melbourne,1,W,17,5.0,5.0,3.0,8.0,1.0,1.0,5.0,,,1.0,1.0,4.0,,3.0,,2.0,7.0,,2.0,,,,68,2018-03-01
Geelong,2018,2,West Coast,3,L,17,9.0,8.0,5.0,14.0,2.0,1.0,7.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,,6.0,9.0,3.0,2.0,3.0,,,86,2018-03-15
Geelong,2018,3,St Kilda,4,W,17,4.0,3.0,2.0,6.0,,1.0,2.0,3.0,,2.0,1.0,1.0,2.0,,,9.0,,3.0,,3.0,,,70,2018-03-22
Geelong,2018,4,Port Adelaide,5,W,17,2.0,1.0,5.0,7.0,1.0,1.0,19.0,4.0,,1.0,1.0,2.0,,2.0,,5.0,2.0,,1.0,2.0,,2.0,78,2018-03-29
Geelong,2018,5,Sydney,6,L,17,5.0,3.0,6.0,11.0,,1.0,12.0,2.0,,1.0,,,2.0,,,7.0,4.0,1.0,,1.0,,1.0,83,2018-04-05
Geelong,2018,6,Greater Western Sydney,7,W,17,6.0,3.0,2.0,8.0,2.0,,12.0,3.0,,,2.0,4.0,2.0,2.0,,6.0,3.0,2.0,1.0,,,,73,2018-04-12
Geelong,2018,7,Collingwood,8,W,17,6.0,3.0,9.0,15.0,1.0,2.0,3.0,,,1.0,,4.0,2.0,2.0,,11.0,4.0,3.0,1.0,2.0,,1.0,78,2018-04-19
Geelong,2018,8,Carlton,10,W,17,,,,,,,2.0,1.0,,,,2.0,,2.0,,,1.0,,,1.0,,,28,2018-05-03
Geelong,2019,9,Collingwood,1,W,17,2.0,,3.0,5.0,,,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,,5.0,1.0,,,2.0,,,78,2019-03-01
Geelong,2019,10,Melbourne,2,W,17,5.0,1.0,1.0,6.0,1.0,,9.0,4.0,,2.0,,2.0,3.0,1.0,,5.0,3.0,,,1.0,,,64,2019-03-08
Geelong,2019,11,Adelaide,3,W,17,3.0,2.0,3.0,6.0,,,5.0,,1.0,,1.0,,1.0,,,3.0,3.0,,1.0,3.0,,,73,2019-03-15
Geelong,2019,12,Greater Western Sydney,4,L,17,7.0,3.0,2.0,9.0,,1.0,4.0,2.0,,5.0,1.0,3.0,3.0,2.0,,6.0,4.0,2.0,,4.0,,,69,2019-03-22
Geelong,2019,13,Hawthorn,5,W,17,4.0,2.0,2.0,6.0,,2.0,7.0,1.0,,,1.0,,1.0,,,3.0,3.0,1.0,2.0,1.0,,,74,2019-03-29
Geelong,2019,14,West Coast,6,W,17,8.0,5.0,6.0,14.0,1.0,2.0,9.0,2.0,,1.0,2.0,1.0,2.0,1.0,,7.0,7.0,3.0,2.0,,,,71,2019-04-05
Geelong,2019,15,Essendon,7,W,17,2.0,1.0,2.0,4.0,,,3.0,2.0,,,,1.0,,,,2.0,1.0,1.0,,,,,43,2019-04-12
Geelong,2019,16,North Melbourne,8,W,17,4.0,1.0,3.0,7.0,,,7.0,1.0,,2.0,1.0,3.0,1.0,1.0,,6.0,1.0,1.0,,1.0,,,66,2019-04-19
Geelong,2019,17,Sydney,11,W,17,6.0,1.0,10.0,16.0,2.0,,4.0,3.0,,2.0,4.0,,4.0,,,10.0,6.0,,,1.0,,,83,2019-05-10
Geelong,2019,18,Richmond,12,W,17,6.0,6.0,2.0,8.0,2.0,,8.0,,,,1.0,1.0,,,,6.0,2.0,4.0,2.0,,,,54,2019-05-17
Geelong,2019,19,St Kilda,17,W,17,8.0,3.0,5.0,13.0,2.0,2.0,2.0,7.0,1.0,2.0,2.0,3.0,5.0,2.0,,11.0,4.0,2.0,2.0,1.0,,1.0,80,2019-06-21
Geelong,2019,20,Hawthorn,18,L,17,5.0,5.0,4.0,9.0,,1.0,5.0,4.0,,2.0,1.0,1.0,1.0,,,7.0,3.0,3.0,1.0,3.0,,,78,2019-06-28
Geelong,2019,21,Sydney,19,W,17,6.0,1.0,4.0,10.0,1.0,1.0,9.0,2.0,,2.0,1.0,1.0,5.0,,,8.0,2.0,1.0,,1.0,,,75,2019-07-05
Geelong,2019,22,Fremantle,20,L,17,3.0,3.0,2.0,5.0,,1.0,8.0,2.0,,,,1.0,1.0,,,4.0,2.0,3.0,1.0,1.0,,,77,2019-07-12
Geelong,2019,23,North Melbourne,21,W,17,7.0,3.0,5.0,12.0,,2.0,8.0,1.0,,2.0,3.0,2.0,2.0,,,11.0,2.0,3.0,1.0,2.0,,,83,2019-07-19
