team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2018,1,St Kilda,1,L,16,5,2.0,3,8,1.0,1.0,,1.0,,2.0,,2.0,,1.0,,4.0,5,2.0,1.0,,,,71,2018-03-01
Brisbane Lions,2018,2,Melbourne,2,L,16,2,1.0,2,4,,1.0,,3.0,,,,2.0,1.0,1.0,,3.0,2,,1.0,3.0,,,75,2018-03-08
Brisbane Lions,2018,3,Port Adelaide,3,L,16,6,3.0,3,9,1.0,,,4.0,,3.0,,1.0,,1.0,,4.0,5,2.0,1.0,1.0,,1.0,72,2018-03-15
Brisbane Lions,2018,4,Richmond,4,L,16,13,4.0,9,22,1.0,,,3.0,2.0,6.0,1.0,4.0,1.0,1.0,,12.0,11,3.0,1.0,2.0,,,79,2018-03-22
Brisbane Lions,2018,5,Gold Coast,5,L,16,6,2.0,5,11,1.0,2.0,,,,5.0,1.0,,,,,6.0,4,1.0,,,1.0,1.0,68,2018-03-29
Brisbane Lions,2018,6,Greater Western Sydney,6,L,16,4,3.0,10,14,,1.0,,3.0,,,2.0,5.0,1.0,1.0,,10.0,4,1.0,1.0,,,,75,2018-04-05
Brisbane Lions,2018,7,Collingwood,7,L,16,6,4.0,12,18,,,,2.0,,4.0,3.0,2.0,1.0,,,7.0,11,1.0,,,,1.0,74,2018-04-12
Brisbane Lions,2018,8,Western Bulldogs,8,L,16,4,1.0,5,9,1.0,,,1.0,,,1.0,1.0,,,,3.0,6,,1.0,2.0,,,81,2018-04-19
Brisbane Lions,2018,9,Hawthorn,9,W,16,4,2.0,7,11,2.0,,,3.0,1.0,,3.0,2.0,2.0,,,7.0,6,,1.0,1.0,,,81,2018-04-26
Brisbane Lions,2018,10,Sydney,10,L,16,3,3.0,7,10,1.0,1.0,,3.0,,1.0,1.0,7.0,,3.0,,5.0,5,1.0,2.0,,1.0,,83,2018-05-03
