team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2024,1,Greater Western Sydney,5,L,20,4,1,1,5,1,1,4,,,,,2,,1,,2,3,,,2,,1,56,2024-03-29
Gold Coast,2024,2,Hawthorn,6,W,20,3,,2,5,2,,4,,,,,1,2,1,,3,2,,,2,,,76,2024-04-05
Gold Coast,2024,3↓,Sydney,7,L,20,1,2,3,4,,,6,1,1,,,2,,2,,2,2,1,,1,,,55,2024-04-12
Gold Coast,2024,4↓,Brisbane Lions,9,L,20,1,1,3,4,,,1,,,1,,2,,1,,2,2,,,3,,1,34,2024-04-26
Gold Coast,2025,5,West Coast,2,W,20,7,3,3,10,2,2,9,2,,,,2,1,1,,6,4,1,2,1,,,82,2025-03-08
Gold Coast,2025,6,Melbourne,4,W,20,5,3,2,7,1,,4,2,,2,,1,,,,2,5,1,1,1,,,68,2025-03-22
Gold Coast,2025,7,Adelaide,5,W,20,2,1,1,3,1,,4,4,,,,,,,,2,1,1,1,2,,,66,2025-03-29
Gold Coast,2025,8,North Melbourne,6,W,20,9,1,3,12,1,1,8,1,,5,3,1,5,1,,8,5,,,3,,,73,2025-04-05
Gold Coast,2025,9↓,Richmond,7,L,20,1,,,1,,1,4,,,,,1,1,1,,1,,,,,,,46,2025-04-12
Gold Coast,2025,10,Sydney,8,W,20,4,2,3,7,,3,7,2,,,1,,1,,,5,1,1,2,1,,,73,2025-04-19
Gold Coast,2025,11,Brisbane Lions,9,L,20,3,1,2,5,1,,8,2,,1,,1,2,1,,2,2,,1,1,,,75,2025-04-26
Gold Coast,2025,12↓,St Kilda,12,W,20,4,2,1,5,,,4,2,,1,,3,,2,,2,3,1,2,2,,,45,2025-05-17
Gold Coast,2025,13↓,Greater Western Sydney,16,L,20,6,3,4,10,,1,2,,,1,1,1,1,1,,5,5,,2,1,,,58,2025-06-14
Gold Coast,2025,14,Melbourne,17,W,20,7,6,,7,1,2,3,2,,,,1,,,,5,3,3,2,1,,,63,2025-06-21
Gold Coast,2025,15,Essendon,18,W,20,5,2,1,6,3,,5,,,,,2,1,1,,5,2,1,2,,,,67,2025-06-28
Gold Coast,2025,16,Collingwood,19,W,20,4,1,3,7,1,1,,,,1,1,2,,2,,3,3,,1,3,,,65,2025-07-05
Gold Coast,2025,17,Adelaide,20,L,20,7,2,2,9,1,1,6,1,,2,1,1,1,,,4,4,1,,4,,,65,2025-07-12
Gold Coast,2025,18,Brisbane Lions,21,W,20,4,1,4,8,1,2,4,1,,,1,5,1,4,,1,6,,,1,,,69,2025-07-19
Gold Coast,2025,19,Richmond,22,W,20,9,9,4,13,2,2,5,2,,4,1,2,,,,4,12,,5,1,,1,74,2025-07-26
Gold Coast,2025,20,Carlton,23,W,20,6,4,3,9,,2,1,2,,2,,2,1,2,,4,5,,2,,,,72,2025-08-02
Gold Coast,2025,21,Greater Western Sydney,24,L,20,4,4,2,6,2,,2,1,,1,,3,,2,,2,5,1,2,3,,,70,2025-08-09
Gold Coast,2025,22,Port Adelaide,25,L,20,8,2,3,11,1,1,1,3,1,2,1,6,2,3,,7,3,1,2,2,,,69,2025-08-16
Gold Coast,2025,23,Essendon,1,W,20,6,5,6,12,1,1,2,1,,1,,5,1,4,,5,7,2,2,3,,1,79,2025-03-01
Gold Coast,2025,24,Fremantle,EF,W,20,6,3,1,7,,,5,1,,1,2,4,1,2,,3,4,,,2,,,64,2025-08-09
Gold Coast,2025,25↓,Brisbane Lions,SF,L,20,3,1,1,4,,,3,1,,3,,3,,,,3,2,1,,2,,,43,2025-08-16
Gold Coast,2026,26,Geelong,1,W,20,8,3,6,14,,1,6,4,,1,,6,,2,,3,9,1,1,1,,2,78,2026-03-01
Gold Coast,2026,27,West Coast,2,W,20,6,3,5,11,,1,2,2,,1,,7,1,4,,6,7,1,1,,,,78,2026-03-08
Gold Coast,2026,28,Richmond,3,W,20,10,11,2,12,4,1,3,1,,2,,1,,,,2,10,1,6,6,,,84,2026-03-15
Gold Coast,2026,29,Melbourne,5,L,20,4,2,5,9,3,,,2,,1,,2,1,1,,2,7,,,2,,,88,2026-03-29
Gold Coast,2026,30,Sydney,6,L,20,3,1,3,6,,,1,2,2,,,5,1,4,,3,3,,,1,,,81,2026-04-05
Gold Coast,2026,31,Essendon,7,W,20,9,5,7,16,2,2,2,1,,1,2,2,,1,,7,10,2,3,1,,,78,2026-04-12
Gold Coast,2026,32,Hawthorn,8,L,20,5,1,6,11,,,2,,,1,2,5,4,,,9,2,1,,2,,,76,2026-04-19
Gold Coast,2026,33,Greater Western Sydney,9,W,20,6,4,3,9,,1,2,1,,2,1,2,1,,,6,3,2,1,,,,72,2026-04-26
Gold Coast,2026,34,St Kilda,10,W,20,1,,3,4,,,,,,1,,2,2,1,,2,2,,,,,,35,2026-05-03
